target,row,column,row_monomial,column_monomial,gram_entry
e4_residual_1_over_16,19,8,f0*f3^3,f0^2*f2*f3,8.388262137938333e-05
e4_residual_1_over_16,19,9,f0*f3^3,f0^2*f3^2,1.0435768391597675e-05
e4_residual_1_over_16,19,10,f0*f3^3,f0*f1^3,-3.195055003887891e-06
e4_residual_1_over_16,19,11,f0*f3^3,f0*f1^2*f2,2.0920775982980678e-05
e4_residual_1_over_16,19,12,f0*f3^3,f0*f1^2*f3,1.813840611256245e-05
e4_residual_1_over_16,19,13,f0*f3^3,f0*f1*f2^2,-1.3829784754661886e-05
e4_residual_1_over_16,19,14,f0*f3^3,f0*f1*f2*f3,0.00011020026266787609
e4_residual_1_over_16,19,15,f0*f3^3,f0*f1*f3^2,0.00023376939158842826
e4_residual_1_over_16,19,16,f0*f3^3,f0*f2^3,-4.119864769499041e-05
e4_residual_1_over_16,19,17,f0*f3^3,f0*f2^2*f3,6.028408411219876e-05
e4_residual_1_over_16,19,18,f0*f3^3,f0*f2*f3^2,0.00010276268204805332
e4_residual_1_over_16,19,19,f0*f3^3,f0*f3^3,0.0002453359762299189
e4_residual_1_over_16,20,0,f1^4,f0^4,-2.629845452172228e-05
e4_residual_1_over_16,20,1,f1^4,f0^3*f1,6.21670568001729e-06
e4_residual_1_over_16,20,2,f1^4,f0^3*f2,1.346772506314946e-05
e4_residual_1_over_16,20,3,f1^4,f0^3*f3,-3.245550210843864e-06
e4_residual_1_over_16,20,4,f1^4,f0^2*f1^2,-4.2544849131880645e-05
e4_residual_1_over_16,20,5,f1^4,f0^2*f1*f2,-2.26440501804352e-05
e4_residual_1_over_16,20,6,f1^4,f0^2*f1*f3,-3.6714665974784015e-05
e4_residual_1_over_16,20,7,f1^4,f0^2*f2^2,1.2757745578348841e-05
e4_residual_1_over_16,20,8,f1^4,f0^2*f2*f3,-2.4092681221116377e-05
e4_residual_1_over_16,20,9,f1^4,f0^2*f3^2,-4.195209833910668e-06
e4_residual_1_over_16,20,10,f1^4,f0*f1^3,5.113921728293139e-06
e4_residual_1_over_16,20,11,f1^4,f0*f1^2*f2,6.60490782668739e-06
e4_residual_1_over_16,20,12,f1^4,f0*f1^2*f3,-5.2874507440260275e-06
e4_residual_1_over_16,20,13,f1^4,f0*f1*f2^2,-6.590519750235677e-06
e4_residual_1_over_16,20,14,f1^4,f0*f1*f2*f3,-1.2812440277047706e-05
e4_residual_1_over_16,20,15,f1^4,f0*f1*f3^2,8.064295683099225e-06
e4_residual_1_over_16,20,16,f1^4,f0*f2^3,-6.972570815619498e-06
e4_residual_1_over_16,20,17,f1^4,f0*f2^2*f3,-1.4176175718255383e-06
e4_residual_1_over_16,20,18,f1^4,f0*f2*f3^2,-8.82532040788945e-06
e4_residual_1_over_16,20,19,f1^4,f0*f3^3,1.0446683895759002e-05
e4_residual_1_over_16,20,20,f1^4,f1^4,3.927784322643605e-05
e4_residual_1_over_16,21,0,f1^3*f2,f0^4,3.558735180600101e-05
e4_residual_1_over_16,21,1,f1^3*f2,f0^3*f1,-1.4038273475809046e-05
e4_residual_1_over_16,21,2,f1^3*f2,f0^3*f2,-2.472800180305938e-05
e4_residual_1_over_16,21,3,f1^3*f2,f0^3*f3,1.47567182404178e-06
e4_residual_1_over_16,21,4,f1^3*f2,f0^2*f1^2,0.00019033272049211674
e4_residual_1_over_16,21,5,f1^3*f2,f0^2*f1*f2,0.00017045814639640434
e4_residual_1_over_16,21,6,f1^3*f2,f0^2*f1*f3,0.00017919101735257742
e4_residual_1_over_16,21,7,f1^3*f2,f0^2*f2^2,-4.0059148647251455e-06
