pair_id,six_a_coordinate,six_b_coordinate,source_coordinate_norm,source_edge_norm,response_edge_norm,face_flux_norm,positive_face_count,negative_face_count,zero_face_count,maximum_face_id,maximum_face_value,minimum_face_id,minimum_face_value,face_flux_sum,source_in_target_four_max_abs,source_is_coexact_max_abs,source_has_no_harmonic_part_max_abs,static_equation_max_abs,response_is_coexact_max_abs,response_divergence_max_abs,face_flux_zero_sum_max_abs,face_flux_reconstruction_max_abs,all_checks_pass
11,1,5,0.14640710821093603,0.146407108210936,0.014640710821093599,0.04629799275852975,10,10,0,13,0.01767608690600992,7,-0.019125516765665984,-5.204170427930421e-18,5.551115123125783e-17,3.469446951953614e-17,5.334274688628682e-17,6.245004513516506e-17,2.6020852139652106e-18,3.469446951953614e-18,5.204170427930421e-18,0.0,True
12,2,0,0.10817379627395846,0.10817379627395846,0.010817379627395837,0.034207557937274403,10,10,0,3,0.012322219385321631,10,-0.014288545406363467,-2.168404344971009e-18,2.7755575615628914e-17,3.9898639947466563e-17,4.336808689942018e-17,4.5102810375396984e-17,1.5178830414797062e-18,7.15573433840433e-18,2.168404344971009e-18,0.0,True
13,2,1,0.19987908141762423,0.19987908141762425,0.01998790814176241,0.06320731539019293,10,10,0,5,0.023061057947230994,4,-0.026815520773195087,1.214306433183765e-17,4.163336342344337e-17,7.632783294297951e-17,6.418476861114186e-17,9.020562075079397e-17,3.2526065174565133e-18,7.589415207398531e-18,1.214306433183765e-17,0.0,True
14,2,2,0.2254172578832464,0.22541725788324643,0.022541725788324658,0.07128319588206053,10,10,0,9,0.02850404513130839,19,-0.028542898267490076,-6.938893903907228e-18,4.163336342344337e-17,5.898059818321144e-17,9.107298248878237e-17,9.71445146547012e-17,4.0115480381963664e-18,1.496198998029996e-17,6.938893903907228e-18,0.0,True
15,2,3,0.07745945253563985,0.07745945253563988,0.007745945253563988,0.024494829632232692,12,8,0,7,0.010528234970041033,13,-0.009112908415917503,-5.204170427930421e-18,2.0816681711721685e-17,1.9081958235744878e-17,2.6454533008646308e-17,3.122502256758253e-17,1.3552527156068805e-18,1.8431436932253575e-18,5.204170427930421e-18,0.0,True
16,2,4,0.16384833302815502,0.16384833302815496,0.016384833302815493,0.05181339231907632,8,12,0,13,0.017739995087584025,7,-0.02214441711904598,0.0,3.469446951953614e-17,3.469446951953614e-17,5.551115123125783e-17,6.591949208711867e-17,2.6020852139652106e-18,3.577867169202165e-18,0.0,0.0,True
17,2,5,0.17707135878838592,0.1770713587883859,0.017707135878838594,0.055994880215217264,10,10,0,7,0.023699293982614868,12,-0.02141101322563268,0.0,4.163336342344337e-17,3.8163916471489756e-17,5.377642775528102e-17,7.930938891731465e-17,3.469446951953614e-18,6.938893903907228e-18,0.0,0.0,True
18,3,0,0.2797595448387224,0.27975954483872245,0.027975954483872273,0.08846773588623669,6,14,0,10,0.029827663359261507,9,-0.038763096330191406,6.938893903907228e-18,5.551115123125783e-17,6.938893903907228e-17,1.0581813203458523e-16,1.43982048506075e-16,5.421010862427522e-18,1.5612511283791264e-17,6.938893903907228e-18,0.0,True
19,3,1,0.14583843842733624,0.14583843842733624,0.014583843842733618,0.046118163583260686,10,10,0,4,0.01628856274412423,5,-0.015466215135050282,-8.673617379884035e-18,2.7755575615628914e-17,5.551115123125783e-17,4.380176776841438e-17,6.245004513516506e-17,2.168404344971009e-18,3.469446951953614e-18,8.673617379884035e-18,0.0,True
20,3,2,0.06908448225680626,0.06908448225680625,0.00690844822568064,0.02184643149049977,10,10,0,9,0.00821815102518182,6,-0.008240911577157204,-1.734723475976807e-18,1.3877787807814457e-17,1.5612511283791264e-17,2.233456475320139e-17,3.469446951953614e-17,1.6805133673525319e-18,3.2526065174565133e-18,1.734723475976807e-18,0.0,True
