probe_id,flux_norm,flux_norm_squared,direct_gap,base_quadratic_value,gram_quadratic_value,weighted_minor_value,maximum_minor_value_abs,identity_residual
55,0.11353739172976737,0.01289073932079865,0.09822037179031246,0.09822037179031251,0.0982203717903125,8.140451754431036e-19,1.3877787807814457e-17,4.163336342344337e-17
56,0.2038600405675181,0.041558916140190125,0.06955219497092098,0.06955219497092102,0.06955219497092101,8.905517885185996e-19,1.3877787807814457e-17,2.7755575615628914e-17
57,0.13156451207438202,0.017309220837370215,0.09380189027374089,0.09380189027374092,0.09380189027374089,-5.762406541920411e-19,1.3877787807814457e-17,0.0
58,0.03185190541762685,0.0010145438787334468,0.11009656723237765,0.11009656723237765,0.11009656723237764,1.6926761898482664e-18,1.3877787807814457e-17,1.3877787807814457e-17
59,0.14002525332081758,0.019607071567559135,0.09150403954355196,0.09150403954355193,0.09150403954355193,1.6215575878395494e-18,1.3877787807814457e-17,2.7755575615628914e-17
60,0.19197617961039407,0.03685485353780228,0.07425625757330882,0.07425625757330877,0.07425625757330878,1.3948139753254072e-19,2.7755575615628914e-17,4.163336342344337e-17
61,0.0802639678893125,0.006442304541336589,0.10466880656977452,0.1046688065697745,0.10466880656977451,-2.3190059412242006e-18,1.3877787807814457e-17,1.3877787807814457e-17
62,0.16771600302161466,0.028128657669546253,0.08298245344156485,0.08298245344156487,0.08298245344156487,1.569618210369303e-19,1.3877787807814457e-17,1.3877787807814457e-17
63,0.05509161080952549,0.0030350855815882254,0.10807602552952288,0.10807602552952292,0.10807602552952289,-1.6650207442418407e-19,1.3877787807814457e-17,1.3877787807814457e-17
64,0.06098646911268181,0.0037193494148320926,0.10739176169627901,0.10739176169627901,0.10739176169627902,4.601126339882909e-19,1.3877787807814457e-17,1.3877787807814457e-17
65,0.17456689257796484,0.03047359998432672,0.08063751112678438,0.08063751112678443,0.08063751112678444,4.357518379675914e-19,6.938893903907228e-18,5.551115123125783e-17
66,0.24169797872808915,0.05841791292124384,0.052693198189867264,0.052693198189867264,0.05269319818986725,-2.5835465211054133e-18,1.3877787807814457e-17,1.3877787807814457e-17
67,0.3167957752787825,0.10035956323448486,0.010751547876626244,0.010751547876626273,0.010751547876626279,-1.1667777381036316e-18,1.3877787807814457e-17,3.469446951953614e-17
68,0.18025231691604685,0.03249089775360299,0.07862021335750811,0.0786202133575081,0.0786202133575081,-1.0718499007014608e-18,1.3877787807814457e-17,1.3877787807814457e-17
69,0.09967647968865473,0.009935400603122799,0.1011757105079883,0.10117571050798829,0.10117571050798829,-3.789215986525701e-18,6.938893903907228e-18,1.3877787807814457e-17
70,0.15776846969325642,0.024890890029351968,0.08622022108175914,0.0862202210817592,0.08622022108175917,-2.0306246683143662e-18,1.3877787807814457e-17,2.7755575615628914e-17
71,0.22564439304315917,0.05091539211181569,0.06019571899929541,0.06019571899929549,0.06019571899929547,-8.757169934386308e-19,2.7755575615628914e-17,5.551115123125783e-17
72,0.09451407834509555,0.00893291100542286,0.10217820010568825,0.10217820010568825,0.10217820010568823,-2.4161492032685283e-18,1.3877787807814457e-17,1.3877787807814457e-17
73,0.09960500103645435,0.009921156231472073,0.10118995487963903,0.10118995487963903,0.10118995487963904,1.7137330245070923e-18,2.7755575615628914e-17,1.3877787807814457e-17
74,0.08673424921602978,0.007522829987068362,0.10358828112404274,0.10358828112404274,0.10358828112404274,-2.7499550287473094e-18,1.3877787807814457e-17,0.0
75,0.18447171019936068,0.03402981186387691,0.0770812992472342,0.07708129924723421,0.07708129924723421,-2.2537695452771903e-18,1.3877787807814457e-17,1.3877787807814457e-17
76,0.1481781562145574,0.021956765979145774,0.08915434513196532,0.0891543451319653,0.08915434513196532,-1.3771180725659113e-18,1.3877787807814457e-17,0.0
77,0.1844086061597649,0.03400653402578728,0.07710457708532382,0.07710457708532384,0.07710457708532381,-2.329764716523796e-19,1.3877787807814457e-17,1.3877787807814457e-17
78,0.19968164120034088,0.03987275783246167,0.07123835327864944,0.0712383532786494,0.07123835327864941,-1.5196907555220334e-18,2.7755575615628914e-17,2.7755575615628914e-17
79,0.1370587249418783,0.018785094082693448,0.09232601702841765,0.09232601702841767,0.09232601702841767,-2.160415030244684e-18,1.3877787807814457e-17,1.3877787807814457e-17
80,0.15289977556616974,0.023378341368185077,0.08773276974292603,0.08773276974292603,0.08773276974292601,4.1123507622453526e-18,2.7755575615628914e-17,1.3877787807814457e-17
81,0.12789756788677611,0.016357787871352503,0.0947533232397586,0.09475332323975862,0.09475332323975863,-2.7298021216434418e-19,2.7755575615628914e-17,2.7755575615628914e-17
82,0.16303012297151798,0.026578820996108272,0.08453229011500284,0.08453229011500281,0.08453229011500284,1.4863029081352764e-18,1.3877787807814457e-17,0.0
83,0.24222720416738178,0.05867401843874646,0.05243709267236465,0.05243709267236464,0.05243709267236464,5.170091450299149e-19,2.7755575615628914e-17,6.938893903907228e-18
84,0.1472022456180142,0.021668501114986184,0.08944260999612492,0.08944260999612491,0.08944260999612488,-8.317565743512899e-19,1.3877787807814457e-17,4.163336342344337e-17
85,0.09241580036498563,0.00854068015710088,0.10257043095401022,0.10257043095401024,0.10257043095401024,-3.113048569989769e-19,2.7755575615628914e-17,1.3877787807814457e-17
86,0.19167190007004517,0.03673811727646138,0.07437299383464972,0.0743729938346497,0.07437299383464968,2.9331935638190864e-18,2.7755575615628914e-17,4.163336342344337e-17
87,0.20499148395929576,0.042021508495834206,0.0690896026152769,0.06908960261527688,0.06908960261527688,4.576874731997409e-19,6.938893903907228e-18,1.3877787807814457e-17
88,0.14142624471660215,0.020001382694640232,0.09110972841647087,0.09110972841647087,0.09110972841647087,1.4427870887984582e-18,1.3877787807814457e-17,0.0
89,0.14288860169837062,0.020417152495315605,0.0906939586157955,0.09069395861579549,0.0906939586157955,-1.1456129013264681e-18,1.3877787807814457e-17,0.0
90,0.21245913911536737,0.04513888579364302,0.06597222531746808,0.06597222531746808,0.0659722253174681,-5.920133560963395e-19,1.3877787807814457e-17,2.7755575615628914e-17
91,0.15111819754699696,0.022836709629853194,0.08827440148125791,0.08827440148125792,0.08827440148125791,-6.736099432199115e-19,1.3877787807814457e-17,0.0
92,0.19244062326187872,0.03703339348142033,0.07407771762969077,0.07407771762969076,0.07407771762969076,-1.034399893256653e-18,2.7755575615628914e-17,1.3877787807814457e-17
93,0.14653513408931038,0.021472545522572172,0.08963856558853893,0.08963856558853897,0.08963856558853897,5.79350254464528e-19,2.7755575615628914e-17,4.163336342344337e-17
94,0.08028250375831357,0.006445280409703632,0.10466583070140748,0.10466583070140745,0.10466583070140745,-2.2831015276957803e-18,1.3877787807814457e-17,2.7755575615628914e-17
