start_id,sigma,target_gap,stationarity_residual,f0,f1,f2,f3,quadratic_relation_score
68,0.3333333333333333,0.0,5.9300949901499e-11,9.323123638184447e-11,-2.1736119486439753e-11,1.0,2.836118746783536e-10,0.0
69,0.3333333333333334,-1.1102230246251565e-16,5.2678825090165245e-11,-0.606784209435933,-0.20020590395055948,0.666666666473691,-0.38377867973013513,0.0
70,0.33333333333333326,5.551115123125783e-17,1.4251204431945024e-11,-2.183519839889205e-11,2.906064307250608e-11,1.0,1.0088819594502066e-10,0.0
71,0.33333333333333354,-2.220446049250313e-16,4.4650215976903687e-10,-0.05559819608259299,0.928416296071743,0.16666666774383934,0.32737477551569544,0.0
72,0.33333333333333304,2.7755575615628914e-16,1.3174886441569153e-10,0.5912289247009831,-0.3615200155570925,-0.1666666668662715,0.7014084823440662,0.0
73,0.3333333333333334,-1.1102230246251565e-16,6.599492987596923e-11,-0.05559819180420858,0.9284162966483173,0.1666666665518339,0.327374775214014,0.0
74,0.3333333333333331,2.220446049250313e-16,4.1230284511070155e-10,-0.6623824012315739,0.7282103933255114,-0.1666666640166207,-0.05640390675271774,0.0
75,0.33333333333333387,-5.551115123125783e-16,2.5107035185276287e-10,0.622339493084527,0.76193182352449,-0.1666666667087283,0.06614887645411138,0.0
76,0.3333333333333328,4.996003610813204e-16,1.050068514169444e-12,-0.6623824015317188,0.7282103926283124,-0.16666666666440222,-0.05640390440536218,0.0
77,0.33333333333333354,-2.220446049250313e-16,7.599423961568719e-11,3.162890696362805e-10,-2.514437246313866e-10,1.0,-5.326949640198785e-10,0.0
78,0.33333333333333326,5.551115123125783e-17,9.703665857245802e-10,0.6779376838660515,-0.16648447872643615,0.6666666677068525,-0.26122589708174376,0.0
79,0.3333333333333334,-1.1102230246251565e-16,1.0450280571694546e-11,4.1151086038281856e-11,-2.5592345036684974e-11,1.0,-7.085302425581284e-11,0.0
80,0.3333333333333334,-1.1102230246251565e-16,3.667336436671536e-11,-0.6067842093043271,-0.20020590401623037,0.6666666666299659,-0.38377867963248913,0.0
81,0.33333333333333387,-5.551115123125783e-16,4.921467166615314e-13,0.6934929700492404,0.3952414458259752,0.16666666666947896,-0.5788557006845153,0.0
82,0.3333333333333334,-1.1102230246251565e-16,4.569204570979677e-11,-0.05559819248294547,0.9284162965413015,0.16666666654858123,0.32737477540389,0.0
83,0.3333333333333338,-4.996003610813204e-16,1.093488527063838e-10,0.6223394933395611,0.7619318233859762,-0.1666666660786599,0.06614887723767163,0.0
84,0.33333333333333337,-5.551115123125783e-17,3.092864640425442e-10,-0.05559819357489085,0.9284162969101036,0.16666666514708686,0.32737477488604433,0.0
85,0.333333333333333,3.3306690738754696e-16,1.5275012254148752e-10,-0.662382401636321,0.7282103926531546,-0.16666666581605283,-0.05640390536300117,0.0
86,0.3333333333333329,3.885780586188048e-16,1.4436131925874215e-10,-0.08670876055093739,-0.19503554247893515,0.16666666660658136,0.9626343803625125,0.0
87,0.33333333333333315,1.6653345369377348e-16,2.378567174936399e-10,0.5912289253241059,-0.3615200162869629,-0.16666666688468929,0.7014084814382594,0.0
88,0.3333333333333331,2.220446049250313e-16,1.7251400859980052e-10,0.5912289249103145,-0.3615200162162054,-0.16666666642611724,0.7014084819324854,0.0
89,0.33333333333333326,5.551115123125783e-17,7.757440771639916e-12,5.854378689370959e-11,-1.209514891494038e-11,1.0,-3.133936654171558e-11,0.0
90,0.3333333333333334,-1.1102230246251565e-16,3.55840658811592e-11,-0.07115347660553822,0.3666903775500964,0.6666666664705327,0.6450045779652889,0.0
91,0.33333333333333337,-5.551115123125783e-17,2.620681505366383e-09,1.1198907244664845e-08,3.3137628611426188e-09,1.0,-7.3380978852863866e-09,0.0
92,0.3333333333333335,-1.6653345369377348e-16,4.974869230554959e-10,-2.494585184355102e-09,-3.2583933043692807e-10,1.0,-2.596280326254664e-09,0.0
93,0.33333333333333404,-7.216449660063518e-16,1.1106141341419063e-10,0.6223394929629652,0.7619318235993362,-0.16666666651030107,0.06614887723562514,0.0
94,0.33333333333333337,-5.551115123125783e-17,3.0149974497993683e-10,-1.8622704221128364e-11,-1.2400214595583864e-09,1.0,-2.3969144741870803e-09,0.0
95,0.33333333333333376,-4.440892098500626e-16,2.939836673453731e-12,0.693492970037638,0.39524144581789056,0.16666666666552232,-0.5788557007050745,0.0
96,0.3333333333333334,-1.1102230246251565e-16,5.4927147462252e-10,-0.6067842098322825,-0.2002059057365486,0.6666666669887689,-0.3837786772770301,0.0
97,0.3333333333333331,2.220446049250313e-16,2.6321718796853255e-10,0.5912289237630195,-0.3615200151430868,-0.16666666550942416,0.7014084836704884,0.0
98,0.3333333333333333,0.0,2.374558153481533e-10,-0.05559819232629465,0.9284162967652785,0.16666666555826656,0.32737477529947806,0.0
99,0.33333333333333387,-5.551115123125783e-16,1.702030637563712e-11,0.6934929700843488,0.39524144583367615,0.16666666661821364,-0.5788557006519561,0.0
100,0.3333333333333329,3.885780586188048e-16,3.6784046521112746e-11,-0.6623824016385096,0.7282103925425428,-0.16666666656823959,-0.05640390454274631,0.0
101,0.33333333333333326,5.551115123125783e-17,6.07874112842938e-11,0.6779376857955584,-0.16648447368591235,0.6666666665693317,-0.2612258981897148,0.0
102,0.3333333333333334,-1.1102230246251565e-16,1.2652226341948672e-09,-0.07115347429709516,0.36669038303063856,0.6666666612891153,0.645004580459643,0.0
103,0.33333333333333337,-5.551115123125783e-17,1.39538195743349e-09,-0.6067842142544855,-0.20020591092722312,0.6666666587752995,-0.3837786818450786,0.0
104,0.33333333333333337,-5.551115123125783e-17,9.638130992328239e-10,-0.6067842073967461,-0.20020590411311823,0.6666666668468612,-0.38377868222120914,0.0
105,0.3333333333333333,0.0,2.679304425934999e-12,0.6779376857923729,-0.16648447340431985,0.6666666666582273,-0.2612258981505781,0.0
106,0.3333333333333334,-1.1102230246251565e-16,1.1344694276072112e-09,-0.07115347421029204,0.3666903825675371,0.6666666695507066,0.6450045721934439,0.0
107,0.3333333333333331,2.220446049250313e-16,4.787133159856739e-10,0.5912289229036959,-0.3615200153640575,-0.16666666707920905,0.7014084839079261,0.0
108,0.3333333333333332,1.1102230246251565e-16,1.3144963945890427e-10,0.6779376861207242,-0.16648447353718115,0.6666666664374438,-0.26122589777721533,0.0
109,0.33333333333333287,4.440892098500626e-16,1.1089726455907143e-10,-0.6623824016291702,0.7282103924217247,-0.16666666706952601,-0.05640390473102211,0.0
110,0.33333333333333287,4.440892098500626e-16,2.67061900752691e-10,-0.662382401643182,0.7282103922796916,-0.16666666744866201,-0.05640390527991023,0.0
111,0.3333333333333331,2.220446049250313e-16,2.752588399205486e-10,-0.08670875931504239,-0.19503554287749264,0.16666666640954805,0.9626343804271985,0.0
112,0.33333333333333304,2.7755575615628914e-16,1.1646910692614073e-10,-0.6623824021053728,0.7282103920030606,-0.16666666698972607,-0.05640390477972946,0.0
113,0.33333333333333326,5.551115123125783e-17,3.1316021141804914e-12,0.6779376858003865,-0.1664844734133394,0.6666666666545714,-0.261225898133363,0.0
114,0.33333333333333326,5.551115123125783e-17,3.31279894123686e-11,0.677937685684774,-0.16648447323232743,0.6666666668255841,-0.2612258981123291,0.0
115,0.33333333333333376,-4.440892098500626e-16,4.7398759742258406e-11,0.6223394936050607,0.7619318229610461,-0.16666666696024712,0.06614887741311827,0.0
116,0.33333333333333326,5.551115123125783e-17,1.5993540125602235e-11,0.6779376858233159,-0.1664844733799455,0.6666666666073454,-0.26122589821566333,0.0
117,0.33333333333333354,-2.220446049250313e-16,8.907826057188967e-10,-0.055598191746404506,0.9284162979544542,0.16666666600034455,0.3273747718004636,0.0
118,0.33333333333333337,-5.551115123125783e-17,1.8314013963533585e-10,-0.05559819233744195,0.9284162966203912,0.16666666598790825,0.3273747754897464,0.0
119,0.33333333333333337,-5.551115123125783e-17,6.997223260707659e-11,-0.05559819254268367,0.9284162965645686,0.16666666643041098,0.3273747753879212,0.0
120,0.333333333333334,-6.661338147750939e-16,6.28760967317496e-11,0.6223394933641356,0.7619318233467675,-0.1666666663074516,0.06614887688163744,0.0
121,0.33333333333333337,-5.551115123125783e-17,3.706835216258239e-10,-9.510966046551834e-10,9.143258899034054e-10,1.0,-5.900299622490941e-10,0.0
122,0.3333333333333333,0.0,1.7739114188806361e-10,-0.05559819382028359,0.928416296601676,0.16666666657967508,0.327374774989721,0.0
123,0.33333333333333337,-5.551115123125783e-17,3.112908063735811e-10,-0.6067842090995791,-0.2002059063482904,0.6666666666865331,-0.38377867864138165,0.0
124,0.3333333333333334,-1.1102230246251565e-16,2.603618456709426e-11,5.243804534242154e-11,-5.805154784395641e-11,1.0,5.3827955258997816e-11,0.0
125,0.33333333333333387,-5.551115123125783e-16,3.094665344020474e-11,0.693492969908127,0.39524144582020077,0.16666666663293347,-0.57885570086804,0.0
126,0.33333333333333326,5.551115123125783e-17,6.479765969552851e-10,0.6779376845743974,-0.1664844699604135,0.666666668944875,-0.26122589767067456,0.0
127,0.3333333333333333,0.0,7.670314423137151e-12,0.67793768578661,-0.16648447346195866,0.6666666666634307,-0.2612258981155205,0.0
128,0.3333333333333333,0.0,2.0281603986592913e-11,-5.951043657316318e-11,-4.0658885266067156e-11,1.0,4.1864910274169804e-11,0.0
129,0.33333333333333326,5.551115123125783e-17,5.871314476710055e-11,2.3017245109253037e-11,-2.1629194936961942e-10,1.0,-3.635516349742939e-11,0.0
130,0.3333333333333329,3.885780586188048e-16,8.742498224549548e-11,-0.08670876052823975,-0.1950355423168621,0.16666666610078168,0.9626343804849662,0.0
131,0.33333333333333337,-5.551115123125783e-17,2.1549448573748465e-09,0.6779376937180486,-0.16648446165044828,0.6666666587509789,-0.2612259052525605,0.0
132,0.33333333333333354,-2.220446049250313e-16,5.177198048928384e-11,-0.6067842089561695,-0.20020590381784215,0.6666666669607414,-0.3837786797118523,0.0
133,0.33333333333333287,4.440892098500626e-16,4.008797419429497e-11,-0.6623824014801695,0.72821039265416,-0.16666666671892993,-0.05640390451590283,0.0
134,0.33333333333333404,-7.216449660063518e-16,6.819615665643725e-12,0.6223394934753165,0.7619318231402586,-0.1666666667009516,0.06614887722283813,0.0
