actual_index,orientation_type,character,rounded_character,representation_is_identity,orthogonality_max_abs,subspace_leakage_max_abs
38,reversing,0.9999999999999998,1,False,5.551115123125783e-16,1.3322676295501878e-15
39,reversing,-1.0,-1,False,8.881784197001252e-16,1.5577816814271728e-15
40,reversing,1.0000000000000002,1,False,3.8547083741452226e-16,1.3322676295501878e-15
41,preserving,4.440892098500626e-16,0,False,7.771561172376096e-16,1.3877787807814457e-15
42,reversing,-0.9999999999999996,-1,False,4.440892098500626e-16,1.3322676295501878e-15
43,reversing,-4.579669976578771e-16,0,False,5.551115123125783e-16,1.27675647831893e-15
44,reversing,0.9999999999999998,1,False,3.717362189091721e-16,1.2212453270876722e-15
45,preserving,-2.220446049250313e-16,0,False,4.440892098500626e-16,1.1657341758564144e-15
46,preserving,-4.163336342344337e-16,0,False,4.412638533645575e-16,1.27675647831893e-15
47,preserving,-0.9999999999999999,-1,False,5.551115123125783e-16,1.3322676295501878e-15
48,preserving,-9.43689570931383e-16,0,False,9.992007221626409e-16,8.257283745649602e-16
49,reversing,1.0,1,False,4.2900222889874777e-16,1.3322676295501878e-15
50,preserving,-1.0,-1,False,2.220446049250313e-16,1.1102230246251565e-15
51,reversing,-1.0000000000000004,-1,False,6.661338147750939e-16,1.3877787807814457e-15
52,reversing,1.0000000000000004,1,False,8.881784197001252e-16,1.1657341758564144e-15
53,reversing,4.649058915617843e-16,0,False,6.661338147750939e-16,1.2004286453759505e-15
54,preserving,2.220446049250313e-16,0,False,7.771561172376096e-16,1.27675647831893e-15
55,preserving,3.885780586188048e-16,0,False,6.661338147750939e-16,1.1102230246251565e-15
56,preserving,4.440892098500626e-16,0,False,6.661338147750939e-16,1.3877787807814457e-15
57,reversing,0.9999999999999998,1,False,5.551115123125783e-16,1.1796119636642288e-15
58,preserving,-0.9999999999999997,-1,False,5.432959926928535e-16,1.1102230246251565e-15
59,preserving,1.0000000000000002,1,False,2.220446049250313e-16,1.2212453270876722e-15
60,reversing,1.0000000000000004,1,False,6.661338147750939e-16,1.4432899320127035e-15
61,reversing,1.0,1,False,2.5459549873857454e-16,1.27675647831893e-15
62,reversing,-2.0000000000000004,-2,False,6.661338147750939e-16,1.3322676295501878e-15
63,preserving,-1.0000000000000004,-1,False,8.881784197001252e-16,1.3322676295501878e-15
64,preserving,-1.1102230246251565e-16,0,False,3.3306690738754696e-16,1.2212453270876722e-15
65,reversing,-4.0,-4,False,8.881784197001252e-16,1.8665624601510444e-15
66,reversing,2.220446049250313e-16,0,False,4.440892098500626e-16,1.3877787807814457e-15
67,preserving,2.0,2,False,3.3306690738754696e-16,1.1102230246251565e-15
68,preserving,1.9999999999999993,2,False,6.661338147750939e-16,1.4432899320127035e-15
69,preserving,-3.885780586188048e-16,0,False,8.881784197001252e-16,1.3322676295501878e-15
