coefficient_id,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
139,4,3,1,4,3.3633880602857e-06,3.356523893150057e-06,6.864167135643034e-09,False
140,4,3,0,5,3.6252519446204148e-06,3.8632872972045e-06,-2.3803535258408513e-07,False
141,4,2,6,0,2.7582174544526194e-06,2.443801750689832e-06,3.1441570376278727e-07,False
142,4,2,5,1,5.106686470200711e-06,5.3716871580846355e-06,-2.6500068788392426e-07,False
143,4,2,4,2,6.528061006013315e-06,5.679661369084567e-06,8.483996369287481e-07,False
144,4,2,3,3,1.1734237952085824e-05,1.2137419539561135e-05,-4.0318158747531087e-07,False
145,4,2,2,4,2.735373181761584e-06,1.8724332680487663e-06,8.629399137128177e-07,False
146,4,2,1,5,2.2548704084539606e-06,2.4478628620074667e-06,-1.929924535535061e-07,False
147,4,2,0,6,3.760963304408722e-06,3.3826485676228633e-06,3.783147367858589e-07,False
148,4,1,7,0,6.795173390021782e-07,7.476178566980083e-07,-6.810051769583016e-08,False
149,4,1,6,1,1.2105295187408047e-06,1.1520379481788668e-06,5.8491570561937824e-08,False
150,4,1,5,2,-2.344555889739055e-06,-2.1995809061108678e-06,-1.4497498362818703e-07,False
151,4,1,4,3,-2.0999035573279755e-06,-2.0527665871953975e-06,-4.7136970132578025e-08,False
152,4,1,3,4,4.7104968929472845e-09,2.0744178450248014e-08,-1.603368155730073e-08,False
153,4,1,2,5,8.866362137110156e-07,1.0785306003768458e-06,-1.9189438666583014e-07,False
154,4,1,1,6,2.5717907114306328e-06,2.515797028341974e-06,5.599368308865897e-08,False
155,4,1,0,7,1.651097061218046e-06,1.7629080459408367e-06,-1.1181098472279075e-07,False
156,4,0,8,0,1.6188095915320065e-07,6.780485029722728e-08,9.407610885597338e-08,False
157,4,0,7,1,1.2083499954312072e-06,1.3263376747106255e-06,-1.1798767927941823e-07,False
158,4,0,6,2,3.404286968141089e-06,3.0558695026906787e-06,3.4841746545041025e-07,False
159,4,0,5,3,4.885585243739261e-06,5.152411422706354e-06,-2.668261789670927e-07,False
160,4,0,4,4,4.634449298196648e-06,4.154957490060079e-06,4.79491808136569e-07,False
161,4,0,3,5,4.136810113968732e-06,4.363488585771273e-06,-2.266784718025411e-07,False
162,4,0,2,6,1.92065091536282e-06,1.6084872195439614e-06,3.121636958188584e-07,False
163,4,0,1,7,7.73469840578848e-07,8.459792160493964e-07,-7.250937547054847e-08,False
164,4,0,0,8,2.5531140282370717e-07,1.6679177023733296e-07,8.851963258637422e-08,False
165,3,9,0,0,-1.0294285200027955e-08,-9.167770982928838e-09,-1.1265142170991167e-09,False
166,3,8,1,0,5.6243876951100465e-09,9.634488464814454e-09,-4.010100769704407e-09,False
167,3,8,0,1,4.023082356833886e-08,3.2552828786785345e-08,7.677994781553518e-09,False
168,3,7,2,0,2.1580743164374927e-07,2.1962916406450246e-07,-3.8217324207531875e-09,False
169,3,7,1,1,1.2422542581467943e-07,1.5853394514115258e-07,-3.430851932647315e-08,False
170,3,7,0,2,-2.1875322864876582e-09,1.979117631760088e-09,-4.166649918247746e-09,False
171,3,6,3,0,1.1754823731873817e-07,1.2425323924409522e-07,-6.705001925357048e-09,False
172,3,6,2,1,5.089850482004337e-07,4.777197996182338e-07,3.12652485821999e-08,False
173,3,6,1,2,1.4284645108402961e-07,1.9065149880344374e-07,-4.780504771941413e-08,False
174,3,6,0,3,-3.8775994733951105e-08,-5.7043049092234406e-08,1.82670543582833e-08,False
175,3,5,4,0,4.869438156061704e-07,4.920571373160786e-07,-5.1133217099081605e-09,False
176,3,5,3,1,2.14490456268221e-06,2.2190459043328703e-06,-7.414134165066042e-08,False
177,3,5,2,2,1.4453359652636865e-06,1.4381379694357392e-06,7.197995827947327e-09,False
178,3,5,1,3,2.3453156577823643e-06,2.4275311672710964e-06,-8.221550948873215e-08,False
179,3,5,0,4,-3.0029316619630184e-07,-2.906435648038855e-07,-9.649601392416354e-09,False
180,3,4,5,0,-1.16540737087971e-07,-1.1390633399043576e-07,-2.6344030975352368e-09,False
181,3,4,4,1,1.7306175473542112e-06,1.6832535508170902e-06,4.736399653712097e-08,False
182,3,4,3,2,4.116162991338965e-07,5.180542958332497e-07,-1.064379966993532e-07,False
183,3,4,2,3,-2.3861997528152407e-07,-2.956492607710189e-07,5.702928548949481e-08,False
184,3,4,1,4,2.252569828803241e-06,2.3353458110819587e-06,-8.277598227871766e-08,False
185,3,4,0,5,-8.136814486876809e-08,-9.59570695970816e-08,1.4588924728313512e-08,False
186,3,3,6,0,3.794001324111447e-07,3.842165322707224e-07,-4.816399859577743e-09,False
187,3,3,5,1,2.609749101220313e-06,2.67524792783771e-06,-6.549882661739662e-08,False
188,3,3,4,2,3.5905982392939387e-06,3.5543306814575526e-06,3.6267557836386086e-08,False
189,3,3,3,3,3.793319752912043e-06,3.936717036470702e-06,-1.4339728355865864e-07,False
190,3,3,2,4,1.2362669060758323e-06,1.2289906286681132e-06,7.276277407719035e-09,False
191,3,3,1,5,3.0996897479368446e-06,3.158026634408479e-06,-5.8336886471634415e-08,False
192,3,3,0,6,-1.1453017842139356e-07,-1.0823452393960315e-07,-6.295654481790416e-09,False
193,3,2,7,0,-2.14145293105125e-07,-2.1796338023286747e-07,3.818087127742481e-09,False
194,3,2,6,1,8.483026349895525e-07,8.231697675469509e-07,2.5132867442601593e-08,False
195,3,2,5,2,1.3918974081597347e-07,2.2492243025716895e-07,-8.573268944119548e-08,False
196,3,2,4,3,1.3605824794145227e-06,1.2931822290975354e-06,6.74002503169873e-08,False
197,3,2,3,4,3.4976296309740306e-06,3.6418019121838546e-06,-1.44172281209824e-07,False
198,3,2,2,5,9.474943111324344e-07,9.106662257024023e-07,3.68280854300321e-08,False
199,3,2,1,6,2.0433144974436517e-06,2.110702465992005e-06,-6.738796854835342e-08,False
200,3,2,0,7,3.594852097203178e-08,3.3346990242999834e-08,2.6015307290319484e-09,False
201,3,1,8,0,2.7126595938384076e-08,2.9524892291708658e-08,-2.3982963533245815e-09,False
202,3,1,7,1,6.175186240014554e-07,6.431846282946635e-07,-2.5666004293208026e-08,False
203,3,1,6,2,2.317884828931642e-06,2.294530813675061e-06,2.3354015256580904e-08,False
204,3,1,5,3,8.813512586142141e-07,9.626747339796383e-07,-8.13234753654242e-08,False
205,3,1,4,4,1.1396767604520793e-06,1.1129720554759107e-06,2.6704704976168637e-08,False
