root_id,pair_index,pair_id,first_axis,second_axis,signed_overlap,absolute_overlap,overlap_class,selected_branch,projective_distance,candidate_coordinate_residual,span_residual,coefficient_first,coefficient_second,absolute_coefficient_ratio,equal_weight_residual
11,29,44,8,9,0.16666666666666727,0.16666666666666727,weak_1_over_6,acute,0.45514512630413706,0.31827700784599733,0.2672612419124231,0.8607068760795469,0.31298431857438097,2.7499999999999973,0.5477225575051659
12,5,8,0,9,0.16666666666666638,0.16666666666666638,weak_1_over_6,acute,0.45514512630413806,0.30732715123833493,0.26726124191242434,0.8607068760795471,0.3129843185743807,2.7500000000000004,0.5477225575051664
13,1,3,0,4,-0.16666666666666652,0.16666666666666652,weak_1_over_6,acute,0.45514512630413656,0.3273268353539882,0.2672612419124261,0.8607068760795451,-0.3129843185743831,2.7499999999999734,0.5477225575051621
14,25,37,5,8,-0.16666666666666669,0.16666666666666669,weak_1_over_6,acute,0.6296288974669554,0.44249900125367186,0.597614304667197,-0.5248906591678237,0.524890659167824,0.9999999999999996,2.220446049250313e-16
15,28,41,6,9,0.16666666666666682,0.16666666666666682,weak_1_over_6,acute,0.4551451263041373,0.32852532470864565,0.2672612419124253,0.3129843185743821,0.8607068760795463,0.3636363636363655,0.5477225575051643
16,18,26,3,6,-0.1666666666666663,0.1666666666666663,weak_1_over_6,acute,0.45514512630413706,1.431196415026496,0.26726124191242534,-0.3129843185743818,0.8607068760795459,0.36363636363636537,0.5477225575051641
17,16,23,2,9,-0.1666666666666664,0.1666666666666664,weak_1_over_6,acute,0.45514512630413706,0.30732715123833426,0.2672612419124244,-0.8607068760795462,0.3129843185743812,2.7499999999999933,0.547722557505165
18,17,25,3,5,0.16666666666666696,0.16666666666666696,weak_1_over_6,acute,0.45514512630413756,0.2648534767467518,0.26726124191242334,0.8607068760795477,0.31298431857437947,2.7500000000000133,0.5477225575051682
19,14,20,2,6,-0.16666666666666724,0.16666666666666724,weak_1_over_6,acute,0.45514512630413634,0.30976433984784546,0.2672612419124233,-0.860706876079546,0.3129843185743811,2.749999999999994,0.547722557505165
20,19,27,3,7,0.16666666666666635,0.16666666666666635,weak_1_over_6,acute,0.45514512630413634,0.32732683535398727,0.2672612419124253,0.8607068760795462,0.31298431857438225,2.749999999999984,0.547722557505164
21,26,38,5,9,-0.16666666666666638,0.16666666666666638,weak_1_over_6,acute,0.45514512630413606,1.2201980804136152,0.26726124191242523,0.8607068760795454,-0.3129843185743828,2.749999999999977,0.5477225575051626
22,27,40,6,8,0.16666666666666688,0.16666666666666688,weak_1_over_6,acute,0.45514512630413756,0.3860911775922437,0.2672612419124249,0.8607068760795471,0.3129843185743808,2.7499999999999996,0.5477225575051663
23,12,17,2,3,0.16666666666666613,0.16666666666666613,weak_1_over_6,acute,0.629628897466955,0.3953950538887022,0.5976143046671966,0.5248906591678242,0.5248906591678238,1.0000000000000007,3.3306690738754696e-16
24,20,29,3,9,-0.16666666666666677,0.16666666666666677,weak_1_over_6,acute,0.45514512630413684,0.3891441751313909,0.2672612419124249,-0.3129843185743817,0.8607068760795459,0.36363636363636526,0.5477225575051642
25,10,14,1,7,0.1666666666666674,0.1666666666666674,weak_1_over_6,acute,0.45514512630413656,0.3943214384593792,0.26726124191242256,0.8607068760795472,0.3129843185743805,2.750000000000002,0.5477225575051667
26,3,6,0,7,-0.1666666666666668,0.1666666666666668,weak_1_over_6,acute,0.6296288974669547,1.330879306865361,0.5976143046671966,0.5248906591678244,-0.5248906591678238,1.000000000000001,5.551115123125783e-16
27,2,4,0,5,-0.1666666666666668,0.1666666666666668,weak_1_over_6,acute,0.45514512630413684,0.3432846071088162,0.2672612419124248,-0.31298431857438186,0.8607068760795458,0.3636363636363655,0.5477225575051639
28,6,10,1,3,0.16666666666666657,0.16666666666666657,weak_1_over_6,acute,0.629628897466955,0.597738857602739,0.5976143046671967,0.5248906591678237,0.5248906591678243,0.9999999999999989,5.551115123125783e-16
29,15,21,2,7,0.16666666666666627,0.16666666666666627,weak_1_over_6,acute,0.45514512630413684,0.3273268353539867,0.2672612419124251,0.8607068760795454,0.31298431857438236,2.7499999999999805,0.5477225575051631
