start_id,sigma,target_gap,success,iteration_count,evaluation_count,tangent_stationarity_residual,f0,f1,f2,f3
30,0.3333333333333339,-6.106226635438361e-16,True,14,22,1.8521396344513307e-10,0.6223394939170042,0.7619318226057696,-0.16666666760890916,0.06614887693618372
31,0.33333333333333304,2.7755575615628914e-16,True,9,36,1.6849892861570052e-09,-0.6623824023795827,0.7282103901694497,-0.16666667250596962,-0.05640390893279113
32,0.3333333333333338,-4.996003610813204e-16,True,10,12,6.429065114872132e-12,0.6934929700261145,0.3952414458111166,0.16666666665118293,-0.5788557007276339
33,0.3333333333333333,0.0,True,10,12,4.097861078209945e-11,-0.07115347648781813,0.36669037755671946,0.6666666665609393,0.6450045778810669
34,0.33333333333333337,-5.551115123125783e-17,True,13,23,9.247124603231554e-10,0.6779376838133598,-0.16648447283035134,0.666666667786464,-0.2612259007730085
35,0.3333333333333329,3.885780586188048e-16,True,10,11,3.930020429443043e-12,-0.0867087608275738,-0.1950355418934729,0.16666666669395983,0.9626343804410845
36,0.3333333333333339,-6.106226635438361e-16,True,13,15,7.679904131305661e-11,0.622339493923275,0.7619318227624478,-0.16666666687542,0.06614887692057538
37,0.33333333333333304,2.7755575615628914e-16,True,12,13,5.118207063924658e-11,-0.08670876103239397,-0.19503554166910217,0.16666666698914004,0.9626343804169879
38,0.3333333333333329,3.885780586188048e-16,True,15,18,1.4642147528856155e-13,-0.08670876083143658,-0.19503554191320835,0.16666666666637137,0.9626343804415145
39,0.33333333333333315,1.6653345369377348e-16,True,13,14,3.4723827197486477e-12,0.5912289249672251,-0.3615200153345263,-0.166666666651161,0.7014084822854754
40,0.3333333333333333,0.0,True,10,11,1.5341743702005163e-12,-0.055598192299613505,0.928416296544735,0.16666666667317115,0.32737477536185944
41,0.333333333333333,3.3306690738754696e-16,True,13,15,1.8973706665263404e-11,-0.08670876088141677,-0.19503554191586978,0.16666666673957334,0.9626343804237995
42,0.3333333333333329,3.885780586188048e-16,True,13,15,8.480065410179871e-12,-0.08670876079184017,-0.1950355419311378,0.16666666667761967,0.9626343804395009
43,0.33333333333333387,-5.551115123125783e-16,True,12,15,2.788939248834312e-11,0.6934929699318071,0.3952414459001414,0.16666666659275575,-0.5788557007966549
44,0.3333333333333329,3.885780586188048e-16,True,12,14,6.6360108027512174e-12,-0.6623824015036959,0.7282103926533702,-0.16666666667593005,-0.056403904376872226
45,0.3333333333333329,3.885780586188048e-16,True,14,17,9.700099623059178e-11,-0.6623824014322616,0.7282103926785386,-0.16666666670593905,-0.05640390480215168
46,0.33333333333333337,-5.551115123125783e-17,True,12,14,1.4129038377978751e-09,-0.6067842116811746,-0.2002059040960418,0.6666666666835669,-0.38377867573976004
47,0.33333333333333326,5.551115123125783e-17,True,12,13,9.13615402784688e-11,0.6779376852798443,-0.16648447326161603,0.6666666672592038,-0.26122589803791507
48,0.3333333333333335,-1.6653345369377348e-16,True,10,12,1.0583955550771682e-10,-0.07115347625669664,0.36669037742390354,0.6666666666355061,0.645004577904999
49,0.3333333333333331,2.220446049250313e-16,True,11,12,3.519145987992262e-11,0.5912289249292024,-0.36152001534105616,-0.16666666677998557,0.7014084822835488
50,0.333333333333334,-6.661338147750939e-16,True,12,14,1.8659405253539177e-11,0.6223394933882305,0.7619318232081947,-0.16666666669116725,0.06614887728429195
51,0.33333333333333287,4.440892098500626e-16,True,13,22,4.172477162037921e-14,-0.6623824015282332,0.7282103926313178,-0.16666666666663327,-0.05640390440089936
52,0.3333333333333333,0.0,True,13,18,5.854704892906978e-11,-0.055598192300858294,0.9284162965619127,0.16666666680553865,0.3273747752455444
53,0.3333333333333333,0.0,True,12,13,2.483110458771048e-11,0.6779376857066861,-0.166484473302514,0.666666666791721,-0.26122589809715185
54,0.33333333333333315,1.6653345369377348e-16,True,14,59,4.223162015449932e-10,-0.0867087595825451,-0.19503554191007896,0.1666666650125418,0.9626343808409793
55,0.3333333333333329,3.885780586188048e-16,True,11,13,6.8720904466192784e-12,-0.08670876077640333,-0.1950355419319287,0.16666666665433497,0.9626343804447627
56,0.33333333333333337,-5.551115123125783e-17,True,12,13,4.3372274807737133e-11,-0.07115347665318172,0.3666903775976204,0.6666666665578056,0.6450045778428114
57,0.33333333333333387,-5.551115123125783e-16,True,13,17,2.436260825856859e-10,0.6934929703802326,0.3952414468693028,0.16666666690823848,-0.5788556995068461
58,0.3333333333333334,-1.1102230246251565e-16,True,9,28,3.665910120375656e-10,-0.05559819220258316,0.9284162971455817,0.1666666663334586,0.32737477384731917
59,0.3333333333333331,2.220446049250313e-16,True,10,16,1.8370878916259947e-09,0.5912289216269714,-0.36152001887577695,-0.1666666694623166,0.7014084826078206
60,0.3333333333333333,0.0,True,9,11,4.349093784508832e-12,-0.606784209236494,-0.20020590391855975,0.6666666666498325,-0.38377867975617946
61,0.333333333333333,3.3306690738754696e-16,True,10,12,4.336008770593758e-11,-0.086708760977671,-0.1950355416677317,0.16666666692994592,0.9626343804324433
62,0.33333333333333376,-4.440892098500626e-16,True,12,15,3.69277401001583e-09,0.6934929813594447,0.39524146091499546,0.1666666701407398,-0.5788556758322121
63,0.33333333333333337,-5.551115123125783e-17,True,14,15,4.134868515690363e-10,-0.6067842088793866,-0.20020590703715807,0.6666666668484839,-0.383778678348835
64,0.33333333333333326,5.551115123125783e-17,True,17,23,1.4051387171719057e-10,-0.07115347693311291,0.3666903768649899,0.666666666966543,0.6450045778059726
65,0.3333333333333333,0.0,True,9,10,5.327822148072818e-10,-0.07115347636017391,0.36669037889033324,0.6666666693434486,0.6450045742610195
66,0.3333333333333339,-6.106226635438361e-16,True,12,14,5.747557708464294e-11,0.6934929700674509,0.39524144551789214,0.1666666667399209,-0.5788557008527746
67,0.3333333333333328,4.996003610813204e-16,True,13,16,5.265163919041293e-11,-0.6623824015317723,0.7282103926842871,-0.1666666664161108,-0.05640390441573351
68,0.3333333333333333,0.0,True,13,14,5.9300949901499e-11,9.323123638184447e-11,-2.1736119486439753e-11,1.0,2.836118746783536e-10
69,0.3333333333333334,-1.1102230246251565e-16,True,11,13,5.2678825090165245e-11,-0.606784209435933,-0.20020590395055948,0.666666666473691,-0.38377867973013513
70,0.33333333333333326,5.551115123125783e-17,True,11,12,1.4251204431945024e-11,-2.183519839889205e-11,2.906064307250608e-11,1.0,1.0088819594502066e-10
71,0.33333333333333354,-2.220446049250313e-16,True,12,24,4.4650215976903687e-10,-0.05559819608259299,0.928416296071743,0.16666666774383934,0.32737477551569544
72,0.33333333333333304,2.7755575615628914e-16,True,15,18,1.3174886441569153e-10,0.5912289247009831,-0.3615200155570925,-0.1666666668662715,0.7014084823440662
73,0.3333333333333334,-1.1102230246251565e-16,True,17,21,6.599492987596923e-11,-0.05559819180420858,0.9284162966483173,0.1666666665518339,0.327374775214014
74,0.3333333333333331,2.220446049250313e-16,True,10,18,4.1230284511070155e-10,-0.6623824012315739,0.7282103933255114,-0.1666666640166207,-0.05640390675271774
75,0.33333333333333387,-5.551115123125783e-16,True,13,15,2.5107035185276287e-10,0.622339493084527,0.76193182352449,-0.1666666667087283,0.06614887645411138
76,0.3333333333333328,4.996003610813204e-16,True,12,16,1.050068514169444e-12,-0.6623824015317187,0.7282103926283123,-0.1666666666644022,-0.05640390440536217
77,0.33333333333333354,-2.220446049250313e-16,True,10,46,7.599423961568719e-11,3.162890696362805e-10,-2.514437246313866e-10,1.0,-5.326949640198785e-10
78,0.33333333333333326,5.551115123125783e-17,True,8,10,9.703665857245802e-10,0.6779376838660515,-0.16648447872643615,0.6666666677068525,-0.26122589708174376
79,0.3333333333333334,-1.1102230246251565e-16,True,10,11,1.0450280571694546e-11,4.1151086038281856e-11,-2.5592345036684974e-11,1.0,-7.085302425581284e-11
80,0.3333333333333334,-1.1102230246251565e-16,True,12,17,3.667336436671536e-11,-0.606784209304327,-0.20020590401623034,0.6666666666299658,-0.3837786796324891
81,0.33333333333333387,-5.551115123125783e-16,True,11,15,4.921467166615314e-13,0.6934929700492404,0.3952414458259752,0.16666666666947896,-0.5788557006845153
82,0.3333333333333334,-1.1102230246251565e-16,True,11,12,4.569204570979677e-11,-0.05559819248294547,0.9284162965413015,0.16666666654858123,0.32737477540389
83,0.3333333333333338,-4.996003610813204e-16,True,14,20,1.093488527063838e-10,0.622339493339561,0.7619318233859761,-0.16666666607865988,0.06614887723767161
84,0.33333333333333337,-5.551115123125783e-17,True,10,11,3.092864640425442e-10,-0.05559819357489085,0.9284162969101036,0.16666666514708686,0.32737477488604433
85,0.333333333333333,3.3306690738754696e-16,True,10,11,1.5275012254148752e-10,-0.662382401636321,0.7282103926531546,-0.16666666581605283,-0.05640390536300117
86,0.3333333333333329,3.885780586188048e-16,True,9,10,1.4436131925874215e-10,-0.08670876055093739,-0.19503554247893515,0.16666666660658136,0.9626343803625125
87,0.33333333333333315,1.6653345369377348e-16,True,10,12,2.378567174936399e-10,0.5912289253241059,-0.3615200162869629,-0.16666666688468929,0.7014084814382594
88,0.3333333333333331,2.220446049250313e-16,True,10,12,1.7251400859980052e-10,0.5912289249103145,-0.3615200162162054,-0.16666666642611724,0.7014084819324854
89,0.33333333333333326,5.551115123125783e-17,True,12,15,7.757440771639916e-12,5.854378689370959e-11,-1.209514891494038e-11,1.0,-3.133936654171558e-11
90,0.3333333333333334,-1.1102230246251565e-16,True,12,14,3.55840658811592e-11,-0.07115347660553821,0.36669037755009637,0.6666666664705326,0.6450045779652888
91,0.33333333333333337,-5.551115123125783e-17,True,9,16,2.620681505366383e-09,1.1198907244664845e-08,3.3137628611426188e-09,1.0,-7.3380978852863866e-09
92,0.3333333333333335,-1.6653345369377348e-16,True,10,15,4.974869230554959e-10,-2.494585184355102e-09,-3.2583933043692807e-10,1.0,-2.596280326254664e-09
93,0.33333333333333404,-7.216449660063518e-16,True,9,11,1.1106141341419063e-10,0.6223394929629652,0.7619318235993362,-0.16666666651030107,0.06614887723562514
