mode_id,norm,sum,mean,minimum,maximum,pivot_edge,pivot_value,support_above_1e_12,divergence_max_abs,curl_max_abs,laplacian_max_abs
27,1.0000000000000004,-0.15694208064364243,-0.0013078506720303536,-0.24767104732132586,0.5124987937824859,13,0.5124987937824859,119,7.216449660063518e-16,1.2385925618474403e-15,2.6853519408120974e-15
28,0.9999999999999998,-0.0922748237158309,-0.0007689568642985908,-0.3309147225634433,0.34354844929050016,5,0.34354844929050016,120,1.0824674490095276e-15,1.124100812432971e-15,3.25434124093249e-15
29,0.9999999999999994,0.8342987580423266,0.006952489650352721,-0.34889431065334725,0.5893470732921055,0,0.5893470732921055,120,5.100087019371813e-16,5.551115123125783e-16,9.124645483638005e-16
30,1.0,0.9725703417167056,0.008104752847639214,-0.2551699864585032,0.3064105231794915,29,0.3064105231794915,119,9.71445146547012e-16,1.1310397063368782e-15,2.546574062733953e-15
31,0.9999999999999996,0.3323657196293404,0.0027697143302445036,-0.21721415903568378,0.2535468455413224,117,0.2535468455413224,119,4.440892098500626e-16,5.412337245047638e-16,1.3322676295501878e-15
32,1.0,0.02592893365393134,0.00021607444711609452,-0.21876610234431854,0.22299651741115956,77,0.22299651741115956,119,7.216449660063518e-16,4.787836793695988e-16,1.9220736113823023e-15
33,1.0000000000000004,-0.1394552146314887,-0.0011621267885957391,-0.2289036400600878,0.23953979609192644,89,0.23953979609192644,119,1.0685896612017132e-15,8.98586760555986e-16,3.372302437298913e-15
34,1.0,-0.571873911786689,-0.004765615931555741,-0.2657942626304512,0.2923416678667194,16,0.2923416678667194,119,6.908536243077634e-16,7.077671781985373e-16,2.525757381022231e-15
35,1.0000000000000004,0.15340938251401404,0.001278411520950117,-0.2314381027987652,0.2611725940244318,76,0.2611725940244318,119,7.771561172376096e-16,1.0928757898653885e-15,2.869232629265639e-15
36,1.0,0.09349596411894107,0.0007791330343245088,-0.19496138108637984,0.20638827467602838,103,0.20638827467602838,119,8.604228440844963e-16,7.771561172376096e-16,1.7763568394002505e-15
37,0.9999999999999998,-0.00041556333582520866,-3.4630277985434055e-06,-0.29960841165441676,0.3570377989640885,9,0.3570377989640885,120,1.4016565685892601e-15,1.6028844918025698e-15,4.714978407704962e-15
38,1.0,0.2625550837453313,0.002187959031211094,-0.21949412794766113,0.30531049655195025,42,0.30531049655195025,119,5.828670879282072e-16,7.771561172376096e-16,1.970645868709653e-15
39,1.0000000000000007,0.9032771845376776,0.007527309871147313,-0.22417682737823016,0.26620423659460885,113,0.26620423659460885,119,6.800116025829084e-16,9.575673587391975e-16,1.915134717478395e-15
40,1.0000000000000002,0.08920057933171177,0.0007433381610975981,-0.18821758441467173,0.2991853157992894,112,0.2991853157992894,119,6.800116025829084e-16,7.216449660063518e-16,1.7277845820728999e-15
41,0.9999999999999997,-0.3228734873159991,-0.002690612394299992,-0.26503849524619766,0.28996785760420113,20,0.28996785760420113,119,6.106226635438361e-16,5.447031714567174e-16,1.3912482277333993e-15
