start_id,root_pass,residual_norm,residual_max_abs,norm_residual,axis_distance,nearest_axis_id,success,status,function_evaluations,f0,f1,f2,f3
75,True,1.9229626863835638e-16,1.1102230246251565e-16,0.0,0.8420246737858657,0,True,1,8,-0.5371773447420322,-0.30615270748546985,0.6454972243679008,0.4483796977211973
76,True,4.002966042486721e-16,3.3306690738754696e-16,3.1086244689504383e-15,0.41744238123296246,0,True,1,7,0.751163506256029,0.12529535398545535,0.45643546458763984,-0.46013164182163496
77,True,2.3551386880256624e-16,1.6653345369377348e-16,0.0,0.8420246737858657,0,True,1,8,-0.537177344742032,-0.3061527074854698,0.6454972243679009,0.44837969772119735
78,True,6.731800026102354e-16,6.661338147750939e-16,0.0,0.0,3,True,1,9,0.6223394934782109,0.7619318231460642,-0.16666666666666535,0.06614887721512192
79,True,3.314002943249781e-16,2.220446049250313e-16,0.0,0.8420246737858658,8,True,1,8,-0.043066174579319556,0.7191481709749333,-0.6454972243679005,0.2535834105848565
80,True,3.342012032822494e-16,2.220446049250313e-16,0.0,0.4174423812329614,0,True,1,7,-0.4273340874071141,-0.3233080213627911,-2.7838172632684456e-15,0.844308889602855
81,True,1.0050102287836622e-14,6.0090282567072875e-15,2.2648549702353193e-14,0.8420246737858575,2,True,1,5,-0.5802435193213559,0.4129954634894679,-2.6986370040801505e-15,0.7019631083060469
82,True,2.4840616734721147e-16,2.220446049250313e-16,0.0,0.4174423812329622,3,True,1,6,0.720711122171229,0.6338099023597327,2.0725434224884433e-15,-0.28082109260066984
83,True,4.1540741810552243e-16,3.3306690738754696e-16,0.0,0.0,2,True,1,6,-0.6623824015281943,0.7282103926313335,-0.16666666666666405,-0.056403904401063076
84,True,8.886119947416683e-17,5.551115123125783e-17,0.0,0.8804857344718372,8,True,1,9,-0.0871448555112709,0.4491021590075079,-0.4082482904638626,0.7899660488059272
85,True,2.576903968564852e-16,2.220446049250313e-16,0.0,0.8420246737858658,6,True,1,7,0.4148977814522152,0.439115971248232,8.495584435455462e-16,0.7968920847522278
86,True,1.5371027197103362e-15,1.0336633147755073e-15,3.552713678800501e-15,0.41744238123295874,2,True,1,7,0.6866312018603529,-0.5968699260312108,9.486512351647683e-16,0.41507093855304344
87,True,1.9540102647498285e-16,1.1102230246251565e-16,0.0,0.842024673785866,3,True,1,8,0.4820620987856528,0.5901898523980313,0.6454972243679044,0.05123869996489809
88,True,3.0485455892433494e-16,2.220446049250313e-16,0.0,0.8420246737858657,3,True,1,8,0.9951413007735664,0.026120507758769236,5.105814636958278e-16,0.09492897644617401
89,True,4.611102534756203e-16,4.440892098500626e-16,2.220446049250313e-16,0.41744238123296246,2,True,1,7,0.7341235461005913,-0.4900445602100163,0.4564354645876374,-0.11218562624477618
90,True,2.5438405243138006e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0,True,1,8,0.6934929700486026,0.39524144582917553,0.1666666666666687,-0.5788557006839032
91,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.4174423812329598,1,True,1,6,0.37132176308915665,-0.09118730155614266,0.9128709291752761,-0.14307931701660262
92,True,2.7755575615628914e-17,2.7755575615628914e-17,2.220446049250313e-16,0.41744238123296273,1,True,1,7,0.7511635062560292,0.12529535398545474,0.45643546458764,-0.46013164182163485
93,True,5.721958498152797e-17,5.551115123125783e-17,0.0,0.842024673785866,8,True,1,10,-0.04306617457931957,0.7191481709749332,-0.6454972243679007,0.2535834105848565
94,True,3.144829278511358e-16,2.220446049250313e-16,1.1102230246251565e-16,0.880485734471837,3,True,1,8,0.019051254620724524,0.6879709387049829,-0.612372435695792,-0.38901547166502815
95,True,2.498001805406602e-16,2.220446049250313e-16,1.1102230246251565e-16,0.880485734471837,3,True,1,6,0.7431558482811522,0.2452011540432048,0.4082482904638635,0.47003096978256104
96,True,8.791115788588557e-15,6.994405055138486e-15,9.325873406851315e-15,0.0,2,True,1,6,-0.6623824015282049,0.7282103926313216,-0.16666666666666627,-0.056403904401082415
