elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e4,80,2,0,3,3,0.0014185652533205864,0.0014185652533205801,6.288372600415926e-18,True
e4,81,2,0,2,4,0.002670633688290679,0.0026706336882906696,9.540979117872439e-18,True
e4,82,2,0,1,5,0.0004315356168781044,0.0004315356168780979,6.5052130349130266e-18,True
e4,83,2,0,0,6,0.0007786645628858979,0.0007786645628858923,5.637851296924623e-18,True
e4,84,1,7,0,0,1.3392866092127761e-05,1.3392866092134927e-05,-7.165898733771381e-18,True
e4,85,1,6,1,0,5.9252476062274875e-05,5.925247606227319e-05,1.6872896309305663e-18,True
e4,86,1,6,0,1,-4.834340229847146e-05,-4.834340229847595e-05,4.492662752236809e-18,True
e4,87,1,5,2,0,3.8711386671040926e-05,3.8711386671062786e-05,-2.1860226302738983e-17,True
e4,88,1,5,1,1,0.00024271142497065247,0.0002427114249706497,2.7647155398380363e-18,True
e4,89,1,5,0,2,5.9391052167506644e-05,5.9391052167529026e-05,-2.2381998598247632e-17,True
e4,90,1,4,3,0,0.0001250331989148474,0.00012503319891484413,3.279711571768651e-18,True
e4,91,1,4,2,1,-9.353607784347183e-05,-9.353607784348095e-05,9.120850776034306e-18,True
e4,92,1,4,1,2,0.0002922563854298722,0.00029225638542986805,4.174178364069192e-18,True
e4,93,1,4,0,3,-6.839628759780096e-05,-6.8396287597807e-05,6.044427111606687e-18,True
e4,94,1,3,4,0,5.1280313675784386e-05,5.128031367580146e-05,-1.7076184216646695e-17,True
e4,95,1,3,3,1,0.0005324427448791848,0.0005324427448791804,4.336808689942018e-18,True
e4,96,1,3,2,2,6.981001433526823e-05,6.981001433530997e-05,-4.174178364069192e-17,True
e4,97,1,3,1,3,0.00039030166624417996,0.0003903016662441737,6.2341624917916505e-18,True
e4,98,1,3,0,4,7.134826827226602e-05,7.134826827228562e-05,-1.9596954267675493e-17,True
e4,99,1,2,5,0,5.278886555114717e-05,5.278886555114577e-05,1.4026865606531214e-18,True
e4,100,1,2,4,1,-4.072526733848494e-05,-4.072526733849013e-05,5.1906179007743525e-18,True
e4,101,1,2,3,2,0.000574064863294017,0.0005740648632940144,2.6020852139652106e-18,True
e4,102,1,2,2,3,-0.0001177124021440473,-0.00011771240214405657,9.269928574751063e-18,True
e4,103,1,2,1,4,0.0005461018119050455,0.0005461018119050439,1.6263032587282567e-18,True
e4,104,1,2,0,5,3.561916933913548e-06,3.5619169339103987e-06,3.1492684978914887e-18,True
e4,105,1,1,6,0,2.1947052504175322e-05,2.1947052504178517e-05,-3.195008277043221e-18,True
e4,106,1,1,5,1,0.000237524030150578,0.0002375240301505762,1.7889335846010823e-18,True
e4,107,1,1,4,2,5.085730589882039e-05,5.0857305898836925e-05,-1.6534083130403943e-17,True
e4,108,1,1,3,3,0.00034262362593924083,0.0003426236259392348,6.0173220572945496e-18,True
e4,109,1,1,2,4,-4.065808458709677e-06,-4.065808458690844e-06,-1.8832930549252114e-17,True
e4,110,1,1,1,5,0.00015580318644593436,0.0001558031864459309,3.469446951953614e-18,True
e4,111,1,1,0,6,3.833510903700533e-05,3.833510903701053e-05,-5.204170427930421e-18,True
e4,112,1,0,7,0,5.994875684192311e-19,5.248226818637843e-19,7.466488655544676e-20,True
e4,113,1,0,6,1,-1.2410034350637399e-05,-1.2410034350637818e-05,4.1843427594362437e-19,True
e4,114,1,0,5,2,0.0002542224966193312,0.0002542224966193318,-5.963111948670274e-19,True
e4,115,1,0,4,3,-2.5007347342456846e-05,-2.5007347342458343e-05,1.497554250745603e-18,True
e4,116,1,0,3,4,0.0005246968249745019,0.0005246968249745028,-9.75781955236954e-19,True
e4,117,1,0,2,5,-1.6270990731044887e-05,-1.6270990731047567e-05,2.6800122451126063e-18,True
e4,118,1,0,1,6,0.00023738365390701556,0.00023738365390701548,8.131516293641283e-20,True
e4,119,1,0,0,7,1.716814888618677e-05,1.7168148886185524e-05,1.2468324983583301e-18,True
e4,120,0,8,0,0,0.0001692425076613321,0.0001692425076613319,2.168404344971009e-19,True
e4,121,0,7,1,0,-4.8751033712650335e-05,-4.875103371264597e-05,-4.363913744254155e-18,True
e4,122,0,7,0,1,-0.00026725658581302965,-0.00026725658581302987,2.168404344971009e-19,True
e4,123,0,6,2,0,0.0011711594766863956,0.001171159476686394,1.5178830414797062e-18,True
e4,124,0,6,1,1,-0.00023587892170018768,-0.00023587892170018828,5.963111948670274e-19,True
e4,125,0,6,0,2,0.0009672546531961569,0.0009672546531961544,2.4936649967166602e-18,True
e4,126,0,5,3,0,-0.0001021758740047911,-0.00010217587400477448,-1.6615398293340355e-17,True
e4,127,0,5,2,1,-0.0007991689284459582,-0.0007991689284459597,1.5178830414797062e-18,True
e4,128,0,5,1,2,-0.0004349754190228856,-0.0004349754190228713,-1.431146867680866e-17,True
e4,129,0,5,0,3,-0.0003143286270433763,-0.0003143286270433749,-1.4094628242311558e-18,True
e4,130,0,4,4,0,0.00205779552911185,0.0020577955291118475,2.6020852139652106e-18,True
e4,131,0,4,3,1,-0.0005116804381706465,-0.0005116804381706475,9.75781955236954e-19,True
e4,132,0,4,2,2,0.003715545730963822,0.00371554573096381,1.1709383462843448e-17,True
e4,133,0,4,1,3,-0.0005560090030066444,-0.00055600900300664,-4.445228907190568e-18,True
e4,134,0,4,0,4,0.0015396236067516363,0.0015396236067516287,7.589415207398531e-18,True
e4,135,0,3,5,0,-4.2732977370708356e-05,-4.2732977370691755e-05,-1.6601845766184287e-17,True
e4,136,0,3,4,1,-0.001047113998992045,-0.0010471139989920468,1.734723475976807e-18,True
