root_id,is_native_axis,nearest_axis_id,axis_distance,residual_norm,operator_norm,one_third_gap,f0,f1,f2,f3
14,False,9,0.8804857344718369,9.396246243876959e-16,0.20412414523193212,0.1292091881014012,0.019051254620723636,0.6879709387049788,0.6123724356957975,-0.3890154716650266
15,False,7,0.41744238123296035,5.743794908190346e-16,0.3302798049097851,0.003053528423548224,-0.03897236416252045,0.20084459127653892,0.9128709291752761,0.3532835570093969
16,False,0,0.41744238123296085,2.661296653564706e-16,0.33027980490978504,0.0030535284235482796,-0.42733408740711437,-0.32330802136279124,-2.894694292519563e-15,0.8443088896028548
17,False,1,0.41744238123296246,8.920730087951354e-16,0.33027980490978454,0.003053528423548779,0.7341235461005908,-0.4900445602100163,0.4564354645876379,-0.1121856262447767
18,False,3,0.4174423812329611,9.238896857051836e-16,0.3302798049097853,0.003053528423548002,0.6732187779309907,0.5269845365385395,-0.45643546458763595,0.24643547219715184
19,True,0,0.0,3.128879526812945e-15,0.3333333333333339,-6.106226635438361e-16,0.6934929700486072,0.39524144582917453,0.1666666666666735,-0.578855700683897
20,False,5,0.41744238123296196,1.2441048548802037e-15,0.33027980490978465,0.003053528423548668,0.6866312018603515,-0.5968699260312103,-1.2624206572760055e-15,0.41507093855304666
21,False,8,0.4174423812329614,4.603949291125036e-16,0.3302798049097852,0.003053528423548113,0.3104169949195529,0.9258417951924132,3.3360735173797787e-15,0.21554178142532837
22,False,4,0.41744238123296085,1.3788683915077173e-15,0.33027980490978487,0.003053528423548446,0.6561788177755511,-0.0883553776569309,-0.45643546458764095,0.5943814877740101
23,False,7,0.41744238123296273,2.387624894196368e-16,0.33027980490978465,0.003053528423548668,-0.08646470840275906,0.09401922545534452,0.45643546458763806,0.8805401218072179
24,False,9,0.8804857344718369,1.1209924842431371e-15,0.20412414523193137,0.12920918810140194,0.01905125462072389,0.6879709387049825,-0.6123724356957926,-0.3890154716650277
25,False,4,0.4174423812329614,5.003707553108401e-16,0.33027980490978487,0.003053528423548446,-0.3323493989266369,-0.1096572897204039,0.9128709291752762,-0.2102042399927901
26,False,1,0.4174423812329611,1.0103182026100664e-15,0.330279804909785,0.003053528423548335,0.3713217630891562,-0.09118730155614219,0.9128709291752766,-0.14307931701660165
27,True,8,0.0,2.6665944475439295e-15,0.3333333333333334,-1.1102230246251565e-16,-0.05559819231019066,0.9284162965471454,0.16666666666666458,0.3273747753565401
28,True,9,0.0,1.1214993808762262e-15,0.3333333333333333,0.0,-4.248417991771404e-15,-2.1847760746789706e-15,1.0,2.2601248019960903e-15
29,False,0,0.8804857344718368,3.3766115072321297e-16,0.2041241452319318,0.12920918810140153,0.8303007037924236,-0.20390100496429955,-0.40824829046386235,-0.319935079023368
30,False,6,0.4174423812329611,1.159062478901209e-16,0.33027980490978454,0.003053528423548779,0.27633707460867624,-0.3048380331985295,-1.3277449492213265e-15,0.9114338125790437
31,True,5,0.0,2.010699415441723e-15,0.33333333333333304,2.7755575615628914e-16,0.5912289249578006,-0.3615200153144492,-0.16666666666666402,0.7014084823000839
32,False,3,0.880485734471837,3.6506759942727966e-16,0.2041241452319322,0.1292091881014011,0.743155848281152,0.24520115404320475,0.40824829046386335,0.47003096978256126
