elementary_invariant,row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
e3,13,7,f1*f2^2,f0*f2^2,-1755,8229244,-1755/8229244,-0.00021326381864482326
e3,13,8,f1*f2^2,f0*f2*f3,59494,9703035,59494/9703035,0.006131483602810873
e3,13,9,f1*f2^2,f0*f3^2,-12743,6651456,-12743/6651456,-0.0019158211375073367
e3,13,10,f1*f2^2,f1^3,-81090703235725,30102689943101538,-81090703235725/30102689943101538,-0.0026938025601365933
e3,13,11,f1*f2^2,f1^2*f2,-3743613167643,8322504369033640,-3743613167643/8322504369033640,-0.00044981810782487896
e3,13,12,f1*f2^2,f1^2*f3,4759,4380203,4759/4380203,0.0010864793252732808
e3,13,13,f1*f2^2,f1*f2^2,205133,7520518,205133/7520518,0.027276445585264205
e3,14,0,f1*f2*f3,f0^3,-10655,6900691,-10655/6900691,-0.0015440482699486183
e3,14,1,f1*f2*f3,f0^2*f1,-30161,5148500,-30161/5148500,-0.005858211129455181
e3,14,2,f1*f2*f3,f0^2*f2,-22289,4957449,-22289/4957449,-0.004496062390152677
e3,14,3,f1*f2*f3,f0^2*f3,-16812,6199235,-16812/6199235,-0.0027119475225572186
e3,14,4,f1*f2*f3,f0*f1^2,-70373,8583263,-70373/8583263,-0.00819886329942354
e3,14,5,f1*f2*f3,f0*f1*f2,-3640,1852939,-3640/1852939,-0.0019644467518898354
e3,14,6,f1*f2*f3,f0*f1*f3,2084,9932009,2084/9932009,0.00020982663225536748
e3,14,7,f1*f2*f3,f0*f2^2,2756,356779,2756/356779,0.007724669893687689
e3,14,8,f1*f2*f3,f0*f2*f3,-23460,8205527,-23460/8205527,-0.002859048541306366
e3,14,9,f1*f2*f3,f0*f3^2,-17935,9683854,-17935/9683854,-0.001852051879344732
e3,14,10,f1*f2*f3,f1^3,5365,2539826,5365/2539826,0.0021123494286616486
e3,14,11,f1*f2*f3,f1^2*f2,-227899409485528453883,65033353340493277373101,-227899409485528453883/65033353340493277373101,-0.0035043465818581122
e3,14,12,f1*f2*f3,f1^2*f3,-114908238610927152349,24282773779848932939812,-114908238610927152349/24282773779848932939812,-0.004732088667163872
e3,14,13,f1*f2*f3,f1*f2^2,10,6068129,10/6068129,1.6479544188991369e-06
e3,14,14,f1*f2*f3,f1*f2*f3,445570,9234037,445570/9234037,0.04825300136874045
e3,15,0,f1*f3^2,f0^3,5061541819541840627567,1064938910209822768508150,5061541819541840627567/1064938910209822768508150,0.004752894059007174
e3,15,1,f1*f3^2,f0^2*f1,-10520,6248947,-10520/6248947,-0.0016834836333225421
e3,15,2,f1*f3^2,f0^2*f2,-7492,2011325,-7492/2011325,-0.003724907710091606
e3,15,3,f1*f3^2,f0^2*f3,-9135,5750659,-9135/5750659,-0.0015885135947027985
e3,15,4,f1*f3^2,f0*f1^2,-533722197734969303,323878247648169510720,-533722197734969303/323878247648169510720,-0.001647909983490939
e3,15,5,f1*f3^2,f0*f1*f2,-8701,5128023,-8701/5128023,-0.0016967552602630681
e3,15,6,f1*f3^2,f0*f1*f3,8514,6418495,8514/6418495,0.0013264791824251635
e3,15,7,f1*f3^2,f0*f2^2,-7867,2919384,-7867/2919384,-0.002694746562973559
e3,15,8,f1*f3^2,f0*f2*f3,34747701147519801277566012209,3318882606278160019003730121654,34747701147519801277566012209/3318882606278160019003730121654,0.010469698772047363
e3,15,9,f1*f3^2,f0*f3^2,44487654155911,28591337654775713,44487654155911/28591337654775713,0.0015559836581650831
e3,15,10,f1*f3^2,f1^3,-844553943669517,195029657043063462,-844553943669517/195029657043063462,-0.004330387267629946
e3,15,11,f1*f3^2,f1^2*f2,34007,9920716,34007/9920716,0.0034278775846420763
e3,15,12,f1*f3^2,f1^2*f3,-15802175015529,69979440469684892,-15802175015529/69979440469684892,-0.00022581167996583946
