first_local_line,second_local_line,signed_gram,absolute_gram,selected_kind,selected_expression,selected_residual,orbit_id,orbit_size,first_global_line,second_global_line
0,1,1.06129386462852e-15,1.06129386462852e-15,algebraic,(-15*sqrt(6)/4 - 1/16 + 7*sqrt(3)/16 + 17*sqrt(2)/16 + 25*sqrt(5)/8)**2,3.3992383026968897e-19,0,15,11,12
0,2,0.2500000000000021,0.2500000000000021,rational,1/4,2.1094237467877974e-15,0,15,11,13
0,3,0.7500000000000011,0.7500000000000011,rational,3/4,1.1102230246251565e-15,0,15,11,15
0,4,0.24999999999999792,0.24999999999999792,rational,1/4,2.0816681711721685e-15,0,15,11,16
0,5,-0.24999999999999922,0.24999999999999922,rational,1/4,7.771561172376096e-16,0,15,11,17
0,6,0.25000000000000044,0.25000000000000044,rational,1/4,4.440892098500626e-16,0,15,11,18
0,7,-0.24999999999999972,0.24999999999999972,rational,1/4,2.7755575615628914e-16,0,15,11,19
0,8,0.7500000000000014,0.7500000000000014,rational,3/4,1.4432899320127035e-15,0,15,11,20
0,9,-5.244116171079035e-16,5.244116171079035e-16,algebraic,(-17*sqrt(5)/4 - 8 - 21*sqrt(2)/4 + sqrt(3)/4 + 10*sqrt(6))**2,4.0709360362821133e-19,0,15,11,21
0,10,0.7499999999999994,0.7499999999999994,rational,3/4,5.551115123125783e-16,0,15,11,22
0,11,0.25,0.25,rational,1/4,0.0,0,15,11,24
0,12,0.2500000000000007,0.2500000000000007,rational,1/4,7.216449660063518e-16,0,15,11,25
0,13,0.24999999999999967,0.24999999999999967,rational,1/4,3.3306690738754696e-16,0,15,11,27
0,14,0.7500000000000012,0.7500000000000012,rational,3/4,1.2212453270876722e-15,0,15,11,29
1,2,0.7499999999999984,0.7499999999999984,rational,3/4,1.5543122344752192e-15,0,15,12,13
1,3,0.24999999999999897,0.24999999999999897,rational,1/4,1.0269562977782698e-15,0,15,12,15
1,4,-0.750000000000001,0.750000000000001,rational,3/4,9.992007221626409e-16,0,15,12,16
1,5,0.7500000000000001,0.7500000000000001,rational,3/4,1.1102230246251565e-16,0,15,12,17
1,6,0.25000000000000117,0.25000000000000117,rational,1/4,1.1657341758564144e-15,0,15,12,18
1,7,0.24999999999999928,0.24999999999999928,rational,1/4,7.216449660063518e-16,0,15,12,19
1,8,0.249999999999999,0.249999999999999,rational,1/4,9.992007221626409e-16,0,15,12,20
1,9,-1.2416324403656916e-15,1.2416324403656916e-15,algebraic,(-23*sqrt(6)/60 - 13/60 - sqrt(5)/30 + 13*sqrt(2)/60 + 8*sqrt(3)/15)**2,1.9576601934974861e-19,0,15,12,21
1,10,-0.2499999999999998,0.2499999999999998,rational,1/4,1.942890293094024e-16,0,15,12,22
1,11,0.24999999999999922,0.24999999999999922,rational,1/4,7.771561172376096e-16,0,15,12,24
1,12,0.750000000000001,0.750000000000001,rational,3/4,9.992007221626409e-16,0,15,12,25
1,13,-0.25000000000000083,0.25000000000000083,rational,1/4,8.326672684688674e-16,0,15,12,27
1,14,-0.2499999999999989,0.2499999999999989,rational,1/4,1.1102230246251565e-15,0,15,12,29
2,3,-4.85215299582381e-16,4.85215299582381e-16,algebraic,(-24*sqrt(5)/11 - 41/22 + 3*sqrt(2)/11 + 27*sqrt(3)/22 + 19*sqrt(6)/11)**2,4.767790319097471e-19,0,15,13,15
2,4,-0.7499999999999994,0.7499999999999994,rational,3/4,5.551115123125783e-16,0,15,13,16
2,5,0.24999999999999833,0.24999999999999833,rational,1/4,1.6653345369377348e-15,0,15,13,17
2,6,0.7500000000000027,0.7500000000000027,rational,3/4,2.6645352591003757e-15,0,15,13,18
2,7,-7.755066846277114e-16,7.755066846277114e-16,algebraic,(-26*sqrt(2)/25 - sqrt(5)/5 - 4*sqrt(6)/25 + 52/75 + 14*sqrt(3)/15)**2,1.7152685606199573e-19,0,15,13,19
2,8,0.7500000000000006,0.7500000000000006,rational,3/4,5.551115123125783e-16,0,15,13,20
2,9,0.2500000000000023,0.2500000000000023,rational,1/4,2.275957200481571e-15,0,15,13,21
2,10,-0.2499999999999987,0.2499999999999987,rational,1/4,1.304512053934559e-15,0,15,13,22
2,11,-0.25000000000000283,0.25000000000000283,rational,1/4,2.831068712794149e-15,0,15,13,24
2,12,0.2499999999999992,0.2499999999999992,rational,1/4,8.049116928532385e-16,0,15,13,25
2,13,-0.24999999999999925,0.24999999999999925,rational,1/4,7.494005416219807e-16,0,15,13,27
2,14,0.25000000000000216,0.25000000000000216,rational,1/4,2.1649348980190553e-15,0,15,13,29
3,4,0.25000000000000017,0.25000000000000017,rational,1/4,1.6653345369377348e-16,0,15,15,16
3,5,0.2499999999999993,0.2499999999999993,rational,1/4,6.938893903907228e-16,0,15,15,17
3,6,-0.24999999999999825,0.24999999999999825,rational,1/4,1.7486012637846216e-15,0,15,15,18
3,7,8.09312787039904e-16,8.09312787039904e-16,algebraic,(-47*sqrt(6)/57 - 11*sqrt(5)/57 + 3*sqrt(2)/19 + 10/19 + 56*sqrt(3)/57)**2,3.472075341453568e-19,0,15,15,19
3,8,0.2500000000000022,0.2500000000000022,rational,1/4,2.220446049250313e-15,0,15,15,20
3,9,-0.25000000000000044,0.25000000000000044,rational,1/4,4.440892098500626e-16,0,15,15,21
3,10,0.7500000000000014,0.7500000000000014,rational,3/4,1.4432899320127035e-15,0,15,15,22
3,11,0.7499999999999984,0.7499999999999984,rational,3/4,1.5543122344752192e-15,0,15,15,24
3,12,0.7499999999999987,0.7499999999999987,rational,3/4,1.3322676295501878e-15,0,15,15,25
3,13,0.2500000000000018,0.2500000000000018,rational,1/4,1.7763568394002505e-15,0,15,15,27
3,14,0.25000000000000255,0.25000000000000255,rational,1/4,2.55351295663786e-15,0,15,15,29
4,5,-0.2500000000000007,0.2500000000000007,rational,1/4,7.216449660063518e-16,0,15,16,17
4,6,-0.25000000000000167,0.25000000000000167,rational,1/4,1.6653345369377348e-15,0,15,16,18
4,7,0.2500000000000003,0.2500000000000003,rational,1/4,2.7755575615628914e-16,0,15,16,19
4,8,-0.24999999999999947,0.24999999999999947,rational,1/4,5.273559366969494e-16,0,15,16,20
4,9,0.24999999999999875,0.24999999999999875,rational,1/4,1.2490009027033011e-15,0,15,16,21
4,10,0.749999999999999,0.749999999999999,rational,3/4,9.992007221626409e-16,0,15,16,22
4,11,2.756563911488067e-16,2.756563911488067e-16,algebraic,(-169*sqrt(2)/68 - 13*sqrt(6)/17 - 45*sqrt(5)/68 + 105/68 + 209*sqrt(3)/68)**2,1.8109655967201723e-19,0,15,16,24
4,12,-0.2500000000000012,0.2500000000000012,rational,1/4,1.2212453270876722e-15,0,15,16,25
4,13,0.7499999999999999,0.7499999999999999,rational,3/4,1.1102230246251565e-16,0,15,16,27
4,14,-3.9996266263822473e-17,3.9996266263822473e-17,algebraic,(-25*sqrt(2)/24 - 9/8 - 5*sqrt(5)/24 + 17*sqrt(3)/24 + 3*sqrt(6)/4)**2,8.413145261185607e-20,0,15,16,29
5,6,5.506102918161421e-16,5.506102918161421e-16,algebraic,(-97*sqrt(3)/80 - 7/4 + 37*sqrt(2)/80 + 53*sqrt(5)/80 + 7*sqrt(6)/10)**2,1.3883757307903943e-19,0,15,17,18
5,7,0.7499999999999999,0.7499999999999999,rational,3/4,1.1102230246251565e-16,0,15,17,19
5,8,-0.25000000000000056,0.25000000000000056,rational,1/4,5.551115123125783e-16,0,15,17,20
5,9,0.2499999999999979,0.2499999999999979,rational,1/4,2.1094237467877974e-15,0,15,17,21
5,10,5.171378352550741e-16,5.171378352550741e-16,algebraic,(-13*sqrt(6)/6 - 11*sqrt(2)/4 - 17/12 + 19*sqrt(5)/12 + 49*sqrt(3)/12)**2,7.265100477911177e-19,0,15,17,22
5,11,0.2499999999999995,0.2499999999999995,rational,1/4,4.996003610813204e-16,0,15,17,24
5,12,0.7500000000000011,0.7500000000000011,rational,3/4,1.1102230246251565e-15,0,15,17,25
5,13,0.2499999999999996,0.2499999999999996,rational,1/4,3.885780586188048e-16,0,15,17,27
5,14,-0.7499999999999988,0.7499999999999988,rational,3/4,1.2212453270876722e-15,0,15,17,29
6,7,0.24999999999999922,0.24999999999999922,rational,1/4,7.771561172376096e-16,0,15,18,19
6,8,0.7499999999999997,0.7499999999999997,rational,3/4,3.3306690738754696e-16,0,15,18,20
6,9,0.7500000000000006,0.7500000000000006,rational,3/4,5.551115123125783e-16,0,15,18,21
6,10,-4.522123899926697e-16,4.522123899926697e-16,algebraic,(-41*sqrt(3)/16 - 1 + 3*sqrt(6)/8 + 7*sqrt(5)/8 + 29*sqrt(2)/16)**2,1.3998062004293794e-19,0,15,18,22
6,11,-0.75,0.75,rational,3/4,0.0,0,15,18,24
6,12,-0.24999999999999753,0.24999999999999753,rational,1/4,2.4702462297909733e-15,0,15,18,25
6,13,0.24999999999999867,0.24999999999999867,rational,1/4,1.3322676295501878e-15,0,15,18,27
6,14,0.25000000000000044,0.25000000000000044,rational,1/4,4.440892098500626e-16,0,15,18,29
7,8,-0.2500000000000006,0.2500000000000006,rational,1/4,6.106226635438361e-16,0,15,19,20
7,9,0.7499999999999984,0.7499999999999984,rational,3/4,1.5543122344752192e-15,0,15,19,21
7,10,0.2500000000000009,0.2500000000000009,rational,1/4,8.881784197001252e-16,0,15,19,22
7,11,-0.25000000000000006,0.25000000000000006,rational,1/4,5.551115123125783e-17,0,15,19,24
7,12,0.25000000000000133,0.25000000000000133,rational,1/4,1.3322676295501878e-15,0,15,19,25
7,13,0.7500000000000002,0.7500000000000002,rational,3/4,2.220446049250313e-16,0,15,19,27
7,14,-0.7499999999999993,0.7499999999999993,rational,3/4,6.661338147750939e-16,0,15,19,29
8,9,0.25000000000000056,0.25000000000000056,rational,1/4,5.551115123125783e-16,0,15,20,21
8,10,0.2500000000000014,0.2500000000000014,rational,1/4,1.3877787807814457e-15,0,15,20,22
8,11,-0.24999999999999975,0.24999999999999975,rational,1/4,2.498001805406602e-16,0,15,20,24
