probe_id,point_norm_squared,e1_direct,e1_canonical,e1_residual,e2_direct,e2_canonical,e2_residual,e3_direct,e3_canonical,e3_residual,e4_direct,e4_canonical,e4_residual,e5_direct,e5_canonical,e5_residual
20,5.884148187500878,2.451728411458694,2.451728411458699,4.884981308350689e-15,2.3807025570908755,2.3807025570908866,1.1102230246251565e-14,1.1607413015478107,1.1607413015478183,7.549516567451064e-15,0.2962668904048055,0.2962668904048084,2.886579864025407e-15,0.037085961607616166,0.03708596160761663,4.649058915617843e-16
21,7.41291737865766,3.088715574440684,3.0887155744406916,7.549516567451064e-15,3.6002430581564013,3.6002430581564235,2.220446049250313e-14,1.8990672298894233,1.8990672298894475,2.4202861936828413e-14,0.4037115293990594,0.40371152939907146,1.2045919817182948e-14,0.0135862203401732,0.013586220340175526,2.3262641812848983e-15
22,3.089815331110845,1.2874230546295171,1.287423054629519,1.7763568394002505e-15,0.6886477984738213,0.6886477984738232,1.887379141862766e-15,0.19591311220773172,0.19591311220773244,7.216449660063518e-16,0.03126609889454815,0.03126609889454828,1.3183898417423734e-16,0.0026542132376576382,0.002654213237657656,1.7780915628762273e-17
23,3.915280162122414,1.6313667342176739,1.6313667342176725,1.3322676295501878e-15,1.0490599106568794,1.049059910656877,2.4424906541753444e-15,0.3352504894364561,0.33525048943645447,1.609823385706477e-15,0.05496422728976004,0.054964227289759617,4.2327252813834093e-16,0.00427004519358581,0.004270045193585762,4.7704895589362195e-17
24,5.725335301854215,2.3855563757725875,2.3855563757725897,2.220446049250313e-15,2.3639676731475894,2.3639676731475916,2.220446049250313e-15,1.2456215920204372,1.24562159202044,2.886579864025407e-15,0.3681051692230637,0.3681051692230646,8.881784197001252e-16,0.05784987804888664,0.057849878048886895,2.5673907444456745e-16
25,3.629325288828017,1.512218870345008,1.5122188703450075,4.440892098500626e-16,0.8954023698350263,0.8954023698350252,1.1102230246251565e-15,0.2600513926268315,0.2600513926268309,6.106226635438361e-16,0.03776260014287725,0.03776260014287711,1.3877787807814457e-16,0.0024760033527523426,0.002476003352752325,1.7780915628762273e-17
26,2.0599810536351852,0.858325439014662,0.8583254390146606,1.3322676295501878e-15,0.29271417953546186,0.2927141795354609,9.43689570931383e-16,0.05037940798797515,0.050379407987974884,2.636779683484747e-16,0.004576069263249114,0.004576069263249077,3.642919299551295e-17,0.0002062603364866957,0.00020626033648669335,2.358139725155972e-18
27,1.655595742562428,0.6898315594010114,0.6898315594010117,3.3306690738754696e-16,0.19301732606087613,0.19301732606087635,2.220446049250313e-16,0.028025253946934513,0.028025253946934534,2.0816681711721685e-17,0.0022276690454448578,0.002227669045444863,5.204170427930421e-18,9.197403456336813e-05,9.197403456336828e-05,1.4907779871675686e-19
28,0.9042544280896816,0.3767726783706999,0.37677267837070066,7.771561172376096e-16,0.05747830055164396,0.057478300551644206,2.42861286636753e-16,0.004520426164098125,0.004520426164098153,2.7755575615628914e-17,0.00019209161829885626,0.00019209161829885827,2.0057740190981832e-18,4.156120733584721e-06,4.156120733584778e-06,5.675120746603812e-20
29,2.453835327142498,1.0224313863093752,1.0224313863093741,1.1102230246251565e-15,0.39740619638371644,0.397406196383715,1.4432899320127035e-15,0.07118621355346244,0.07118621355346194,4.996003610813204e-16,0.00546055719251468,0.005460557192514591,8.933825901280557e-17,0.00011074291711513544,0.00011074291711512926,6.179952383167375e-18
30,2.848933425023942,1.1870555937599776,1.1870555937599758,1.7763568394002505e-15,0.5638315668583053,0.5638315668583028,2.4424906541753444e-15,0.13702400353394992,0.13702400353394892,9.992007221626409e-16,0.017990519176184296,0.017990519176184116,1.8041124150158794e-16,0.001212159151316013,0.001212159151315995,1.7997756063259374e-17
31,5.281827836223551,2.2007615984264817,2.2007615984264794,2.220446049250313e-15,1.8772150745539613,1.8772150745539562,5.10702591327572e-15,0.7698139796977452,0.7698139796977411,4.107825191113079e-15,0.15122841896448366,0.15122841896448233,1.3322676295501878e-15,0.012176488610518732,0.012176488610518543,1.8908485888147197e-16
32,1.3964490201598345,0.5818537583999316,0.581853758399931,5.551115123125783e-16,0.13601823503224858,0.13601823503224827,3.0531133177191805e-16,0.01630550647447163,0.016305506474471567,6.245004513516506e-17,0.001054975316161954,0.0010549753161619491,4.7704895589362195e-18,3.488034128800605e-05,3.488034128800583e-05,2.236166980751353e-19
33,0.8752085846968005,0.3646702436236669,0.3646702436236669,0.0,0.05242966744706208,0.052429667447062074,6.938893903907228e-18,0.003729232420279576,0.0037292324202795727,3.469446951953614e-18,0.00013419354591927054,0.00013419354591927033,2.168404344971009e-19,2.2194787278721463e-06,2.2194787278721404e-06,5.929230630780102e-21
