sample_id,source_index,s4,s6,s8,residual_norm_squared,operator_norm,gap_0,gap_1,gap_2,gap_3,gap_4,gap_5,gap_determinant,elementary_1,elementary_2,elementary_3,elementary_4,elementary_5
1065,10651,1.056793103761762,0.5368197416296799,0.30387545243418235,0.0883821199760583,0.2845021395231174,0.03016964371787972,0.03016964371787981,0.07465174863759097,0.07465174863759101,0.10351194097786279,0.1035119409778628,5.4350211389590724e-08,0.41666666666666713,0.06960774265383732,0.00592563031832869,0.00026881309516727317,6.109197997292509e-06
1066,10661,1.1918645387123528,0.6744606419595472,0.40355138086745235,0.07706295837188705,0.2980265651309544,0.022291277587356117,0.02229127758735618,0.07688591269828243,0.07688591269828245,0.10915614304769494,0.10915614304769497,3.4999338170329746e-08,0.4166666666666671,0.06848214736258242,0.00559903086453323,0.0002351941532411962,4.69187606217622e-06
1067,10671,1.2438135917619153,0.7965528093727825,0.5834924973250094,0.1321489099927443,0.30783371301807605,0.016349516240615914,0.016349516240615963,0.09050933276762221,0.09050933276762223,0.10147448432509534,0.10147448432509537,2.2548115283944695e-08,0.416666666666667,0.06804923858716935,0.005434999932545197,0.00021442879870207154,3.7009199152528787e-06
1068,10681,1.4913607726232072,1.1130585367161054,0.9257172364523854,0.0552177456720188,0.3263140778883986,0.004630233682955215,0.00463023368295529,0.09683683773546439,0.0968368377354644,0.10686626191491397,0.10686626191491401,2.2959808131678336e-09,0.4166666666666673,0.06598634541332538,0.004800742712055798,0.00014746954595054525,1.0821231245631012e-06
1069,10691,0.848340084326625,0.33857197255077315,0.1479413612966194,0.04841269827750337,0.253182235616879,0.04700986667915024,0.04700986667915035,0.06974966673609997,0.06974966673610009,0.0915737999180826,0.0915737999180826,9.015810703259363e-08,0.41666666666666585,0.07134485114912968,0.006421792077881979,0.0003202996144440974,8.389981844329009e-06
1070,10701,1.5545879143511956,1.194512504544262,1.0121491411432968,0.01653285073598566,0.33026034362678075,0.002039216538631834,0.002039216538631965,0.09752063529651361,0.09752063529651363,0.10877348149818786,0.10877348149818787,4.679137327317914e-10,0.41666666666666674,0.06545945256559194,0.004638403208210514,0.0001306372730521618,4.771148516894591e-07
1071,10711,1.265736466219895,0.7905972199629829,0.540852427546374,0.0962967300322298,0.30733889213541765,0.01665391649208525,0.016653916492085353,0.08377415343870023,0.08377415343870027,0.10790526340254804,0.10790526340254812,2.2664081301458516e-08,0.4166666666666673,0.06786654796668629,0.005397710677665509,0.00021234648969509516,3.6829213806751356e-06
1072,10721,1.5552742799492398,1.1990565717156512,1.0247927549551843,0.01972887606364089,0.33045240571155393,0.0019123186705576791,0.0019123186705577542,0.09855496797605727,0.09855496797605733,0.10786604668671813,0.10786604668671815,4.1328257695780353e-10,0.4166666666666663,0.06545373285227471,0.004634607679044816,0.00013003171850588743,4.4828164078003863e-07
1073,10731,1.3384272864614724,0.8832537318532087,0.6369203225407,0.08294600755680324,0.31355811304600506,0.012792420854139851,0.012792420854140039,0.08630323847963604,0.08630323847963611,0.10923767399955754,0.10923767399955754,1.4544692736189054e-08,0.41666666666666713,0.06726079113133977,0.005211622207649497,0.00019255177508442682,2.8773093224588023e-06
1074,10741,1.071538957451491,0.5001553359613361,0.24520991203696568,0.03722993181605243,0.27722458201952593,0.034257642235210245,0.0342576422352103,0.06472265062901669,0.0647226506290167,0.10935304046910665,0.10935304046910667,5.878807701076386e-08,0.41666666666666724,0.0694848605397563,0.0059186922961264295,0.0002710948132272537,6.323927696513016e-06
1075,10751,1.178554414749975,0.660943841334875,0.40386875262053173,0.07984554415367712,0.2968501495559671,0.022991099819711102,0.02299109981971118,0.07673329914495085,0.07673329914495088,0.10860893436867149,0.10860893436867149,3.671287041034939e-08,0.41666666666666696,0.06859306506226887,0.005631188575921707,0.00023847348885200752,4.826610919973509e-06
1076,10761,1.0975205973165023,0.5788228199745536,0.3238044442394792,0.08931232064351859,0.2890584116261649,0.0275563457792697,0.02755634577926986,0.0755949669143541,0.07559496691435415,0.1051820206397092,0.10518202063970924,4.800782530567322e-08,0.4166666666666663,0.06926834687421418,0.005826873990443092,0.0002585514499245549,5.667324170253671e-06
1077,10771,0.7629942059703152,0.26738540596032107,0.10249978825959785,0.016954719734813384,0.2323502880949136,0.057124454733321714,0.05712445473332176,0.07039757166483009,0.07039757166483014,0.08081130693518128,0.0808113069351813,1.0560968652713365e-07,0.4166666666666663,0.0720560668020991,0.006619388093314311,0.0003406595929599126,9.311643860183298e-06
1078,10781,1.2081533178793968,0.7260883564567693,0.48240396889418596,0.10826153813502748,0.30255231924601983,0.019573205229965526,0.019573205229965616,0.08295980408110741,0.08295980408110745,0.10580032402226029,0.10580032402226042,2.9514357307846075e-08,0.41666666666666674,0.06834640753619022,0.005540184395058739,0.0002271284293095541,4.285251513010701e-06
1079,10791,1.233477329103109,0.7580577696387103,0.5049614176202273,0.10741616560246137,0.30499307054581865,0.018090338030144384,0.0180903380301444,0.08401468701081863,0.0840146870108187,0.10622830829237044,0.10622830829237044,2.6066596077188635e-08,0.416666666666667,0.06813537410932607,0.005475527292876737,0.00022019680056181107,3.993115483202532e-06
1080,10801,1.1320811990198212,0.567220895035228,0.30195717505246994,0.0402547055157285,0.2864016204138115,0.02908522293545414,0.029085222935454225,0.06824274371290887,0.06824274371290888,0.11100536668497027,0.11100536668497032,4.854513400934686e-08,0.41666666666666663,0.06898034186002001,0.005769318390032889,0.0002553569473937233,5.635494542919883e-06
1081,10811,1.3644689630778584,0.9080348538715586,0.6516052377502368,0.0671786006399491,0.3151162563502633,0.011812856094906272,0.011812856094906331,0.08576852456767897,0.08576852456767903,0.11075195267074833,0.11075195267074836,1.259123962790066e-08,0.4166666666666673,0.06704377715953662,0.005149629590571931,0.00018647866836684135,2.652772924299055e-06
1082,10821,1.5412831960889994,1.1628645837047606,0.9357122637421622,0.010829633121530598,0.3288350599808984,0.002978614438470081,0.002978614438470101,0.09427861229052077,0.09427861229052084,0.11107610660434264,0.11107610660434265,9.72962811036005e-10,0.4166666666666671,0.06557032521777703,0.004680623753606918,0.00013584685312762975,6.914579383701858e-07
1083,10831,1.378660522226282,0.9402706030054607,0.686807247506811,0.07674622695560848,0.31703859727287836,0.010597638950356784,0.010597638950356857,0.08842684577778968,0.08842684577778973,0.10930884860518646,0.10930884860518648,1.0492938951401096e-08,0.41666666666666596,0.06692551416663256,0.005105440175963346,0.0001810110515865378,2.4095526187567236e-06
1084,10841,1.416026784712948,0.9799725288588136,0.723373322822301,0.054836642429021,0.3193662975705083,0.009116279087216676,0.009116279087216753,0.08810628790630474,0.08810628790630486,0.11111076633981179,0.1111107663398118,7.964551381256544e-09,0.4166666666666667,0.0666141286459106,0.005014186768106579,0.00017187684198483174,2.071481579396809e-06
1085,10851,1.5034246181981414,1.1088293193157253,0.8796870831244115,0.028683056174646584,0.3261979508767208,0.0047060079549395275,0.004706007954939557,0.09271553493022629,0.09271553493022631,0.11091179044816758,0.11091179044816761,2.3418860679656962e-09,0.4166666666666669,0.06588581336686744,0.004780751822509811,0.0001465354879048187,1.0880223819350517e-06
1086,10861,1.2897272739236394,0.8162636584643497,0.5687225720606887,0.08814499651046263,0.309131604701395,0.01554876208585155,0.0155487620858517,0.08385790234292846,0.0838579023429285,0.10892666890455298,0.10892666890455305,2.0171958742675143e-08,0.41666666666666624,0.0676666245691547,0.0053390241234911005,0.00020636190735265122,3.4461461410711473e-06
1087,10871,1.529627413994837,1.146741390990156,0.9186747166134355,0.017144721659151457,0.3280583415553822,0.0034888356470433287,0.0034888356470433755,0.09389896514550271,0.09389896514550283,0.11094553254078748,0.11094553254078753,1.3209983413679584e-09,0.4166666666666673,0.06566745673522845,0.00471116586454867,0.00013907295763343285,8.092217990774606e-07
