probe_id,f0,f1,f2,f3,sigma,target_gap,quadratic_relation_score
52,-0.18962465849922064,0.8985350476506496,-0.1300295635361133,0.3738576863448263,0.32146810615124194,0.011865227182091376,0.0
53,-0.041807457935594525,0.9677604365476109,-0.04545845137563351,-0.24418313437391675,0.2942876158251248,0.03904571750820851,0.0
54,0.593299300729539,0.4220491898476113,0.2869461141045997,-0.6225209624607713,0.3294152725235907,0.003918060809742607,0.0
55,0.6296967936604314,0.43816983528767556,0.2642597062622838,0.5845134311065184,0.25323717051985367,0.08009616281347964,0.0
56,-0.8451144927075088,0.2835267640601651,-0.13462317231804002,-0.4327478131109719,0.31065793509382866,0.02267539823950465,0.0
57,-0.5177806331479313,0.8238363759223762,-0.12141993298356053,-0.1960970206767053,0.3278717861388988,0.005461547194434535,0.0
58,-0.8974495434329628,0.40974553683299575,-0.13197227877598355,-0.09631318534905152,0.31639321788547986,0.016940115447853454,0.0
59,0.2899869192233079,-0.11195572062456838,-0.9456606275942582,0.0953911983195629,0.3256449285293838,0.0076884048039495,0.0
60,-0.11113695930438061,-0.8520934461204809,0.4366924484457762,0.26624244745256626,0.264389668380294,0.06894366495303933,0.0
61,-0.08065721720975405,0.8425176732854659,0.3978858975758267,-0.35404123492031586,0.2576155184214942,0.0757178149118391,0.0
62,0.26382031065803896,0.6610899585145986,-0.19308698324575368,0.6753342337957673,0.2854540579216109,0.04787927541172243,0.0
63,-0.5170048375188631,-0.18163378983444795,0.07239463769728177,0.8333511749587619,0.3255594102107063,0.0077739231226270356,0.0
64,0.14614236388963464,-0.987794048149234,0.03240850386595565,0.043069905907358465,0.3184479537339262,0.014885379599407111,0.0
65,-0.31955097140181904,-0.07652971482907438,0.881237821526995,0.3397797541565574,0.3110191245560393,0.02231420877729401,0.0
66,0.7512375330334664,0.6132619802827473,-0.24188346199309993,-0.032315682194679306,0.3294175230109661,0.003915810322367208,0.0
67,0.6469437487963612,0.042905259952630184,0.4242333892657714,-0.6321779464626904,0.3238791185727479,0.009454214760585389,0.0
68,0.16725999680126782,-0.4357324515206193,0.8572082122450674,0.21761297071058683,0.2917135223126902,0.041619811020643105,0.0
69,-0.07839145571934626,0.8328427955752737,0.27015812530724675,-0.47669932332555154,0.2599632018155281,0.07337013151780519,0.0
70,0.1357014393247056,-0.24671384680827774,-0.9148145702899152,-0.28953704278303094,0.3281993384380817,0.005133994895251626,0.0
71,-0.7878230031380625,0.45457565233079,0.053727541336167174,0.4120791711995787,0.2833915146730444,0.049941818660288906,0.0
72,-0.4264601360079649,-0.6194662139431036,-0.4900547345580207,-0.4407263542339316,0.2936701787628312,0.039663154570502124,0.0
73,-0.9616684893290074,0.02584560028508043,0.08257442803491875,-0.2602060441501599,0.28266685719501516,0.05066647613831815,0.0
74,0.6498687466599729,-0.43892449025219515,-0.6169800190485454,-0.06596635556329447,0.252000070580473,0.08133326275286029,0.0
75,-0.636682881063667,-0.14666856850031895,-0.4263419111728694,0.6255843786029194,0.3264785156362217,0.006854817697111604,0.0
76,-0.9089424942486601,0.1764132151712198,-0.3746807593709731,0.04812741650211946,0.3147258102911645,0.01860752304216884,0.0
77,0.20751179743195583,0.22805954936097073,-0.7873014714559644,-0.5339326632779673,0.2959160947285363,0.03741723860479701,0.0
78,-0.1750381617905361,-0.8181026525444465,0.40657216065903196,0.3671086623791068,0.2630103392706351,0.07032299406269821,0.0
79,0.4450632388393988,-0.03181274562044942,-0.5846232253785315,-0.6775856750241076,0.30453024265243067,0.028803090680902643,0.0
80,0.500165925695522,0.636420295776639,0.39435362751414427,0.4350729483237867,0.28967383665481045,0.04365949667852287,0.0
81,0.6981537662753106,0.20443788159899287,-0.37424975213982176,0.5750857277190915,0.3234155578872045,0.009917775446128818,0.0
82,-0.12593081510529902,0.7057322389029642,-0.6850086122486616,0.1297945989827271,0.2666120306157636,0.06672130271756971,0.0
83,0.6144824853579445,0.5268093563166903,-0.10139109099852062,-0.578448808410604,0.3257698405368411,0.0075634927964922105,0.0
