probe_id,sigma_max,sigma_second,sigma_minimum,target_gap,f0,f1,f2,f3
101,0.30679983639260583,0.3067998363926058,0.05220952235506788,0.026533496940727486,0.8246927777721463,0.32873735372752994,-0.1652668583577794,0.4295351441770879
102,0.3098989051469474,0.3098989051469472,0.10134739463362447,0.023434428186385914,0.529408674323435,-0.3545483930479351,0.551845920653178,-0.5380408649876669
103,0.3267081132616383,0.32670811326163807,0.019553045263518025,0.006625220071695026,0.2718319095029709,0.8812227133259053,0.002573997309166418,0.38671348183422627
104,0.2742569905287937,0.27425699052879354,0.1258065601576181,0.059076342804539606,-0.7117148278007174,-0.4802996355541767,-0.16946825360965254,-0.48379207826670184
105,0.3205041945685988,0.32050419456859874,0.0329984134706886,0.012829138764734516,-0.09742679624622942,0.16733476811501125,-0.4735680172806372,-0.8592091874287525
106,0.26861573460166244,0.2686157346016623,0.12067831334069398,0.06471759873167088,0.6868840938282369,-0.06406080359956556,-0.43541884810098974,-0.5783570539090424
107,0.29037948881315917,0.290379488813159,0.0800405402805886,0.042953844520174145,-0.3333832736874158,0.7054988184213148,-0.4037404374361624,0.4776197956643405
108,0.3320516412244828,0.3320516412244827,0.052592343229805626,0.0012816921088505406,0.49932654722768277,0.8432525973406548,-0.14795222946426825,0.13307213873862797
109,0.29221595775863235,0.2922159577586321,0.0834506572684198,0.041117375574700965,0.09152056106136791,0.4176398901331004,-0.7464861224844246,0.5098621166656658
110,0.3259873121092552,0.32598731210925513,0.04910483926847172,0.007346021224078125,-0.49780867017306535,0.6035341094621707,0.135316772849303,-0.6079658523320851
111,0.28278698132539815,0.2827869813253981,0.12949227882395006,0.05054635200793517,0.17482361145466738,-0.6266954696170539,-0.42726022413564085,0.6278042641707443
112,0.3266466849021449,0.3266466849021448,0.01627242477630889,0.0066866484311884355,-0.526717138021224,-0.48161530377093403,0.6562367907801491,-0.24488574910544036
113,0.33194322337997184,0.33194322337997156,0.059053611814920734,0.0013901099533614736,0.06046204850521066,0.005623772752039066,-0.990124718464787,0.12635567164007047
114,0.3256332642938479,0.3256332642938478,0.06362807149121613,0.007700069039485391,-0.7121826898972333,-0.19590046434869066,-0.0494410730376122,0.6722904168405186
115,0.31261352845579454,0.31261352845579415,0.035217962290499435,0.020719804877538772,0.26931150128438636,-0.5909903834561504,0.16323013983207021,0.7426692422530402
116,0.2835398973404275,0.28353989734042745,0.12168158104034435,0.04979343599290581,-0.23920336341512877,-0.8511281402324817,0.38107079488835766,0.2704582946009276
117,0.32273390681706127,0.322733906817061,0.02743779738802938,0.010599426516272048,-0.24343853645523544,0.07443377037308573,0.04129686069163533,-0.9661738260238659
118,0.3073764730355396,0.3073764730355394,0.018820424981453903,0.025956860297793705,0.013872964150446535,-0.33386059479685437,-0.3330105083594501,0.8817304834413698
119,0.26167299997000165,0.2616729999700016,0.035857929010283375,0.07166033336333166,-0.9956197279461853,0.07799653942434535,0.04176845744187482,-0.030220739982947754
120,0.3112345804263588,0.3112345804263586,0.06898840784250078,0.022098752906974495,-0.542709275920717,-0.4407182205990813,-0.55330573255088,0.452865165571304
121,0.31289029420682657,0.3128902942068263,0.03683708913566999,0.020443039126506746,0.8343796849883067,0.3836463562164951,-0.3911434668450263,-0.06027273832400515
122,0.31519538310267187,0.31519538310267176,0.05094740712330421,0.018137950230661448,0.0581133010815687,-0.7710895580230267,-0.588277089049368,-0.2365878362149211
123,0.30471844871664683,0.3047184487166467,0.08197017424992405,0.028614884616686487,-0.10648463798262069,0.27198338320875615,0.06201268223853638,0.9543796353514734
124,0.32025285480440396,0.32025285480440374,0.07051250110908622,0.013080478528929351,-0.12042853195862317,-0.10414696548567595,-0.1256077153596295,0.9792206493495482
125,0.2889436085023876,0.28894360850238754,0.11401863506001145,0.04438972483094572,0.1324887953592695,-0.4719361581433262,0.8515436424203654,0.18600109353072108
126,0.32864061958581336,0.3286406195858132,0.02299029038479107,0.00469271374751995,0.819902488369131,0.15777626118641,0.3237618601545235,-0.4450222678489553
127,0.2904196503953357,0.2904196503953356,0.04399339975167865,0.04291368293799763,-0.35782631090288036,-0.4401525356127381,-0.8203964401838488,0.07194273801420972
128,0.25903820578111814,0.259038205781118,0.08060784555659344,0.07429512755221518,0.9831208136332706,-0.11731665875686494,-0.10098708900028971,-0.09752884308976939
129,0.2847287103551052,0.2847287103551052,0.04887226324692484,0.048604622978228096,-0.3180400849708081,-0.7728767412613823,-0.5469333015018318,-0.0487443420024723
130,0.32351302222384737,0.3235130222238472,0.022464612630688524,0.009820311109485946,-0.020320121223427016,-0.9984862725027429,-0.025711753973830805,-0.044171959483734105
131,0.31955035785231356,0.3195503578523133,0.04712477472520275,0.013782975481019755,0.8099738691431358,0.31351369850175453,-0.48431787467643805,0.10529809317336744
132,0.31724299231269076,0.3172429923126907,0.035988851460468055,0.01609034102064255,0.6254320550332774,-0.5579175332518191,0.5072421904428208,0.20066920755767628
133,0.31193325613917433,0.3119332561391742,0.010076440676364724,0.021400077194158984,-0.38837307827042283,-0.8751229873808957,0.014054682728129583,0.2883202645075513
134,0.250396392497272,0.2503963924972717,0.17001869845423254,0.08293694083606129,-0.7543251418050133,-0.3947024136971296,-0.2921025551433327,-0.435751858677898
135,0.3305657073384768,0.33056570733847673,0.027117074894546123,0.0027676259948565263,-0.45083375307496093,-0.11082225803830692,0.851408711197555,-0.24407081084913482
136,0.28786115306398063,0.2878611530639806,0.05715002361480333,0.04547218026935268,-0.7049669812174824,0.344159182235227,0.606619661405321,-0.1287967354896211
137,0.2998061093270836,0.29980610932708357,0.05785825330498877,0.03352722400624969,0.5306784555159202,0.0824263082269982,0.08538206355585844,0.8392235600757695
138,0.32419374284375024,0.3241937428437499,0.055693398230822776,0.009139590489583072,0.19738813639034067,0.16209674598269644,-0.9602652961302606,-0.11248613070966768
139,0.2905939267588517,0.29059392675885154,0.006223373486138503,0.04273940657448161,-0.6295422483163454,-0.4102815256110846,0.4472256814679138,0.4851132003590522
140,0.31642964099999665,0.3164296409999966,0.044394830838931094,0.016903692333336662,0.8417520724381367,-0.14709184512125895,-0.1270751025759523,0.503655989689626
141,0.2888075131260526,0.28880751312605246,0.0924300942471314,0.04452582020728074,-0.03006095183528142,-0.3314954784709209,0.692660814188397,0.6398656760726887
142,0.23544780141012853,0.23544780141012853,0.16901728643243685,0.09788553192320479,-0.08645448987166718,0.684046428922943,-0.5516732258123778,-0.4693215914280572
143,0.3062231509743015,0.3062231509743013,0.051402881551461534,0.027110182359031842,0.9056432115115355,-0.18514358313801174,0.3694648705725842,0.09501545389395395
144,0.2535063889939914,0.25350638899399136,0.1330273707488865,0.0798269443393419,-0.9230856451520657,0.1069578861730625,0.35723145049032345,0.09412009923584154
145,0.3217265211997976,0.3217265211997975,0.0011660911833286782,0.011606812133535704,-0.5585706730446224,-0.15306220613744612,-0.39947392834099116,0.7106274304040283
146,0.29248619434955464,0.2924861943495545,0.0699156972695537,0.040847138983778675,-0.36385030941702534,-0.44559243527515074,-0.35243216858142723,-0.7381408405661403
147,0.2466495779378447,0.24664957793784453,0.15042730827143666,0.08668375539548862,-0.9142998752175807,0.1556256152432626,0.22058896618878507,0.3019551523869651
148,0.32102988452191483,0.3210298845219145,0.05290671963195649,0.012303448811418483,0.865468850211334,-2.7030992239410567e-05,0.4764002682118645,-0.1549401595160546
149,0.3183616244819413,0.3183616244819412,0.03431424631772828,0.01497170885139204,-0.5299027242318936,-0.7676248303310613,-0.16957236408592788,0.3181201597653573
150,0.27989977253246284,0.27989977253246273,0.04262425129919106,0.05343356080087047,-0.2640320419197683,0.30420598121731757,-0.6366350370981536,-0.6576029435535696
151,0.32721000555067636,0.32721000555067636,0.011933354821972407,0.006123327782656951,0.5051873011751562,0.23941784349788012,0.18337079436106637,-0.808603758785215
152,0.319620405971211,0.31962040597121083,0.07329599853697988,0.013712927362122318,0.8431335457975934,-0.53512730890794,-0.006462138685815062,0.052180724174057044
153,0.32186934049955684,0.3218693404995568,0.011354342812269113,0.01146399283377647,-0.180211235988958,-0.7757910688774988,-0.24258537778861208,-0.5539173786372803
154,0.29661416055494627,0.2966141605549462,0.11101786145622043,0.036719172778387044,-0.38180830725906645,-0.7388521381442338,0.5376117549829714,0.1389011712398054
155,0.2528596001468068,0.2528596001468068,0.14565215732719558,0.08047373318652651,0.019710578095253208,0.6733066729814986,0.4657814776502448,-0.5738616839515344
156,0.30762175731300895,0.30762175731300895,0.09059928987201486,0.025711576020324367,-0.8493387664748248,0.4857230060168463,-0.029685472360202376,0.20448861562378845
157,0.31965606682580805,0.31965606682580805,0.027396535601522328,0.013677266507525265,0.5124934412199706,-0.35807002075883065,0.19858665676130832,0.7547845207055119
158,0.28102521304411576,0.28102521304411576,0.024380180313548463,0.05230812028921755,-0.5950380108359025,0.4037343351483685,0.6855595607143623,-0.11373847632128713
159,0.3133690328881501,0.31336903288815005,0.007579576899106673,0.019964300445183214,0.16954164039859793,0.6210452660595082,0.68238183149346,0.3462852086411697
160,0.27893412265468515,0.2789341226546851,0.09820021903091039,0.05439921067864817,-0.3124592967490232,0.2798825442624645,-0.13620299355451934,0.8974874338056568
161,0.24636719525813053,0.2463671952581304,0.12007790743851177,0.08696613807520279,0.6362446708075361,0.45724707415310184,0.5209235118018909,0.33875732744757414
162,0.32624207655077325,0.3262420765507731,0.0031226064973077926,0.0070912567825600625,-0.48331095914132177,-0.1742247371782879,0.07055582037518546,0.8550310719150718
163,0.3301461060947613,0.33014610609476114,0.026151581605640774,0.00318722723857201,0.7886184789986972,-0.021496498640170263,0.4838322362279464,-0.3788471490121829
164,0.21812038374368262,0.21812038374368256,0.18430791850789585,0.1152129495896507,-0.15925339934933927,0.4395229836868201,-0.3863761049660187,0.7950920746165209
165,0.2916149898446505,0.2916149898446504,0.000682825046566825,0.04171834348868281,0.36513348560063663,0.7256653957749476,0.5480476525405547,0.1993264699248589
166,0.31011518887611034,0.3101151888761101,0.046828528414987754,0.023218144457222978,-0.21136922370926042,-0.5602701671642757,-0.19517133763588784,0.7767422609976088
167,0.2985701997388863,0.29857019973888627,0.07275414863636077,0.03476313359444699,-0.40572346096584616,0.6483111369458308,-0.35969634520869986,-0.5345088232923789
168,0.2686218620105148,0.26862186201051474,0.04435126656063494,0.06471147132281851,0.31441943595475613,-0.3154259158841172,0.7373557829079853,0.5078910899934266
169,0.29025909092604746,0.2902590909260472,0.052760276320925295,0.043074242407285857,-0.9457225948045793,0.24258290230135954,0.16145634626481087,-0.14385463995978748
170,0.26922882860466685,0.2692288286046668,0.04599571108551369,0.06410450472866647,0.4304713767784986,0.4043302670234273,-0.5918777645125389,-0.5485363623487758
