sample_id,source_index,f0,f1,f2,f3,operator_norm,top_eigenvalue,s2,s4,s6,s8,projective_distance_to_axis_register
3583,35836,-0.7462489215185343,0.5471371716592338,-0.37226743121859796,0.07190564772717864,0.330585817663121,0.10928698283999429,2.4999999999999996,1.565281844779872,1.2005021030451455,0.9895342822602498,0.3139364905202804
3584,35846,-0.3432627710542966,-0.0007801019602337453,-0.8303678479899976,0.438929719287174,0.31743132105997507,0.10076264358988098,2.5,1.3922232317950218,0.9464812893384564,0.6898613060380514,0.445377886226443
3585,35856,0.3031358000995057,0.11885624624859209,0.0005578103398907497,-0.9455059853186288,0.32675729675140663,0.10677033098028682,2.499999999999999,1.5032717504581379,1.1212344353610437,0.9157244833676742,0.2844316368554805
3586,35866,0.3970398180074129,-0.37121915802321764,0.7176772978193332,-0.4353102523808897,0.3113280045759333,0.09692512643323234,2.4999999999999996,1.2915063287112984,0.8486549317527238,0.6293116185777924,0.3920807953633993
3587,35876,0.6177435851831513,0.25247886661135666,-0.15599523066382545,-0.7282257705477412,0.3208909861972639,0.10297102502265262,2.5,1.4259685239709126,1.008052547912076,0.7718060012936221,0.39056528403387375
3588,35886,-0.9176379063432004,-0.22150855437515912,0.2583297553324145,0.20528119906749787,0.2914613388759285,0.08494971205934884,2.4999999999999996,1.1089918221064199,0.6005510759350455,0.34763435153835076,0.6329328060777467
3589,35896,-0.4874717363860091,0.5015055494793732,-0.7073416447837648,-0.10262206205684762,0.3094877192748411,0.09578264838194285,2.5000000000000004,1.295957561857005,0.821485177607,0.5482889509391656,0.5315601483215958
3590,35906,-0.08514459163558856,-0.9677428575919614,-0.22162792740956622,-0.08429247823556718,0.3230977781653209,0.10439217425536693,2.4999999999999996,1.4453538258130427,1.0501440830219393,0.8491845695861997,0.2889028435174684
3591,35916,0.8575172379442727,-0.4903649055537091,0.03228925394204958,-0.1521967480256834,0.31059325681050076,0.09646817117615368,2.5,1.2786283258670916,0.8374186379043093,0.6208292710425855,0.39524625406162633
3592,35926,0.5525453330722182,-0.8248875646519541,0.01520544251957485,0.11841855893593485,0.32996599883911226,0.10887756038989303,2.4999999999999996,1.553100565059817,1.1876702520668374,0.9933475556714304,0.21953809918581724
3593,35936,0.868383835441355,-0.01805778286030043,-0.19216914838108276,-0.45678709398670786,0.27618906896505724,0.07628040181578515,2.5000000000000004,0.9463139753913795,0.4562230832473438,0.2591508993635792,0.5874239986033258
3594,35946,0.8550240408933569,-0.4893900452261981,0.14968300480123248,-0.08382285608095796,0.3208270912749672,0.10293002249595615,2.499999999999999,1.4185513895426496,1.007453008850272,0.7893161296152817,0.33778387865268017
3595,35956,0.29839026762843135,-0.947507380270588,-0.07166780265344533,-0.08975933700862256,0.3287073314271092,0.10804850973393139,2.5,1.537979521485606,1.1604221304770126,0.9386092990855541,0.3532680880296891
3596,35966,0.7364925952783502,-0.5866739710750309,0.2587769379308079,-0.21546880321375725,0.32594290581813723,0.10623877785317108,2.4999999999999996,1.4969473234834696,1.1041279024830368,0.881163830604889,0.32851780874530345
3597,35976,0.5493255140716004,-0.17808312762837675,-0.5344698835070988,-0.6171465165323187,0.2916143104975913,0.08503890608698558,2.5,1.0836137258129945,0.5972134437928859,0.37459002187887175,0.5314821287155088
3598,35986,0.40277444240766846,-0.360191944115598,-0.5468098436839053,0.6395572740480719,0.31207343346840216,0.09738982787675723,2.5000000000000004,1.308752706583418,0.8601458270257502,0.6229173794204673,0.4287788040019464
3599,35996,0.18332310962959775,0.8950108128688802,-0.21395960176661707,-0.3457883328503021,0.28182810770534505,0.07942708229277558,2.499999999999999,1.0623765791558144,0.5214843745569967,0.27918713021788966,0.618364204607617
3600,36006,0.2742402498623597,0.5587836932439757,-0.6715257009081445,-0.402002863845369,0.24265767768607033,0.058882748539996796,2.5000000000000004,0.8665753531167671,0.33610777214636384,0.1369724711857468,0.797803825010793
3601,36016,-0.5562552590084824,-0.8113507817000963,0.13086170741839223,0.12314710468213182,0.32916718525856536,0.10835103585104669,2.4999999999999996,1.5365331744054405,1.1714564200259232,0.9873855298728128,0.20958130493732213
3602,36026,-0.08448052507113282,0.7112183027095753,-0.47053872519922735,0.5153880818009888,0.26390392381403727,0.06964528100444518,2.4999999999999996,0.9542767978393787,0.4106792721881425,0.18876562812217065,0.6995633441625724
3603,36036,0.04348919390132392,0.34143576832286987,0.5271924140631158,-0.7769159958952376,0.27687229454206286,0.07665826748498682,2.5,1.0643231541451827,0.4963363258444898,0.24245438661748392,0.7341325946519286
3604,36046,-0.5812765322402945,-0.23131335352153093,-0.09450337365707384,-0.7743906235981636,0.27622094359110966,0.07629800967836298,2.5000000000000004,1.0343391727303202,0.4840215543560227,0.2439010198488614,0.6519866840951374
3605,36056,-0.20079755895908563,-0.47449515439772993,0.6368913273197987,0.5735016355285938,0.26560333010823484,0.07054512896458397,2.500000000000001,0.9271752262814147,0.40465078724064,0.19380210980510304,0.6809180960424879
3606,36066,0.2682589259723323,-0.08933664717148464,0.4355779374153209,0.854592284393759,0.31365058867865475,0.09837669177846667,2.5000000000000018,1.3492449398169133,0.8845488438148266,0.6150292748039551,0.47027723852843023
3607,36076,0.466903207838797,-0.7901151682591053,0.38329605629265723,-0.10394012039257526,0.32139645961962443,0.10329568425602888,2.499999999999999,1.4352918924360036,1.017057269423808,0.7871450326364698,0.3386485126908628
3608,36086,0.8264815125306858,-0.5138544913158534,0.20698446112765653,0.10019632753354452,0.3267550323532731,0.10676885116818853,2.5000000000000004,1.5077586486187846,1.1205413591973141,0.9076695862448817,0.2764421667086868
3609,36096,0.06563581751415705,0.08085764514321628,0.13663769919386584,-0.985131524132767,0.31824236405466905,0.10127820227910452,2.499999999999999,1.3779849818505743,0.9618354453177813,0.7547847749399754,0.3255461885434954
3610,36106,0.43031777935079213,0.20770761373371718,-0.45793941314898146,0.7496503517350034,0.3091935236231297,0.09560063505048685,2.4999999999999996,1.2765501170188034,0.8168231488296195,0.5748125698958308,0.4567557588436585
3611,36116,-0.31150081970714616,-0.13095929511924034,-0.9255663618578969,-0.17071558845279558,0.32108607042222304,0.10309626461918477,2.5000000000000004,1.4370681123799114,1.010859268063519,0.7558647163164665,0.385833223406444
3612,36126,-0.14575988029487308,0.8355330049084374,-0.5197735595233712,-0.10234305948869088,0.2749530783947717,0.07559919531876146,2.499999999999999,0.9774467226009281,0.45989747695854283,0.24033017860005448,0.63656253133886
3613,36136,-0.3865984916159112,0.8052963224846819,0.19513451049127586,0.40492216793882685,0.322739508067955,0.10416079006794558,2.499999999999999,1.4580669210564017,1.0415107740615084,0.7960176346328075,0.3626895950836636
3614,36146,-0.40946038213097263,-0.06546687969514721,0.8953793574729518,-0.1623332662748553,0.328937636479795,0.10819996869291378,2.5000000000000018,1.5424792251152213,1.1650681531554614,0.9389922444444334,0.3980437959227677
3615,36156,-0.32811530604497935,0.6084582365139736,-0.3631564417702757,0.6246889779386757,0.27066173330300425,0.0732577738745866,2.4999999999999982,0.9411476433564813,0.4284156940089713,0.2113684052024479,0.7361659946247749
3616,36166,-0.2283678562655856,0.8162664997273693,-0.11332940889725794,-0.5183758952020122,0.2910074227653659,0.0846853201045404,2.500000000000001,1.1478818455835733,0.6040540018200954,0.33927283315870466,0.6421724743769158
3617,36176,-0.14180307740352296,0.9218171812723523,0.36071296506132977,0.005579281911637893,0.3106572782583441,0.09650794453488223,2.5,1.276791481885061,0.8383621186082125,0.6268601972416342,0.3855919294519593
