group_index,source_line,target_line,projective_distance,action_pass
11,24,16,0.0,True
11,25,22,0.0,True
11,26,14,0.0,True
11,27,17,0.0,True
11,28,28,0.0,True
11,29,24,0.0,True
12,0,6,0.0,True
12,1,5,0.0,True
12,2,9,0.0,True
12,3,7,0.0,True
12,4,2,0.0,True
12,5,8,0.0,True
12,6,4,0.0,True
12,7,1,0.0,True
12,8,3,0.0,True
12,9,0,0.0,True
12,10,26,0.0,True
12,11,22,0.0,True
12,12,18,0.0,True
12,13,20,0.0,True
12,14,28,0.0,True
12,15,27,0.0,True
12,16,13,0.0,True
12,17,24,0.0,True
12,18,29,0.0,True
12,19,25,0.0,True
12,20,11,0.0,True
12,21,17,0.0,True
12,22,16,0.0,True
12,23,14,0.0,True
12,24,19,0.0,True
12,25,21,0.0,True
12,26,23,0.0,True
12,27,12,0.0,True
12,28,10,0.0,True
12,29,15,1.4901161193847656e-08,True
13,0,8,0.0,True
13,1,1,0.0,True
13,2,2,0.0,True
13,3,4,0.0,True
13,4,3,0.0,True
13,5,7,0.0,True
13,6,6,0.0,True
13,7,5,0.0,True
13,8,0,0.0,True
13,9,9,0.0,True
13,10,26,0.0,True
13,11,12,1.4901161193847656e-08,True
13,12,11,0.0,True
13,13,20,0.0,True
13,14,14,0.0,True
13,15,25,0.0,True
13,16,29,0.0,True
13,17,22,0.0,True
13,18,18,0.0,True
13,19,27,0.0,True
13,20,13,0.0,True
13,21,21,0.0,True
13,22,17,0.0,True
13,23,23,0.0,True
13,24,24,0.0,True
13,25,15,1.4901161193847656e-08,True
13,26,10,0.0,True
13,27,19,0.0,True
13,28,28,0.0,True
13,29,16,0.0,True
14,0,7,0.0,True
14,1,5,0.0,True
14,2,0,0.0,True
14,3,6,0.0,True
14,4,3,0.0,True
14,5,8,0.0,True
14,6,4,0.0,True
14,7,1,0.0,True
14,8,2,0.0,True
14,9,9,0.0,True
14,10,26,0.0,True
14,11,15,1.4901161193847656e-08,True
14,12,13,0.0,True
14,13,20,0.0,True
14,14,28,0.0,True
14,15,25,0.0,True
14,16,18,0.0,True
14,17,16,1.4901161193847656e-08,True
14,18,29,0.0,True
14,19,27,0.0,True
14,20,11,1.4901161193847656e-08,True
14,21,19,0.0,True
14,22,24,0.0,True
14,23,10,0.0,True
14,24,17,0.0,True
14,25,12,2.1073424255447017e-08,True
14,26,23,0.0,True
14,27,21,0.0,True
14,28,14,0.0,True
14,29,22,0.0,True
15,0,4,0.0,True
15,1,1,0.0,True
15,2,0,0.0,True
15,3,8,0.0,True
15,4,9,0.0,True
15,5,6,0.0,True
15,6,7,0.0,True
15,7,5,0.0,True
15,8,2,0.0,True
15,9,3,0.0,True
15,10,26,0.0,True
15,11,24,0.0,True
15,12,29,0.0,True
15,13,20,0.0,True
15,14,10,0.0,True
15,15,25,0.0,True
15,16,11,0.0,True
15,17,19,0.0,True
15,18,13,0.0,True
