a_star0,b_star1,c_star2,x_b_over_a,y_c_over_b,Delta0_rank,Delta0_kernel,Delta1_rank,Delta1_kernel,Delta2_rank,Delta2_kernel,Delta1_smallest_positive,Delta1_largest_positive,Delta1_negative_count,exact_coexact_left_max_abs,exact_coexact_right_max_abs,dimension_partition_pass,all_checks_pass
1.0,1.0,1.0,1.0,1.0,59,1,78,42,19,1,0.7639320225002055,16.000000000000014,0,0.0,0.0,True,True
1.0,1.0,2.0,1.0,2.0,59,1,78,42,19,1,0.7639320225002008,32.00000000000003,0,0.0,0.0,True,True
1.0,1.0,4.0,1.0,4.0,59,1,78,42,19,1,0.7639320225002083,64.00000000000006,0,0.0,0.0,True,True
1.0,2.0,0.25,2.0,0.125,59,1,78,42,19,1,0.7499999999999968,12.000000000000018,0,0.0,0.0,True,True
1.0,2.0,0.5,2.0,0.25,59,1,78,42,19,1,1.4999999999999947,12.00000000000002,0,0.0,0.0,True,True
1.0,2.0,1.0,2.0,0.5,59,1,78,42,19,1,1.527864045000415,12.000000000000014,0,0.0,0.0,True,True
1.0,2.0,2.0,2.0,1.0,59,1,78,42,19,1,1.5278640450004097,16.000000000000014,0,0.0,0.0,True,True
1.0,2.0,4.0,2.0,2.0,59,1,78,42,19,1,1.527864045000411,32.00000000000003,0,0.0,0.0,True,True
1.0,4.0,0.25,4.0,0.0625,59,1,78,42,19,1,0.3749999999999877,24.000000000000043,0,0.0,0.0,True,True
1.0,4.0,0.5,4.0,0.125,59,1,78,42,19,1,0.74999999999999,24.000000000000032,0,0.0,0.0,True,True
1.0,4.0,1.0,4.0,0.25,59,1,78,42,19,1,1.4999999999999936,24.000000000000036,0,0.0,0.0,True,True
1.0,4.0,2.0,4.0,0.5,59,1,78,42,19,1,2.9999999999999893,24.00000000000004,0,0.0,0.0,True,True
1.0,4.0,4.0,4.0,1.0,59,1,78,42,19,1,3.05572809000083,24.00000000000003,0,0.0,0.0,True,True
2.0,0.25,0.25,0.125,1.0,59,1,78,42,19,1,0.09549150281252024,16.000000000000014,0,0.0,0.0,True,True
2.0,0.25,0.5,0.125,2.0,59,1,78,42,19,1,0.09549150281251953,32.000000000000036,0,0.0,0.0,True,True
2.0,0.25,1.0,0.125,4.0,59,1,78,42,19,1,0.09549150281249637,64.00000000000007,0,0.0,0.0,True,True
2.0,0.25,2.0,0.125,8.0,59,1,78,42,19,1,0.0954915028124831,128.00000000000014,0,0.0,0.0,True,True
2.0,0.25,4.0,0.125,16.0,59,1,78,42,19,1,0.09549150281248184,256.0000000000002,0,0.0,0.0,True,True
2.0,0.5,0.25,0.25,0.5,59,1,78,42,19,1,0.1909830056250502,8.000000000000007,0,0.0,0.0,True,True
2.0,0.5,0.5,0.25,1.0,59,1,78,42,19,1,0.19098300562505208,16.000000000000014,0,0.0,0.0,True,True
2.0,0.5,1.0,0.25,2.0,59,1,78,42,19,1,0.19098300562504048,32.00000000000003,0,0.0,0.0,True,True
2.0,0.5,2.0,0.25,4.0,59,1,78,42,19,1,0.19098300562503906,64.00000000000007,0,0.0,0.0,True,True
2.0,0.5,4.0,0.25,8.0,59,1,78,42,19,1,0.19098300562499274,128.00000000000014,0,0.0,0.0,True,True
2.0,1.0,0.25,0.5,0.25,59,1,78,42,19,1,0.38196601125010243,4.0000000000000036,0,0.0,0.0,True,True
2.0,1.0,0.5,0.5,0.5,59,1,78,42,19,1,0.38196601125010277,8.000000000000007,0,0.0,0.0,True,True
2.0,1.0,1.0,0.5,1.0,59,1,78,42,19,1,0.3819660112501004,16.000000000000014,0,0.0,0.0,True,True
2.0,1.0,2.0,0.5,2.0,59,1,78,42,19,1,0.38196601125010415,32.00000000000003,0,0.0,0.0,True,True
2.0,1.0,4.0,0.5,4.0,59,1,78,42,19,1,0.38196601125008095,64.00000000000006,0,0.0,0.0,True,True
2.0,2.0,0.25,1.0,0.125,59,1,78,42,19,1,0.7499999999999973,6.00000000000001,0,0.0,0.0,True,True
2.0,2.0,0.5,1.0,0.25,59,1,78,42,19,1,0.7639320225002075,6.000000000000007,0,0.0,0.0,True,True
2.0,2.0,1.0,1.0,0.5,59,1,78,42,19,1,0.7639320225002049,8.000000000000007,0,0.0,0.0,True,True
2.0,2.0,2.0,1.0,1.0,59,1,78,42,19,1,0.7639320225002055,16.000000000000014,0,0.0,0.0,True,True
2.0,2.0,4.0,1.0,2.0,59,1,78,42,19,1,0.7639320225002008,32.00000000000003,0,0.0,0.0,True,True
2.0,4.0,0.25,2.0,0.0625,59,1,78,42,19,1,0.374999999999995,12.000000000000016,0,0.0,0.0,True,True
2.0,4.0,0.5,2.0,0.125,59,1,78,42,19,1,0.7499999999999968,12.000000000000018,0,0.0,0.0,True,True
2.0,4.0,1.0,2.0,0.25,59,1,78,42,19,1,1.4999999999999947,12.00000000000002,0,0.0,0.0,True,True
2.0,4.0,2.0,2.0,0.5,59,1,78,42,19,1,1.527864045000415,12.000000000000014,0,0.0,0.0,True,True
2.0,4.0,4.0,2.0,1.0,59,1,78,42,19,1,1.5278640450004097,16.000000000000014,0,0.0,0.0,True,True
4.0,0.25,0.25,0.0625,1.0,59,1,78,42,19,1,0.047745751406259765,16.000000000000018,0,0.0,0.0,True,True
4.0,0.25,0.5,0.0625,2.0,59,1,78,42,19,1,0.047745751406248184,32.000000000000036,0,0.0,0.0,True,True
