probe_id,point_norm_squared,direct_determinant,predicted_determinant,absolute_residual
654,5.48238760788971,1.7232705572230616e-05,1.7232705572232964e-05,2.3479753297889205e-18
655,8.019970135837236,0.003647743219843089,0.003647743219843002,8.716985466783456e-17
656,5.062987675997803,2.0905181032907435e-06,2.090518103290944e-06,2.0032329202564203e-19
657,1.3893174737795204,7.667057027923746e-07,7.667057027923665e-07,8.046812998915853e-21
658,3.0525731622004315,4.037370623149529e-06,4.037370623149543e-06,1.4399560103323106e-20
659,2.9758883433893395,5.200239338636705e-05,5.200239338636786e-05,8.131516293641283e-19
660,7.6223338784761845,0.009158184565700798,0.00915818456570082,2.0816681711721685e-17
661,2.191370779502563,3.1706983099655567e-06,3.170698309965615e-06,5.844527336054672e-20
662,5.294287172613815,0.00010615380030494219,0.00010615380030493326,8.931115395849343e-18
663,1.1288144517713623,2.0054911220933306e-07,2.005491122093297e-07,3.3616620094155045e-21
664,1.8795323224495109,2.3352414187201116e-06,2.3352414187200955e-06,1.6093625997831706e-20
665,0.04264533673778447,2.608324044944328e-16,2.608324044944388e-16,6.015064402310215e-30
666,3.27818468040692,8.788332209261041e-05,8.788332209260938e-05,1.0299920638612292e-18
667,4.741303224796013,5.7472118007776194e-05,5.747211800776964e-05,6.5526468799592674e-18
668,3.243429840457604,1.0203295169982593e-05,1.0203295169982303e-05,2.896852679609707e-19
669,2.8725746412734474,1.6594732981848086e-05,1.6594732981848605e-05,5.183841637196318e-19
670,4.861286779097368,0.0005084450994183257,0.0005084450994183156,1.0083080204115191e-17
671,3.5628814106617686,2.2389606090889308e-05,2.238960609088821e-05,1.0977546996415732e-18
672,7.748609017526178,0.006930560287467406,0.006930560287467295,1.1102230246251565e-16
673,4.764099538064141,0.0001955271634617988,0.0001955271634617915,7.318364664277155e-18
674,1.4438199853294167,8.35071373388631e-08,8.350713733885973e-08,3.374896899216353e-21
675,2.660806471511426,1.2804942356544869e-07,1.2804942356543135e-07,1.733770563911146e-20
676,2.2012322270784903,4.380027167923916e-06,4.380027167923906e-06,1.0164395367051604e-20
677,5.180905021548622,0.0016913092240820134,0.0016913092240820422,2.883977778811442e-17
678,0.5820326431085016,1.279781343802102e-10,1.2797813438022787e-10,1.7655136199178684e-23
679,0.3279299634868628,1.9268416665767714e-11,1.9268416665767013e-11,7.011648161094024e-25
680,1.3216058500868972,4.173337277534832e-08,4.1733372775345505e-08,2.812414082680294e-21
681,0.5732799258437022,1.257906068114411e-09,1.2579060681144415e-09,3.0605682664462024e-23
682,2.632107717662401,3.9577698505665856e-06,3.957769850566614e-06,2.879912020664621e-20
683,0.632768899232996,3.3627200919115585e-09,3.362720091911528e-09,3.0605682664462024e-23
684,4.530170494787189,0.000728211140647853,0.0007282111406478571,4.0115480381963664e-18
685,1.5747260132987801,5.032657356641008e-08,5.03265735664064e-08,3.679299364635867e-21
686,8.329258199420018,0.015378859158615704,0.015378859158615402,3.0184188481996443e-16
687,1.4251448834775955,4.2641699915757793e-07,4.2641699915757735e-07,5.823351512373315e-22
688,1.7166544303174902,7.655590919059268e-07,7.655590919059262e-07,6.352747104407253e-22
689,3.2907453665285455,1.045029143563804e-05,1.0450291435637616e-05,4.2351647362715017e-19
690,1.396096343948888,1.844896960642184e-08,1.8448969606424545e-08,2.7065349642735066e-21
691,1.9661221180032644,1.93589666764097e-06,1.9358966676409933e-06,2.329340604949326e-20
692,3.032765487502822,3.327865699674084e-05,3.3278656996741525e-05,6.844026213814747e-19
693,3.5969489577803095,2.002044092653486e-05,2.002044092653471e-05,1.4907779871675686e-19
694,6.803707603566574,0.003957886566157518,0.0039578865661575625,4.423544863740858e-17
695,5.960462786485669,0.0028023198697111817,0.002802319869711202,2.0383000842727483e-17
696,2.2493702408660825,1.596291701089633e-07,1.5962917010895934e-07,3.970466940254533e-21
697,6.803095115157123,0.0024326730401311005,0.002432673040131058,4.2500725161431774e-17
698,1.1881333066262652,1.8635137572952455e-07,1.8635137572952077e-07,3.785178483042655e-21
699,0.2932298435300368,2.6951778596090906e-11,2.6951778596090574e-11,3.3281094958188223e-25
700,5.81124155858334,0.0036510945386801683,0.003651094538680226,5.767955557622884e-17
701,3.988568768002179,1.3760674002046797e-06,1.3760674002043143e-06,3.654947167402306e-19
702,1.4338739180916593,3.054544317205596e-07,3.0545443172056506e-07,5.4527745979495584e-21
703,3.147984101052012,6.98366354011564e-05,6.983663540115564e-05,7.589415207398531e-19
704,0.7826020812670939,1.8063847673611953e-09,1.8063847673611554e-09,3.9911464555683585e-23
705,3.573656950485602,3.712361694062112e-05,3.712361694062005e-05,1.0706496453294356e-18
706,2.317438607128093,1.4938950593573954e-06,1.4938950593574417e-06,4.6375053862172944e-20
707,3.018089751363091,5.4141230050356185e-06,5.414123005035469e-06,1.4907779871675686e-19
708,4.081879713424585,0.0001515038593649878,0.00015150385936498934,1.5449880957918438e-18
709,5.23635080949012,0.000165952945037646,0.0001659529450376389,7.101524229780054e-18
710,3.1835747048482617,7.42849900768656e-05,7.428499007686584e-05,2.439454888092385e-19
711,2.326368833867583,1.0537535746862756e-05,1.0537535746862747e-05,8.470329472543003e-21
712,5.677915378037005,0.0009592200346388216,0.0009592200346388134,8.239936510889834e-18
713,2.6242101639134257,1.853031131983204e-05,1.8530311319832043e-05,3.3881317890172014e-21
714,1.5518852969773265,9.353003358606993e-07,9.353003358606971e-07,2.2234614865425384e-21
715,5.510130494774282,0.0013441058493841706,0.0013441058493841708,2.168404344971009e-19
716,4.06669540003067,0.0002696294779833942,0.00026962947798339214,2.0599841277224584e-18
717,5.526859672929213,0.001336776838676821,0.0013367768386768348,1.3877787807814457e-17
718,1.5540488141388895,3.147743498461402e-07,3.1477434984613e-07,1.0164395367051604e-20
719,3.610286088312189,5.252265989107533e-05,5.252265989107547e-05,1.3552527156068805e-19
720,0.15371768416714224,1.522797959338894e-13,1.5227979593389335e-13,3.937993638863291e-27
721,1.2230372708129378,2.39115800696414e-10,2.391158006964108e-10,3.2053248736429822e-24
722,2.0472876099997457,2.3613692769441738e-07,2.3613692769439498e-07,2.2393433543035565e-20
723,3.083097283163398,2.9511893367172356e-05,2.9511893367173026e-05,6.708500942254059e-19
724,7.862028035988031,0.0021958220676166255,0.0021958220676165227,1.0278236595162582e-16
725,4.764663335882743,2.501789215653739e-06,2.501789215652908e-06,8.309393212564686e-19
726,7.112374191786518,0.002357702785497374,0.0023577027854973166,5.724587470723463e-17
727,2.267428979107534,4.382741991901607e-06,4.382741991901578e-06,2.964615315390051e-20
728,2.957995905791382,4.1681240327087545e-05,4.168124032708782e-05,2.778268066994105e-19
729,1.7775068139446677,6.312602058702908e-08,6.31260205870238e-08,5.280721030538529e-21
730,2.6031728921716937,1.2406402475112424e-06,1.240640247511127e-06,1.1540823906339842e-19
731,2.0686276617399457,1.2434251910851915e-07,1.2434251910851786e-07,1.2970192004831474e-21
732,0.5646470934713078,2.606071214630233e-09,2.606071214630177e-09,5.583469134732937e-23
733,0.1934263819300514,1.6694798869055865e-12,1.6694798869055593e-12,2.726303288443817e-26
734,0.46941805508300816,3.827764082549877e-10,3.827764082549915e-10,3.774011544773189e-24
735,0.8616863905251274,1.7371402504370708e-08,1.7371402504370943e-08,2.3491929396505986e-22
736,9.68363452090097,0.0638310044467098,0.06383100444670958,2.220446049250313e-16
737,2.1423749669513334,6.508112898432845e-07,6.50811289843243e-07,4.1504614415460717e-20
738,1.149911156481418,8.449527954151866e-09,8.449527954151964e-09,9.760731228125727e-23
739,2.338463490306089,7.730572143610907e-08,7.730572143610947e-08,3.970466940254533e-22
740,3.8467713578129623,3.487315011453189e-05,3.4873150114531174e-05,7.182839392716467e-19
741,1.97865810279463,8.008000878449069e-07,8.00800087844889e-07,1.7893571010747095e-20
742,5.858159595222347,0.0012063832460763061,0.0012063832460762769,2.927345865710862e-17
743,4.313062965772371,0.00012489021374952264,0.00012489021374952901,6.3696877633523385e-18
744,0.543245630514289,7.462867116474694e-10,7.462867116474611e-10,8.271806125530277e-24
745,1.663107108697474,1.1534752204119704e-08,1.1534752204118253e-08,1.4508747944180105e-21
746,4.37079538194628,0.00026752100395364476,0.00026752100395363956,5.204170427930421e-18
