actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
203,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 1 0 4 3,2,0,preserving,-9.999999999999998,-10,False
204,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 4 2 1 3,0,0,preserving,3.3306690738754696e-16,0,False
205,10,10 10 10 10 10 10,1 2 4 0 3,0,1,reversing,3.2612801348363973e-16,0,False
206,10,10 10 10 10 10 10,4 0 1 2 3,2,1,reversing,-2.005340338229189e-15,0,False
207,6,6 6 6 6 6 6 6 6 6 3 3,2 4 0 1 3,3,1,reversing,1.124100812432971e-15,0,False
208,6,6 6 6 6 6 6 6 6 6 6,0 3 2 4 1,2,1,reversing,-1.1796119636642288e-16,0,False
209,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 2 3 1,1,0,preserving,-2.7755575615628914e-17,0,False
210,10,10 10 10 10 10 10,4 2 3 0 1,2,0,preserving,1.9999999999999998,2,False
211,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 4 0 3 1,0,1,reversing,1.457167719820518e-16,0,False
212,5,5 5 5 5 5 5 5 5 5 5 5 5,3 0 4 2 1,0,0,preserving,1.9999999999999991,2,False
213,12,12 12 12 12 12,2 3 0 4 1,3,0,preserving,5.828670879282072e-16,0,False
214,6,6 6 6 6 6 6 6 6 6 3 3,3 2 4 0 1,1,1,reversing,-8.326672684688674e-17,0,False
215,6,6 6 6 6 6 6 6 6 6 3 3,4 0 3 2 1,3,1,reversing,1.4432899320127035e-15,0,False
216,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 1 4 0 2,2,1,reversing,2.858824288409778e-15,0,False
217,10,10 10 10 10 10 10,4 0 3 1 2,0,1,reversing,1.096345236817342e-15,0,False
218,5,5 5 5 5 5 5 5 5 5 5 5 5,1 3 0 4 2,0,0,preserving,2.0,2,False
219,6,6 6 6 6 6 6 6 6 6 6,0 4 1 3 2,2,0,preserving,-8.604228440844963e-16,0,False
220,12,12 12 12 12 12,3 0 4 1 2,1,0,preserving,-1.1379786002407855e-15,0,False
221,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 1 3 0 2,3,0,preserving,-4.163336342344337e-16,0,False
222,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 4 0 3 2,1,1,reversing,4.996003610813204e-16,0,False
223,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 3 1 4 2,3,1,reversing,-7.077671781985373e-16,0,False
224,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,3 1 2 0 4,3,1,reversing,5.828670879282072e-16,0,False
225,6,6 6 6 6 6 6 6 6 6 6,1 2 0 3 4,2,1,reversing,-3.41740524767431e-16,0,False
226,6,6 6 6 6 6 6 6 6 6 6,0 3 1 2 4,0,1,reversing,1.2073675392798577e-15,0,False
227,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,2 1 3 0 4,0,0,preserving,7.771561172376096e-16,0,False
228,6,6 6 6 6 6 6 6 6 6 6,3 0 2 1 4,2,0,preserving,3.191891195797325e-16,0,False
229,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 3 0 2 4,1,0,preserving,-1.268082860939046e-15,0,False
230,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 1 3 4,3,0,preserving,-1.942890293094024e-16,0,False
231,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 0 3 1 4,1,1,reversing,-1.3877787807814457e-16,0,False
232,10,10 10 10 10 10 10,1 3 4 2 0,2,0,preserving,1.9999999999999993,2,False
233,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 2 4 3 0,3,1,reversing,1.0408340855860843e-17,0,False
234,6,6 6 6 6 6 6 6 6 6 3 3,4 3 1 2 0,1,1,reversing,-1.4155343563970746e-15,0,False
235,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 4 2 1 0,3,0,preserving,-1.4155343563970746e-15,0,False
236,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,4 2 1 3 0,0,0,preserving,2.0,2,False
237,6,6 6 6 6 6 6 6 6 6 6,3 1 2 4 0,0,1,reversing,0.0,0,False
238,10,10 10 10 10 10 10,2 4 3 1 0,2,1,reversing,-1.942890293094024e-16,0,False
239,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 1 3 4 0,1,0,preserving,4.996003610813204e-16,0,False
240,6,6 6 6 6 6 6 6 6 6 3 3,3 2 1 4 0,1,1,reversing,-1.734723475976807e-15,0,False
241,12,12 12 12 12 12,2 3 4 1 0,3,0,preserving,-3.3306690738754696e-16,0,False
242,6,6 6 6 6 6 6 6 6 6 3 3,1 4 3 2 0,3,1,reversing,1.27675647831893e-15,0,False
243,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 3 2 1 0,2,1,reversing,-2.7755575615628914e-16,0,False
244,5,5 5 5 5 5 5 5 5 5 5 5 5,3 4 1 2 0,0,0,preserving,1.9999999999999998,2,False
245,6,6 6 6 6 6 6 6 6 6 6,2 1 4 3 0,0,1,reversing,5.967448757360216e-16,0,False
246,10,10 10 10 10 10 10,1 2 3 4 0,2,0,preserving,1.9999999999999993,2,False
247,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 2 3 0,1,0,preserving,-2.3592239273284576e-16,0,False
248,12,12 12 12 12 12,3 4 1 0 2,1,0,preserving,0.0,0,False
249,10,10 10 10 10 10 10,3 0 1 4 2,2,1,reversing,6.245004513516506e-16,0,False
250,6,6 6 6 6 6 6 6 6 6 3 3,4 3 0 1 2,3,1,reversing,4.85722573273506e-16,0,False
251,12,12 12 12 12 12,1 0 3 4 2,3,0,preserving,1.7486012637846216e-15,0,False
252,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 1 4 3 2,1,1,reversing,-1.4432899320127035e-15,0,False
253,10,10 10 10 10 10 10,1 4 3 0 2,0,1,reversing,8.326672684688674e-16,0,False
254,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 3 4 1 2,0,0,preserving,1.9999999999999971,2,False
255,6,6 6 6 6 6 6 6 6 6 6,4 1 0 3 2,2,0,preserving,7.494005416219807e-16,0,False
256,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 2 0 3 1,3,0,preserving,-2.636779683484747e-16,0,False
257,6,6 6 6 6 6 6 6 6 6 3 3,2 4 3 0 1,1,1,reversing,4.440892098500626e-16,0,False
258,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 3 4 2 1,1,0,preserving,6.941062308252199e-16,0,False
259,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 4 2 0 1,2,0,preserving,-10.000000000000002,-10,False
260,10,10 10 10 10 10 10,4 3 0 2 1,0,1,reversing,-5.551115123125783e-17,0,False
261,5,5 5 5 5 5 5 5 5 5 5 5 5,2 0 3 4 1,0,0,preserving,2.000000000000001,2,False
262,6,6 6 6 6 6 6 6 6 6 6,0 2 4 3 1,2,1,reversing,-1.6653345369377348e-16,0,False
263,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 0 2 4 1,3,1,reversing,1.1102230246251565e-16,0,False
264,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 0 3 1 4,1,0,preserving,1.124100812432971e-15,0,False
265,6,6 6 6 6 6 6 6 6 6 6,0 3 1 2 4,2,0,preserving,-8.881784197001252e-16,0,False
266,6,6 6 6 6 6 6 6 6 6 6,3 0 2 1 4,0,1,reversing,-2.0903417885520525e-16,0,False
267,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,1 2 0 3 4,0,0,preserving,-5.689893001203927e-16,0,False
268,6,6 6 6 6 6 6 6 6 6 6,2 1 3 0 4,2,1,reversing,-8.326672684688674e-17,0,False
269,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 2 1 3 4,3,1,reversing,5.273559366969494e-16,0,False
270,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 2 0 4,3,0,preserving,-2.7755575615628914e-17,0,False
271,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 3 0 2 4,1,1,reversing,-6.38378239159465e-16,0,False
272,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 1 4 0 3,3,1,reversing,-1.0824674490095276e-15,0,False
273,10,10 10 10 10 10 10,2 0 4 1 3,2,0,preserving,2.0000000000000004,2,False
274,10,10 10 10 10 10 10,1 4 0 2 3,2,1,reversing,4.0245584642661925e-16,0,False
275,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,4 1 2 0 3,0,0,preserving,-1.5595164049031496e-15,0,False
276,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 2 1 4 3,0,1,reversing,-6.38378239159465e-16,0,False
277,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 0 2 1 3,1,1,reversing,3.469446951953614e-17,0,False
278,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 4 1 2 3,3,0,preserving,-1.6306400674181987e-16,0,False
279,12,12 12 12 12 12,1 2 0 4 3,1,0,preserving,-8.743006318923108e-16,0,False
280,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 4 3 1 2,3,0,preserving,7.090682208055199e-16,0,False
281,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 0 1 3 2,1,1,reversing,2.0816681711721685e-16,0,False
282,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 1 0 4 2,1,0,preserving,5.793976409762536e-16,0,False
283,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 4 3 2,2,0,preserving,-10.0,-10,False
284,5,5 5 5 5 5 5 5 5 5 5 5 5,4 3 1 0 2,0,0,preserving,2.000000000000001,2,False
285,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,0,1,reversing,1.6653345369377348e-16,0,False
286,10,10 10 10 10 10 10,3 4 0 1 2,2,1,reversing,-1.249000902703301e-16,0,False
287,6,6 6 6 6 6 6 6 6 6 3 3,1 3 4 0 2,3,1,reversing,-2.7755575615628914e-16,0,False
288,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 2 1 3 0,2,1,reversing,3.885780586188048e-16,0,False
289,12,12 12 12 12 12,4 3 1 2 0,1,0,preserving,-5.377642775528102e-17,0,False
290,6,6 6 6 6 6 6 6 6 6 6,3 1 2 4 0,2,0,preserving,-5.412337245047638e-16,0,False
291,10,10 10 10 10 10 10,1 3 4 2 0,0,1,reversing,7.771561172376096e-16,0,False
