actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
380,6,6 6 6 6 6 6 6 6 6 6,1 4 2 3 0,2,1,reversing,-2.498001805406602e-16,0,False
381,10,10 10 10 10 10 10,2 3 1 4 0,0,1,reversing,-2.220446049250313e-16,0,False
382,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,4 1 3 2 0,0,0,preserving,1.999999999999998,2,False
383,10,10 10 10 10 10 10,3 2 4 1 0,2,0,preserving,1.9999999999999998,2,False
384,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 1 3 0 2,1,0,preserving,5.551115123125783e-16,0,False
385,12,12 12 12 12 12,3 0 4 1 2,3,0,preserving,1.6653345369377348e-16,0,False
386,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 3 1 4 2,1,1,reversing,8.708311849403572e-16,0,False
387,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 4 0 3 2,3,1,reversing,-6.245004513516506e-16,0,False
388,10,10 10 10 10 10 10,4 0 3 1 2,2,1,reversing,4.440892098500626e-16,0,False
389,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 1 4 0 2,0,1,reversing,-7.216449660063518e-16,0,False
390,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 4 1 3 2,0,0,preserving,9.992007221626409e-16,0,False
391,10,10 10 10 10 10 10,1 3 0 4 2,2,0,preserving,2.0000000000000004,2,False
392,6,6 6 6 6 6 6 6 6 6 6,4 1 2 0 3,2,0,preserving,-2.914335439641036e-16,0,False
393,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 0 2 1 3,3,1,reversing,3.469446951953614e-16,0,False
394,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 4 1 2 3,1,0,preserving,0.0,0,False
395,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 1 4 0 3,1,1,reversing,2.463307335887066e-15,0,False
396,12,12 12 12 12 12,1 2 0 4 3,3,0,preserving,-6.106226635438361e-16,0,False
397,5,5 5 5 5 5 5 5 5 5 5 5 5,2 0 4 1 3,0,0,preserving,2.0,2,False
398,10,10 10 10 10 10 10,1 4 0 2 3,0,1,reversing,1.6653345369377348e-16,0,False
399,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 2 1 4 3,2,1,reversing,1.8318679906315083e-15,0,False
400,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 2 4 3,3,0,preserving,-2.7755575615628914e-16,0,False
401,6,6 6 6 6 6 6 6 6 6 3 3,1 0 4 2 3,1,1,reversing,-1.8908485888147197e-15,0,False
402,10,10 10 10 10 10 10,4 0 1 2 3,2,0,preserving,1.9999999999999998,2,False
403,12,12 12 12 12 12,2 4 0 1 3,1,0,preserving,2.5673907444456745e-16,0,False
404,6,6 6 6 6 6 6 6 6 6 3 3,4 2 1 0 3,3,1,reversing,6.106226635438361e-16,0,False
405,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 1 0 4 3,2,1,reversing,8.465450562766819e-16,0,False
406,5,5 5 5 5 5 5 5 5 5 5 5 5,1 2 4 0 3,0,0,preserving,2.0,2,False
407,6,6 6 6 6 6 6 6 6 6 6,0 4 2 1 3,0,1,reversing,-4.163336342344337e-16,0,False
408,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 2 4 3 0,1,0,preserving,-1.1102230246251565e-16,0,False
409,10,10 10 10 10 10 10,1 3 4 2 0,2,1,reversing,-1.1102230246251565e-16,0,False
410,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 1 3 4 0,3,1,reversing,2.4702462297909733e-15,0,False
411,12,12 12 12 12 12,4 3 1 2 0,3,0,preserving,6.938893903907228e-16,0,False
412,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 4 2 1 0,1,1,reversing,-1.1796119636642288e-15,0,False
413,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 2 1 3 0,0,1,reversing,-3.3306690738754696e-16,0,False
414,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,3 1 2 4 0,0,0,preserving,-1.2333883914195098e-15,0,False
415,10,10 10 10 10 10 10,2 4 3 1 0,2,0,preserving,2.0000000000000004,2,False
416,6,6 6 6 6 6 6 6 6 6 6,3 0 2 1 4,2,1,reversing,6.938893903907228e-16,0,False
417,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 3 0 2 4,3,1,reversing,8.326672684688674e-16,0,False
418,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 0 3 1 4,3,0,preserving,-9.280770596475918e-16,0,False
419,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 2 1 3 4,1,1,reversing,-6.938893903907228e-17,0,False
420,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 2 0 4,1,0,preserving,1.3877787807814457e-16,0,False
421,6,6 6 6 6 6 6 6 6 6 6,1 2 0 3 4,2,0,preserving,-1.3877787807814457e-17,0,False
422,6,6 6 6 6 6 6 6 6 6 6,2 1 3 0 4,0,1,reversing,4.440892098500626e-16,0,False
423,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 3 1 2 4,0,0,preserving,-5.342948306008566e-16,0,False
424,6,6 6 6 6 6 6 6 6 6 3 3,3 0 4 1 2,3,1,reversing,-7.494005416219807e-16,0,False
425,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 4 0 3 2,3,0,preserving,-5.828670879282072e-16,0,False
426,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 3 0 2,1,1,reversing,8.326672684688674e-16,0,False
427,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 3 1 4 2,1,0,preserving,2.0816681711721685e-17,0,False
428,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 1 4 0 2,2,0,preserving,-9.999999999999998,-10,False
429,10,10 10 10 10 10 10,1 3 0 4 2,0,1,reversing,-1.3877787807814457e-15,0,False
430,5,5 5 5 5 5 5 5 5 5 5 5 5,4 0 3 1 2,0,0,preserving,1.9999999999999987,2,False
431,6,6 6 6 6 6 6 6 6 6 6,0 4 1 3 2,2,1,reversing,4.440892098500626e-16,0,False
432,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 4 2 3 1,3,1,reversing,-1.7763568394002505e-15,0,False
433,6,6 6 6 6 6 6 6 6 6 6,0 3 2 4 1,2,0,preserving,1.249000902703301e-16,0,False
434,6,6 6 6 6 6 6 6 6 6 3 3,2 3 0 4 1,1,1,reversing,-1.0547118733938987e-15,0,False
435,12,12 12 12 12 12,3 2 4 0 1,3,0,preserving,-2.220446049250313e-16,0,False
436,12,12 12 12 12 12,4 0 3 2 1,1,0,preserving,-1.0685896612017132e-15,0,False
437,10,10 10 10 10 10 10,4 2 3 0 1,2,1,reversing,-5.065392549852277e-16,0,False
438,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,2 4 0 3 1,0,0,preserving,1.9999999999999991,2,False
439,10,10 10 10 10 10 10,3 0 4 2 1,0,1,reversing,1.1934897514720433e-15,0,False
440,6,6 6 6 6 6 6 6 6 6 3 3,2 3 4 1 0,1,1,reversing,3.3306690738754696e-16,0,False
441,12,12 12 12 12 12,3 2 1 4 0,3,0,preserving,6.38378239159465e-16,0,False
