sample_id,source_index,s4,s6,e4,e4_residual,e5,e5_residual
1119,27988,0.8232308157487666,0.30661300944076647,0.0003275383196445861,0.0001584956453253877,8.743629351784199e-06,8.743629351784199e-06
1120,28013,1.2599312174665145,0.7880861731693451,0.00021336942795022502,7.237496143127153e-05,3.715536796460915e-06,3.715536796460915e-06
1121,28038,1.2342929223206205,0.7223760226526067,0.00022422292891248065,8.103962894342819e-05,4.235923282093341e-06,4.235923282093341e-06
1122,28063,1.3946055819652556,0.9528521907997558,0.00017761198790246604,4.550311026491207e-05,2.292613712621628e-06,2.292613712621628e-06
1123,28088,1.4852976152314867,1.0828428823974852,0.0001516840973963373,2.5834530870170005e-05,1.2824592717191828e-06,1.2824592717191828e-06
1124,28113,1.2264306875896882,0.7308064514471784,0.0002242478375319397,8.080714095826938e-05,4.200371521703742e-06,4.200371521703742e-06
1125,28138,1.1634917925898196,0.6146666794874942,0.00024577774632650735,9.7617763782598e-05,5.198157768326315e-06,5.198157768326315e-06
1126,28163,1.5328893490552178,1.1539602561247866,0.00013785636357854585,1.5333481641848065e-05,7.594445433866068e-07,7.594445433866068e-07
1127,28188,1.3403099105950753,0.8850266753007687,0.00019211409113192773,5.640263399540245e-05,2.8610777158072145e-06,2.8610777158072145e-06
1128,28213,1.392463663488767,0.9462488805095118,0.0001786367334795231,4.632886796901442e-05,2.3402003865748774e-06,2.3402003865748774e-06
1129,28238,1.206912480111603,0.7186832405803154,0.0002281444120201821,8.358615614356482e-05,4.340149574067122e-06,4.340149574067122e-06
1130,28263,1.4600521080373885,1.0441740685013892,0.00015916032719300862,3.153242097334044e-05,1.5731346730812103e-06,1.5731346730812103e-06
1131,28288,1.3984824588944282,0.999997678238032,0.00017168428169413445,4.0445145140760314e-05,1.9783168280262257e-06,1.9783168280262257e-06
1132,28313,1.5244058750338558,1.1399114112796087,0.00014047424258579978,1.733849924332443e-05,8.598676873908627e-07,8.598676873908627e-07
1133,28338,1.1444781939084394,0.5874987138983138,0.00025139253410297324,0.00010192151100410184,5.450967420944127e-06,5.450967420944127e-06
1134,28363,1.2715029295888007,0.7697992592175694,0.00021402740432211216,7.332665454433488e-05,3.808594114943726e-06,3.808594114943726e-06
1135,28388,1.2113789047260284,0.7439808671208338,0.00022464469902619573,8.066829909423874e-05,4.152142727906817e-06,4.152142727906817e-06
1136,28413,1.5687591405979242,1.2134461738859286,0.00012680528124346476,6.874923117050196e-06,3.411858975810445e-07,3.411858975810445e-07
1137,28438,1.4815302154040861,1.0771667312530324,0.00015278744642902112,2.667386442876851e-05,1.3249165493676534e-06,1.3249165493676534e-06
1138,28463,1.3883185719526572,0.9441346841442039,0.00017938595917660474,4.684742347959469e-05,2.3630441580799984e-06,2.3630441580799984e-06
1139,28488,1.3867262878564777,0.937297548974789,0.00018037126050371238,4.7656878851822865e-05,2.4110898733167044e-06,2.4110898733167044e-06
1140,28513,1.2907447993339507,0.8425150371348192,0.00020319616490692373,6.447696772849467e-05,3.2666422218119026e-06,3.2666422218119026e-06
1141,28538,1.3574829669450137,0.8997970654396092,0.00018828956401539484,5.362080897030691e-05,2.723116937202556e-06,2.723116937202556e-06
1142,28563,1.491602932996066,1.0901974566202974,0.00015008687932885822,2.4648120327541007e-05,1.2251095885481773e-06,1.2251095885481773e-06
1143,28588,1.3910495498807345,0.9534829447810794,0.00017797151177851103,4.570013889156868e-05,2.296234476940362e-06,2.296234476940362e-06
1144,28613,1.4257217275605583,0.9964993803612302,0.00016879423661471922,3.881912146862758e-05,1.945106434080845e-06,1.945106434080845e-06
1145,28638,1.3567372483090556,0.9026232141651475,0.00018805409165793352,5.339026561303374e-05,2.706244249011935e-06,2.706244249011935e-06
1146,28663,1.196151363840483,0.6604533758952189,0.00023626435493610224,9.034360495170602e-05,4.776422534526493e-06,4.776422534526493e-06
1147,28688,1.33541916914831,0.8988927028964617,0.00019111343187702622,5.5366697040714886e-05,2.7807382100275237e-06,2.7807382100275237e-06
1148,28713,1.3749110926333596,0.921709331337792,0.000183617486534159,5.010715270220865e-05,2.5393061718294896e-06,2.5393061718294896e-06
1149,28738,1.3114037222038637,0.8478093166394851,0.00020000479515814196,6.235933538019042e-05,3.1792465289589677e-06,3.1792465289589677e-06
1150,28763,1.2438635678708638,0.7328691414807708,0.0002217932563578238,7.922380497143243e-05,4.136772349401463e-06,4.136772349401463e-06
1151,28788,1.1074731965588052,0.5764246227972146,0.00025751813163457193,0.00010610075859888556,5.651477541488103e-06,5.651477541488103e-06
1152,28813,1.5297935420885391,1.1490395368481443,0.00013878755159987474,1.604400592396455e-05,7.947451402739635e-07,7.947451402739635e-07
1153,28838,1.2965567679067662,0.814877962649323,0.00020566796385990447,6.682911300266657e-05,3.4378134087785786e-06,3.4378134087785786e-06
1154,28863,1.340911718209743,0.9239613261874227,0.0001875334755206114,5.241480563861312e-05,2.6018409156971285e-06,2.6018409156971285e-06
1155,28888,0.767418716007696,0.27333835636309783,0.0003393360107353783,0.000167117836155614,9.245014470539047e-06,9.245014470539047e-06
1156,28913,1.5862688215746308,1.2481102820106373,0.00012077577637127582,2.1924118029658003e-06,1.069945071426273e-07,1.069945071426273e-07
1157,28938,0.9635610646926921,0.45780257181486966,0.00029053733896154286,0.0001304566527926717,7.028134422701837e-06,7.028134422701837e-06
1158,28963,1.2420387278048566,0.7361167088510588,0.00022164883626063178,7.90383330389971e-05,4.1196821692676155e-06,4.1196821692676155e-06
1159,28988,1.3101664853934065,0.8744258118186794,0.00019707819456923675,5.975840580954762e-05,3.0041979436032973e-06,3.0041979436032973e-06
1160,29013,1.1968073537193245,0.6675385740597307,0.00023536004708955366,8.957354557879142e-05,4.725151511230124e-06,4.725151511230124e-06
1161,29038,1.126926208198287,0.617536195006839,0.00025020756295275306,0.00010032433019719052,5.294518145701001e-06,5.294518145701001e-06
1162,29063,1.1774234394777872,0.6985937443082341,0.00023426186084893008,8.798946892990249e-05,4.566519777767648e-06,4.566519777767648e-06
1163,29088,1.2247943534897576,0.7456457903746387,0.00022273885296175612,7.943404188942224e-05,4.102783809325226e-06,4.102783809325226e-06
1164,29113,1.505622365550781,1.126321623057298,0.00014425212257965697,2.0013044507777333e-05,9.751234426223116e-07,9.751234426223116e-07
1165,29138,1.457026819852367,1.039860874797755,0.00016002060902901396,3.218423905260967e-05,1.606275037157224e-06,1.606275037157224e-06
1166,29163,1.5405235592526305,1.1684773042664947,0.00013528572326091407,1.3341493126827614e-05,6.580591196314378e-07,6.580591196314378e-07
1167,29189,1.0091052344108826,0.5111069628862547,0.00027818538606380925,0.00012107464370490531,6.465264810949202e-06,6.465264810949202e-06
1168,29214,1.5271270339630976,1.161123537273243,0.0001377007157029897,1.5003440260959882e-05,7.241722408414716e-07,7.241722408414716e-07
1169,29239,1.4815606314217766,1.0755495743590804,0.00015297101149632566,2.68354823931315e-05,1.3350432939275186e-06,1.3350432939275186e-06
1170,29264,1.1566017919593288,0.6049217637323483,0.00024779936522027215,9.91657458889895e-05,5.288747581971251e-06,5.288747581971251e-06
1171,29289,1.083620822136362,0.6117825986639838,0.0002565731987441657,0.00010451657097606629,5.475730133612566e-06,5.475730133612566e-06
