probe_id,trace_c_squared,quartic_prediction,quartic_residual,directional_c_squared,sextic_prediction,sextic_residual,f_transpose_c_f,s4,f_transpose_c_f_residual
69,1.7299483694606856,1.7299483694606854,2.220446049250313e-16,0.7323594508316635,0.7323594508316635,0.0,0.8292995387985092,0.8292995387985093,1.1102230246251565e-16
70,2.1272190741706356,2.127219074170635,4.440892098500626e-16,1.210531447913037,1.2105314479130367,2.220446049250313e-16,1.0893312727904758,1.0893312727904765,6.661338147750939e-16
71,2.095003815689767,2.0950038156897657,1.3322676295501878e-15,1.2405441231870848,1.2405441231870844,4.440892098500626e-16,1.0682449217848162,1.0682449217848164,2.220446049250313e-16
72,2.7634659299552524,2.7634659299552533,8.881784197001252e-16,2.2993822190476165,2.299382219047618,1.3322676295501878e-15,1.5057837602131354,1.5057837602131356,2.220446049250313e-16
73,2.601996654074205,2.601996654074206,8.881784197001252e-16,2.02136862046859,2.02136862046859,0.0,1.40009477963645,1.40009477963645,0.0
74,2.2705652868345028,2.2705652868345028,0.0,1.505612896006719,1.5056128960067192,2.220446049250313e-16,1.1831578847159172,1.1831578847159172,0.0
75,2.7298429924882903,2.729842992488291,8.881784197001252e-16,2.2364090109214105,2.2364090109214128,2.220446049250313e-15,1.4837760193256702,1.4837760193256697,4.440892098500626e-16
76,2.1232026558989294,2.1232026558989276,1.7763568394002505e-15,1.2721995902433125,1.2721995902433125,0.0,1.0867023444671773,1.086702344467177,2.220446049250313e-16
77,2.593463904396364,2.593463904396364,0.0,2.009535268476659,2.0095352684766583,8.881784197001252e-16,1.3945097071200443,1.394509707120044,2.220446049250313e-16
78,1.9096064827335362,1.9096064827335357,4.440892098500626e-16,0.9463994004482751,0.9463994004482746,4.440892098500626e-16,0.9468939402134655,0.9468939402134656,1.1102230246251565e-16
79,2.4771170443874904,2.4771170443874895,8.881784197001252e-16,1.8063704983331736,1.8063704983331732,4.440892098500626e-16,1.3183553987505992,1.3183553987505992,0.0
80,2.051991121758155,2.0519911217581535,1.3322676295501878e-15,1.082656304981374,1.082656304981374,0.0,1.0400911584841248,1.0400911584841248,0.0
81,2.6609090578747634,2.660909057874764,4.440892098500626e-16,2.1189419572402994,2.1189419572403,4.440892098500626e-16,1.4386556257604517,1.4386556257604517,0.0
82,2.607040813691832,2.607040813691832,0.0,2.0494286245193476,2.0494286245193476,0.0,1.4033964113861692,1.403396411386169,2.220446049250313e-16
83,2.7736439960535235,2.7736439960535226,8.881784197001252e-16,2.3142405602310725,2.314240560231072,4.440892098500626e-16,1.5124457671138214,1.512445767113821,4.440892098500626e-16
84,2.8145051182418297,2.8145051182418297,0.0,2.3830150216600003,2.383015021660001,4.440892098500626e-16,1.5391912289098038,1.5391912289098038,0.0
85,2.7951176961650175,2.7951176961650175,0.0,2.37291497018077,2.372914970180771,8.881784197001252e-16,1.5265012799140718,1.5265012799140723,4.440892098500626e-16
86,2.6575355282917763,2.6575355282917767,4.440892098500626e-16,2.1158484524552748,2.1158484524552748,0.0,1.4364474973061323,1.4364474973061327,4.440892098500626e-16
