line_id,group_orbit_id,stabilizer_order,s4,s4_rational,s6,s6_rational,s8,s8_rational,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,operator_norm,one_third_gap,singular_value_0,singular_value_1,singular_value_2,singular_value_3,singular_value_4,singular_value_5,residual_norm,f0,f1,f2,f3
10,2,96,0.729166666666667,35/48,0.23871527777777796,275/1152,0.08373119212962973,2315/27648,0.5902777777777773,0.590277777777778,0.5902777777777781,0.7291666666666665,0.20412414523193134,0.12920918810140197,0.20412414523193134,0.20412414523193131,0.2041241452319313,0.2041241452319312,0.20412414523193115,0.20412414523193112,8.617648093045562e-16,-0.08714485551127041,0.4491021590075083,-0.40824829046386296,0.789966048805927
11,0,32,1.5625000000000004,25/16,1.193576388888889,1375/1152,0.9720413773148151,26875/27648,0.17361111111111097,0.1736111111111113,0.5902777777777775,1.5624999999999993,0.3302798049097851,0.003053528423548224,0.3302798049097851,0.33027980490978504,0.12615565967785342,0.1261556596778534,1.248227570523241e-16,6.25636707274465e-17,7.531177654404661e-16,-0.06942474824732016,0.7093591396508162,0.4564354645876402,0.5325941062303591
12,0,32,1.5624999999999991,25/16,1.1935763888888886,1375/1152,0.9720413773148141,26875/27648,0.17361111111111072,0.1736111111111112,0.5902777777777777,1.5624999999999996,0.33027980490978526,0.0030535284235480575,0.33027980490978526,0.3302798049097852,0.12615565967785364,0.12615565967785355,2.7647056945410966e-16,2.5741743866976414e-16,5.4672143489065705e-16,0.751163506256029,0.12529535398545497,0.4564354645876398,-0.46013164182163496
13,0,32,1.5625,25/16,1.193576388888889,1375/1152,0.9720413773148153,26875/27648,0.17361111111110974,0.1736111111111125,0.5902777777777782,1.5624999999999996,0.33027980490978576,0.003053528423547558,0.33027980490978576,0.33027980490978576,0.12615565967785367,0.12615565967785364,6.329337865312045e-16,5.968989580303811e-16,6.530440769261223e-16,0.7207111221712288,0.6338099023597338,9.94484072990179e-16,-0.2808210926006681
14,2,96,0.729166666666667,35/48,0.23871527777777793,275/1152,0.08373119212962969,2315/27648,0.5902777777777776,0.5902777777777778,0.5902777777777786,0.7291666666666671,0.20412414523193212,0.1292091881014012,0.20412414523193212,0.2041241452319318,0.2041241452319318,0.20412414523193173,0.20412414523193145,0.20412414523193134,9.396246243876959e-16,0.019051254620723636,0.6879709387049788,0.6123724356957975,-0.3890154716650266
15,0,32,1.5625000000000009,25/16,1.1935763888888897,1375/1152,0.9720413773148158,26875/27648,0.1736111111111104,0.17361111111111208,0.5902777777777777,1.5625000000000009,0.3302798049097851,0.003053528423548224,0.3302798049097851,0.3302798049097851,0.12615565967785344,0.12615565967785336,4.734699558312513e-16,4.461783248519826e-16,5.743794908190346e-16,-0.03897236416252045,0.20084459127653892,0.9128709291752761,0.3532835570093969
16,0,32,1.5625000000000004,25/16,1.1935763888888897,1375/1152,0.9720413773148157,26875/27648,0.17361111111111038,0.17361111111111183,0.5902777777777778,1.5625,0.33027980490978504,0.0030535284235482796,0.33027980490978504,0.3302798049097849,0.12615565967785347,0.1261556596778534,6.491297069937483e-16,6.263340911319722e-16,2.661296653564706e-16,-0.42733408740711437,-0.32330802136279124,-2.894694292519563e-15,0.8443088896028548
17,0,32,1.5625000000000009,25/16,1.1935763888888897,1375/1152,0.9720413773148155,26875/27648,0.17361111111111097,0.17361111111111138,0.5902777777777781,1.5625000000000002,0.33027980490978454,0.003053528423548779,0.33027980490978454,0.3302798049097845,0.12615565967785328,0.12615565967785325,2.056147509149993e-16,1.6377163623246897e-16,8.920730087951354e-16,0.7341235461005908,-0.4900445602100163,0.4564354645876379,-0.1121856262447767
18,0,32,1.5625000000000013,25/16,1.1935763888888904,1375/1152,0.9720413773148167,26875/27648,0.17361111111111063,0.1736111111111116,0.5902777777777775,1.5625000000000007,0.3302798049097853,0.003053528423548002,0.3302798049097853,0.3302798049097852,0.1261556596778536,0.12615565967785355,4.1078595653698864e-16,3.3654641063770576e-16,9.238896857051836e-16,0.6732187779309907,0.5269845365385395,-0.45643546458763595,0.24643547219715184
19,0,32,1.5625000000000022,25/16,1.1935763888888915,1375/1152,0.9720413773148175,26875/27648,0.17361111111111116,0.17361111111111144,0.590277777777778,1.5625000000000016,0.33027980490978465,0.003053528423548668,0.33027980490978465,0.3302798049097845,0.12615565967785342,0.12615565967785336,1.7952574026140776e-16,1.407800019673992e-16,1.2441048548802037e-15,0.6866312018603515,-0.5968699260312103,-1.2624206572760055e-15,0.41507093855304666
