row,column,row_monomial,column_monomial,projector_entry,best_rational_entry
36,26,f1^4*f2,f0*f1*f2^3,0.0023747156906801666,0.002374715753720388
36,27,f1^4*f2,f0*f1*f2^2*f3,-0.0014067270863193065,-0.0014067271292473437
36,28,f1^4*f2,f0*f1*f2*f3^2,0.00014269247723733289,0.00014269249766752647
36,29,f1^4*f2,f0*f1*f3^3,-6.811792115981455e-05,-6.811803493092831e-05
36,30,f1^4*f2,f0*f2^4,-0.01112609770935118,-0.011126099171374382
36,31,f1^4*f2,f0*f2^3*f3,0.0013026927014529398,0.0013026926530663868
36,32,f1^4*f2,f0*f2^2*f3^2,0.0021370188340456325,0.0021370187808073876
36,33,f1^4*f2,f0*f2*f3^3,-0.0022554732450968777,-0.002255473009893853
36,34,f1^4*f2,f0*f3^4,-0.010442277213343388,-0.01044227703779753
36,35,f1^4*f2,f1^5,0.08781770244444151,0.08781770200981327
36,36,f1^4*f2,f1^4*f2,0.1586081297632455,0.15860812969293467
37,0,f1^4*f3,f0^5,0.02067135760332943,0.020671357711385396
37,1,f1^4*f3,f0^4*f1,-0.13079589564909544,-0.13079589572934
37,2,f1^4*f3,f0^4*f2,0.0037744924948563885,0.003774492571280552
37,3,f1^4*f3,f0^4*f3,0.017714319423156658,0.017714319568694827
37,4,f1^4*f3,f0^3*f1^2,0.035327648438699684,0.035327648424391477
37,5,f1^4*f3,f0^3*f1*f2,-0.007755251433961656,-0.007755251587689301
37,6,f1^4*f3,f0^3*f1*f3,-0.009689496631438584,-0.009689495705791676
37,7,f1^4*f3,f0^3*f2^2,-0.009758980547164196,-0.009758980568529089
37,8,f1^4*f3,f0^3*f2*f3,0.007515671952779132,0.0075156720811831125
37,9,f1^4*f3,f0^3*f3^2,-0.005696896735690023,-0.005696896783553306
37,10,f1^4*f3,f0^2*f1^3,-0.17506902114630318,-0.17506902120122936
37,11,f1^4*f3,f0^2*f1^2*f2,0.03775965692470375,0.03775965700175027
37,12,f1^4*f3,f0^2*f1^2*f3,0.00472229865184649,0.004722298769947641
37,13,f1^4*f3,f0^2*f1*f2^2,-0.0021156756685837903,-0.002115675615087149
37,14,f1^4*f3,f0^2*f1*f2*f3,-0.003047924340493892,-0.0030479241867867805
37,15,f1^4*f3,f0^2*f1*f3^2,-0.0010950243872331234,-0.001095025006580679
37,16,f1^4*f3,f0^2*f2^3,-0.024129818186301055,-0.024129818423116366
37,17,f1^4*f3,f0^2*f2^2*f3,0.011994766757660631,0.011994766761991873
37,18,f1^4*f3,f0^2*f2*f3^2,-0.0057396394265812915,-0.005739639384499198
37,19,f1^4*f3,f0^2*f3^3,0.0046703539206605325,0.004670354010302624
37,20,f1^4*f3,f0*f1^4,-0.0006725056457672492,-0.0006725057243046771
37,21,f1^4*f3,f0*f1^3*f2,-0.013117898430308472,-0.013117898535411824
37,22,f1^4*f3,f0*f1^3*f3,-0.02568298620165891,-0.025682986205031105
37,23,f1^4*f3,f0*f1^2*f2^2,0.0005081036419225492,0.0005081036010214185
37,24,f1^4*f3,f0*f1^2*f2*f3,0.0023540699358613865,0.0023540699750089255
37,25,f1^4*f3,f0*f1^2*f3^2,-0.005278955227529736,-0.0052789552671072375
37,26,f1^4*f3,f0*f1*f2^3,0.0012670375378642268,0.0012670373468483985
37,27,f1^4*f3,f0*f1*f2^2*f3,-0.001223727076955388,-0.0012237270757883944
37,28,f1^4*f3,f0*f1*f2*f3^2,-0.0015704971079481757,-0.0015704970903736941
37,29,f1^4*f3,f0*f1*f3^3,0.0016374972991944974,0.001637497380004192
37,30,f1^4*f3,f0*f2^4,-0.009424246717819966,-0.009424246778751736
37,31,f1^4*f3,f0*f2^3*f3,0.002440450498264557,0.002440450466481938
37,32,f1^4*f3,f0*f2^2*f3^2,-0.00034723118250276803,-0.0003472311530646364
37,33,f1^4*f3,f0*f2*f3^3,0.0005418681636309365,0.0005418683621125641
37,34,f1^4*f3,f0*f3^4,-0.004324120375008273,-0.004324121075390111
37,35,f1^4*f3,f1^5,0.25526454816535726,0.2552645482677938
37,36,f1^4*f3,f1^4*f2,0.1399685074940936,0.13996850756586526
37,37,f1^4*f3,f1^4*f3,0.1736165384682068,0.17361653851002143
38,0,f1^3*f2^2,f0^5,-0.00027579353883579877,-0.0002757935960726992
38,1,f1^3*f2^2,f0^4*f1,0.011320733533250027,0.011320716911948867
38,2,f1^3*f2^2,f0^4*f2,-0.0031904500546731922,-0.0031904500213714355
38,3,f1^3*f2^2,f0^4*f3,0.0033528351933055102,0.003352835283528353
38,4,f1^3*f2^2,f0^3*f1^2,-0.0008703074265315775,-0.0008703074528443991
38,5,f1^3*f2^2,f0^3*f1*f2,-0.0005191523736916107,-0.0005191525185912726
38,6,f1^3*f2^2,f0^3*f1*f3,0.0016502913139015089,0.0016502912600137706
38,7,f1^3*f2^2,f0^3*f2^2,0.0024481825333091925,0.0024481824308526003
38,8,f1^3*f2^2,f0^3*f2*f3,-0.0015225963100907998,-0.0015225959721397334
38,9,f1^3*f2^2,f0^3*f3^2,0.0009500017143401843,0.0009500017592625171
38,10,f1^3*f2^2,f0^2*f1^3,0.017574970606989232,0.017574970708382154
38,11,f1^3*f2^2,f0^2*f1^2*f2,-0.004289519538664816,-0.004289519504629683
38,12,f1^3*f2^2,f0^2*f1^2*f3,0.0014411428743496878,0.0014411427113888535
38,13,f1^3*f2^2,f0^2*f1*f2^2,0.0008863042779261711,0.0008863042666998383
38,14,f1^3*f2^2,f0^2*f1*f2*f3,0.0007203164519977267,0.0007203164669067722
38,15,f1^3*f2^2,f0^2*f1*f3^2,-0.0017010820910267912,-0.0017010820772102254
38,16,f1^3*f2^2,f0^2*f2^3,0.0006740570083606751,0.0006740570978212401
38,17,f1^3*f2^2,f0^2*f2^2*f3,0.0005602540252082905,0.000560253981805085
38,18,f1^3*f2^2,f0^2*f2*f3^2,-0.0007606920996042926,-0.0007606922299292356
38,19,f1^3*f2^2,f0^2*f3^3,0.0038427257335827848,0.0038427258514633043
38,20,f1^3*f2^2,f0*f1^4,0.0006791240842381603,0.000679124135660191
38,21,f1^3*f2^2,f0*f1^3*f2,-0.0008247967397098557,-0.0008247966876165025
38,22,f1^3*f2^2,f0*f1^3*f3,0.001112405303812621,0.0011124052819620211
38,23,f1^3*f2^2,f0*f1^2*f2^2,-0.0008404632702494736,-0.0008404632633507589
38,24,f1^3*f2^2,f0*f1^2*f2*f3,-0.0015195044391238123,-0.0015195045648981676
38,25,f1^3*f2^2,f0*f1^2*f3^2,-0.0005828207826697659,-0.0005828208529281724
38,26,f1^3*f2^2,f0*f1*f2^3,-0.0026477043877561604,-0.0026477040623345185
38,27,f1^3*f2^2,f0*f1*f2^2*f3,-0.0014459819252774081,-0.0014459822350753977
38,28,f1^3*f2^2,f0*f1*f2*f3^2,-0.001948490236490422,-0.0019484901922365184
38,29,f1^3*f2^2,f0*f1*f3^3,-0.002905880852120847,-0.0029058808745916057
38,30,f1^3*f2^2,f0*f2^4,-0.0007441303829039546,-0.0007441302561140852
38,31,f1^3*f2^2,f0*f2^3*f3,-0.004652712434327776,-0.004652712495686424
38,32,f1^3*f2^2,f0*f2^2*f3^2,-0.0024751074770087284,-0.0024751074903824393
38,33,f1^3*f2^2,f0*f2*f3^3,-0.0032988846759459517,-0.003298884801774975
38,34,f1^3*f2^2,f0*f3^4,0.0017157478522727002,0.001715747903385644
38,35,f1^3*f2^2,f1^5,0.028392993417021308,0.028392993520731196
38,36,f1^3*f2^2,f1^4*f2,-0.0022498351790186852,-0.0022498351413905017
38,37,f1^3*f2^2,f1^4*f3,0.004409265154008087,0.004409265399745665
