face_id,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25,pair_26,pair_27,pair_28,pair_29,pair_30,pair_31,pair_32,pair_33,pair_34,pair_35
10,-0.0057061613211332974,0.009910783998242894,0.0089783899205659653,0.0013887757121075085,0.0098255279957252233,0.00021379426729876961,0.0005414627012308383,-0.0035712290388618486,-0.0045879191377391024,-0.0016859170196996522,0.0063592820522086072,-0.0082938556550437095,-0.014288545406363467,0.023061057947230991,-0.016035440145939085,0.00352272650846535,-0.0093148695773900333,-0.00080737669426897841,0.029827663359261507,-0.015466215135050275,-0.0017395556362827351,0.0035858830581701915,0.0010914063949825923,-0.00033691389967345498,0.011931157184332058,-0.008565299773897108,-0.018675590958215263,0.024402497846204706,-0.01587532536555572,-0.005786599261800615,0.0077835383632832537,-0.0053190418386796319,0.022412585609362792,-0.013772146754208923,0.0053683929662415005,-0.0070514458408947878
11,0.019122144014239069,0.00070054812576974125,0.00099963603269552677,-0.0013740896793306427,0.009223565297692457,0.026497737967891843,0.014653008033749094,0.019848544543975631,-0.020468719828842203,-0.017739912935536107,-0.012030692254077211,-0.0037310111580156546,0.0015844718500269718,0.00028739942697309211,-0.01242975184918764,0.0010293818010757656,-0.0024530898926028014,0.0076525424938916724,0.023823105871755935,0.0046527222662192166,-0.0064558348369237002,0.0058538359645936254,0.0013873343278227241,0.011685513505126826,0.0071573084819499741,0.0051562877341487573,-0.0029340353140470945,0.0041692921965324689,0.014200576732139541,0.0088134627120076258,-0.0039114686282151296,-0.00039424445395961662,0.016360214630918246,0.016925959506668756,0.0076944563809897377,0.017449099839964455
12,-0.016320710632605581,0.011787893923984542,0.01075492611333859,0.016650053876027242,-0.0090233449825981409,-0.030990113750865085,-0.013741577492878965,-0.0071128702552539459,0.011242521895032085,0.017213599807614756,-0.0027713837242188582,0.013113242408981872,-0.0035507978710687953,0.011876902599968573,0.0018377509412018239,-0.0066195637085279266,0.01087821540279682,-0.021411013225632679,-0.00067018647662167032,-0.0061058546142024493,0.0029370772070511889,-0.0063409675519284807,0.00076467016363193727,-0.012054579413617978,-0.0094999104472523032,-0.0050118518228368832,-0.0071823571239182094,0.0072230187951325079,-0.00083763215628806587,0.0029913022762600885,0.0051218084261836043,0.0097373848243697946,-0.0060962211807422525,-0.029600788390546494,0.0013737222223843579,-0.0065604062000325968
13,0.0085075947027667999,0.002577658051511418,0.0027761722254681419,0.013887188484589098,-0.0096253076806308742,-0.0047061700502719966,0.00036996783963932152,0.016306903327583569,-0.0046382787960710069,0.0011596038917782952,-0.021161358030504687,0.01767608690600992,0.012322219385321626,-0.010896755920289268,0.0054434392379532738,-0.009112908415917503,0.017739995087584025,-0.012951094037472025,-0.0066747439641272046,0.014013082787067008,-0.0017792019935897727,-0.0040730146455050685,0.0010605980964720385,-3.2152008817674157e-05,-0.014273759149634373,0.0087097356852089813,0.008559198520249927,-0.01301018685453967,0.029238269941407203,0.017591364250068329,-0.0065731985653147565,0.014662182209089837,-0.01214859215918675,0.0010973178703311728,0.0036997856371326116,0.01794013948082664
14,-0.0099175018602524773,-0.0085285720955627746,0.0025166912583655396,-0.01006278540356759,-0.0060079246273259165,-0.010496327251946694,-0.01412933342351011,-0.029535730708788031,0.0089850138079155296,0.0076283827895852457,0.021584575004721978,-0.0079328013913101472,-0.0077430889153376203,-0.0040418622529372165,-0.0054822923741349875,0.0041748553533286223,-0.0040207034787320458,0.0030102707865981393,-0.008212928936698791,-0.0038303746571452368,0.0017564414416143801,0.0081059375211788905,0.0083084007478589576,-0.011200927799741339,0.0058471166270932292,-0.0086112236808615159,0.00080229795853645355,-0.006630248819616596,-0.031990533230472781,-0.015699734335810112,-0.00054213920786182765,-0.018937780566575319,-0.0083698727566545884,-0.0072051192977564205,-0.0089349012755512661,-0.018903314484417965
15,-0.012006075535619979,-0.0046604180799613079,-0.015270889437095142,-0.0038390891137983882,-0.0034158609854609157,-0.011509034932971892,-0.001435105151109163,-0.0030484881239093392,0.020709903954736729,0.010637843273872186,0.005248193227651311,0.0022815812983595913,0.0081249430863524867,-0.0084098392009776396,0.028504045131308376,0.00038594475304775945,-0.0019513321388591218,0.0030956574512511878,-0.038763096330191406,0.00063078473890932068,0.0082181510251818097,-0.013472641898437587,-0.011847739567136263,-0.00011551979689437407,-0.010661823143740872,0.003310500035400885,0.01224812979347599,-0.0089313543685809616,0.0044270119224817201,-0.0049184933644652248,0.0032432680381084228,0.009988884650124678,-0.018254335324439715,0.002953988674965431,-0.0078277337088125884,-0.0094344789954783209
16,0.019122144014239031,0.00070054812576976228,0.00099963603269549858,-0.0013740896793306419,0.0092235652976924865,0.026497737967891843,0.014653008033749127,0.019848544543975666,-0.020468719828842179,-0.017739912935536097,-0.012030692254077211,-0.0037310111580156641,0.0015844718500269701,0.00028739942697313201,-0.012429751849187595,0.0010293818010757747,-0.0024530898926028296,0.0076525424938916889,0.023823105871755922,0.0046527222662191888,-0.0064558348369236872,0.0058538359645935872,0.0013873343278226779,0.011685513505126852,0.0071573084819499758,0.0051562877341487607,-0.002934035314047111,0.0041692921965325166,0.014200576732139567,0.0088134627120076241,-0.003911468628215101,-0.00039424445395957585,0.01636021463091827,0.016925959506668763,0.0076944563809897455,0.017449099839964441
17,-0.0099175018602526074,-0.008528572095562752,0.0025166912583654746,-0.010062785403567585,-0.0060079246273258887,-0.010496327251946736,-0.014129333423510082,-0.029535730708788004,0.0089850138079156164,0.0076283827895852856,0.021584575004721981,-0.0079328013913101472,-0.0077430889153375995,-0.0040418622529371801,-0.00548229237413486,0.0041748553533286284,-0.0040207034787320814,0.0030102707865981514,-0.0082129289366988951,-0.0038303746571452736,0.0017564414416144179,0.008105937521178809,0.0083084007478588743,-0.011200927799741314,0.0058471166270931971,-0.0086112236808615038,0.00080229795853646135,-0.0066302488196165526,-0.031990533230472726,-0.015699734335810123,-0.00054213920786178147,-0.018937780566575236,-0.0083698727566546005,-0.0072051192977564222,-0.0089349012755512731,-0.018903314484418
18,-0.0077947349965007866,0.013778938013844383,-0.0088091907748946655,0.0076124720018767361,0.012417591637590219,-0.00079891341372644053,0.013235690973631765,0.022916013546016831,0.0071369710090820656,0.0013235434645872822,-0.0099770997248620728,0.0019205270346260414,0.0015794865953266124,0.018693080999190592,0.017950897359504194,-0.00026618409181552039,-0.0072454982375170819,-0.00072199002961596728,-0.0007225040342310131,-0.011005055738995727,0.0047221539472846784,-0.017992696361446257,-0.019064733920012587,0.01074849410317349,-0.0045777825865020274,0.0033564239423652712,-0.0072297591232757591,0.022101392297240369,0.020542219787398754,0.004994641709544282,0.011568945609253499,0.023607623378020349,0.012528123041577698,-0.0036130387814871179,0.0064755605329801982,0.0024173896480448728
19,0.010596168378134253,-0.0012904959640900816,0.020563752920928807,0.007663492194819866,-0.012217371322495873,-0.0036934623692467649,-0.012324260432761615,-0.010180339257295124,-0.016363168942892213,-0.0018498565925086617,-0.0048249762534340089,0.0074617042163401676,-0.0035458126163684625,-0.006528778972248888,-0.028542898267490076,-0.0053239978156366342,0.015670623747711089,-0.013036480702125042,0.023875423429365376,0.0095519233910124693,-0.0082409115771572023,0.017505564774111415,0.021216738411467252,-0.011117560011664624,0.0022351806211997282,-0.0032119880310534045,-0.0028866333146895795,-0.01070908130557534,-0.0071792752115472855,0.0068101232787234406,-0.01035860581128502,-0.014264483007610174,-0.0022641295914016405,-0.0090617901023906256,0.0025926180703939208,0.0084713039918870008
