start_id,residual_norm,residual_energy,axis_distance,nearest_axis_id,valid_exclusion,objective,success,iteration_count,f0,f1,f2,f3
173,3.3450938666784586e-16,1.1189652976889842e-31,0.842024673785866,4,True,1.118965297688984e-31,True,376,-0.06716431733343725,-0.1510738811497991,-0.6454972243679041,0.7456533847873295
174,0.014987108905621906,0.00022461343334897145,0.04996220279872299,8,False,0.000224756296191409,True,343,-0.01134180175818927,0.9368391885321222,0.14784464679537404,0.31677382905995266
175,3.1923555188144903e-13,1.0191133758505334e-25,0.8420246737857249,6,True,1.0191133758505335e-25,True,224,0.4148977814519075,0.4391159712482812,-1.5734128004795263e-13,0.7968920847523607
176,1.2096928168048642e-13,1.4633567110292867e-26,0.842024673785779,8,True,1.463356711029287e-26,True,219,0.02409814275406623,0.8702220521247693,9.511647343740371e-14,-0.4920699742024095
177,1.9462319290372302e-14,3.787818721603978e-28,0.41744238123293376,0,True,3.7878187216039778e-28,True,233,0.7207111221712214,0.6338099023597265,6.419788575546777e-15,-0.2808210926007033
178,1.1364346403346828e-14,1.2914836917526198e-28,0.8420246737858612,4,True,1.2914836917526198e-28,True,281,0.41489778145221046,0.4391159712482281,-9.149979645452895e-15,0.7968920847522324
179,2.4185515010640885e-13,5.849391363299355e-26,0.4174423812328191,1,True,5.849391363299356e-26,True,229,0.7511635062559009,0.12529535398529448,0.4564354645877726,-0.46013164182175664
180,6.38887433655556e-12,4.081771528829825e-23,0.8420246737807389,1,True,4.081771528829825e-23,True,246,-0.04306617458464067,0.7191481709732865,-0.645497224367957,0.2535834105884791
181,8.696535808282004e-16,7.562973506473113e-31,0.4174423812329606,8,True,7.562973506473112e-31,True,262,0.31041699491955155,0.9258417951924137,3.4013103032577916e-15,0.21554178142532776
182,1.0487051360981926e-13,1.0997824624787286e-26,0.8420246737857988,3,True,1.0997824624787287e-26,True,235,0.48206209878573053,0.5901898523980234,0.645497224367848,0.05123869996496951
183,2.94320694434468e-13,8.66246711723875e-26,0.8804857344716419,1,True,8.662467117238749e-26,True,202,0.7431558482812708,0.2452011540432408,0.40824829046391226,0.47003096978231196
184,2.899107490316027e-14,8.404824240406493e-28,0.8420246737858457,1,True,8.404824240406493e-28,True,240,0.482062098785664,0.5901898523980079,0.6454972243679167,0.05123869996490765
185,9.470957269561978e-15,8.969903160186888e-29,0.4174423812329569,9,True,8.969903160186888e-29,True,226,0.3713217630891478,-0.09118730155614962,0.9128709291752796,-0.14307931701659932
186,1.96056768435377e-16,3.843825644932304e-32,0.8420246737858657,3,True,3.843825644932304e-32,True,293,0.9951413007735664,0.02612050775876926,6.544501184261706e-16,0.09492897644617404
187,1.5845084651229494e-13,2.510667076046285e-26,0.8420246737857298,2,True,2.5106670760462847e-26,True,201,-0.5802435193214445,0.41299546348952604,-5.841219091525442e-15,0.7019631083059396
188,0.014987108931812378,0.00022461343413401037,0.04996220290257182,5,False,0.0002247562961914099,True,282,0.6084651962638733,-0.3937160712350445,-0.14784464965326896,0.6729782461236838
