axis_id,tangent_first,tangent_second,matrix_00,matrix_01,matrix_10,matrix_11,frobenius_norm
4,1,2,-0.015982073669256656,4.7042331773308707e-17,4.7042331773308707e-17,-0.015982073669256632,0.02260206533790868
4,2,0,0.016914962810570595,2.5984293369339863e-17,2.5984293369339863e-17,0.016914962810570717,0.023921369813745548
4,2,1,-0.015982073669256656,4.7042331773308707e-17,4.7042331773308707e-17,-0.015982073669256632,0.02260206533790868
4,2,2,-0.045260891902881586,-3.535920261507701e-17,-3.535920261507701e-17,-0.04526089190288165,0.06400856717415779
5,0,0,-0.03916109445617969,2.0173931277311037e-17,2.0173931277311037e-17,-0.03916109445617972,0.05538215089730317
5,0,1,-0.008818467063058028,8.655424241923773e-18,8.655424241923773e-18,-0.00881846706305802,0.012471195719917094
5,0,2,-0.00866375238225875,-7.251991898227084e-17,-7.251991898227084e-17,-0.008663752382258867,0.012252396120032618
5,1,0,-0.008818467063058028,8.655424241923773e-18,8.655424241923773e-18,-0.00881846706305802,0.012471195719917094
5,1,1,-0.07364874095869123,-4.6011601217769495e-18,-4.6011601217769495e-18,-0.07364874095869135,0.10415504831548408
5,1,2,-0.03596937367930626,1.0646034589621131e-17,1.0646034589621131e-17,-0.03596937367930624,0.05086837608734074
5,2,0,-0.00866375238225875,-7.251991898227084e-17,-7.251991898227084e-17,-0.008663752382258867,0.012252396120032618
5,2,1,-0.03596937367930626,1.0646034589621131e-17,1.0646034589621131e-17,-0.03596937367930624,0.05086837608734074
5,2,2,-0.0723753497703141,1.2084303601728346e-17,1.2084303601728346e-17,-0.07237534977031414,0.10235420122667468
6,0,0,-0.07395425933917879,-1.0690340339500208e-17,-1.0690340339500208e-17,-0.07395425933917886,0.10458711655272382
6,0,1,-0.008823521903828162,-1.4556035219346828e-17,-1.4556035219346828e-17,-0.008823521903828156,0.012478344344289856
6,0,2,0.035970449234403706,1.73687132301573e-17,1.73687132301573e-17,0.03597044923440373,0.05086989715194665
6,1,0,-0.008823521903828162,-1.4556035219346828e-17,-1.4556035219346828e-17,-0.008823521903828156,0.012478344344289856
6,1,1,-0.039145931854478434,-1.3291816224485738e-17,-1.3291816224485738e-17,-0.03914593185447846,0.055360707740336385
6,1,2,0.008597235298818607,-2.4520465563673194e-17,-2.4520465563673194e-17,0.008597235298818607,0.012158326758501982
6,2,0,0.035970449234403706,1.73687132301573e-17,1.73687132301573e-17,0.03597044923440373,0.05086989715194665
6,2,1,0.008597235298818607,-2.4520465563673194e-17,-2.4520465563673194e-17,0.008597235298818607,0.012158326758501982
6,2,2,-0.07208499399152693,3.687665864976157e-17,3.687665864976157e-17,-0.07208499399152707,0.10194357614640054
7,0,0,-0.037766706494992225,-5.85834281646945e-17,-5.85834281646945e-17,-0.03776670649499225,0.05341018853138208
7,0,1,0.0005581568923908493,-2.1779785369706416e-17,-2.1779785369706416e-17,0.0005581568923908632,0.000789353047151169
7,0,2,0.007294219138726542,-2.168295482913062e-18,-2.168295482913062e-18,0.007294219138726507,0.010315583632908448
7,1,0,0.0005581568923908493,-2.1779785369706416e-17,-2.1779785369706416e-17,0.0005581568923908632,0.000789353047151169
7,1,1,-0.03746399627608301,3.0581379301307867e-18,3.0581379301307867e-18,-0.037463996276082996,0.05298209163433171
7,1,2,-0.005579675348203993,3.808292122015012e-19,3.808292122015012e-19,-0.005579675348203944,0.007890852551068875
7,2,0,0.007294219138726542,-2.168295482913062e-18,-2.168295482913062e-18,0.007294219138726507,0.010315583632908448
7,2,1,-0.005579675348203993,3.808292122015012e-19,3.808292122015012e-19,-0.005579675348203944,0.007890852551068875
7,2,2,-0.10995448241411017,-1.3176026447475484e-17,-1.3176026447475484e-17,-0.10995448241411018,0.1554991202737486
8,0,0,-0.04181923255267171,-5.798897131385176e-18,-5.798897131385176e-18,-0.04181923255267181,0.05914132584402283
8,0,1,-0.003451605496695414,1.0076628916490972e-17,1.0076628916490972e-17,-0.0034516054966954625,0.004881307305388212
8,0,2,0.0178732685988673,1.5563365530336009e-18,1.5563365530336009e-18,0.0178732685988673,0.025276618856455303
8,1,0,-0.003451605496695414,1.0076628916490972e-17,1.0076628916490972e-17,-0.0034516054966954625,0.004881307305388212
8,1,1,-0.03952827363869121,-1.705234167355612e-17,-1.705234167355612e-17,-0.039528273638691165,0.055901420677031965
8,1,2,0.01290024047282607,9.213968990275567e-18,9.213968990275567e-18,0.012900240472826063,0.01824369503454493
8,2,0,0.0178732685988673,1.5563365530336009e-18,1.5563365530336009e-18,0.0178732685988673,0.025276618856455303
8,2,1,0.01290024047282607,9.213968990275567e-18,9.213968990275567e-18,0.012900240472826063,0.01824369503454493
8,2,2,-0.10383767899382217,1.5375253838590347e-17,1.5375253838590347e-17,-0.10383767899382221,0.14684865391840718
9,0,0,-0.09313232740771675,-1.1467057307054894e-17,-1.1467057307054894e-17,-0.0931323274077169,0.13170900051536466
9,0,1,-0.0015533877955468088,2.7299379060724677e-17,2.7299379060724677e-17,-0.0015533877955468192,0.002196822088087149
9,0,2,0.03171926983255118,7.707700211670023e-18,7.707700211670023e-18,0.03171926983255115,0.04485782158576563
9,1,0,-0.0015533877955468088,2.7299379060724677e-17,2.7299379060724677e-17,-0.0015533877955468192,0.002196822088087149
9,1,1,-0.037080053369199804,-1.9913008047069408e-17,-1.9913008047069408e-17,-0.03708005336919977,0.052439114368240516
9,1,2,0.0008783683320997444,6.542455215513432e-17,6.542455215513432e-17,0.000878368332099682,0.0012422004080144492
9,2,0,0.03171926983255118,7.707700211670023e-18,7.707700211670023e-18,0.03171926983255115,0.04485782158576563
9,2,1,0.0008783683320997444,6.542455215513432e-17,6.542455215513432e-17,0.000878368332099682,0.0012422004080144492
9,2,2,-0.05497280440826832,2.4729273993657448e-17,2.4729273993657448e-17,-0.0549728044082684,0.07774328555585658
