sample_id,source_index,f0,f1,f2,f3,top_pencil_eigenvalue,s4,s6,s8,covariant_trace,covariant_trace_square,covariant_trace_cube,covariant_determinant,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,covariant_top_gap,covariant_spread,projective_axis_distance
1232,12322,-0.03290181131307985,-0.2050024745762641,-0.9479791655749357,-0.24130262714229941,0.10869459539377146,1.5520655633352685,1.1812076121031228,0.9660225667861491,2.500000000000002,2.8341742402807375,3.9920811009952892,0.02747134166127511,0.13233418141242384,0.22982247966321562,0.5797098228862542,1.5581335160381076,0.9784236931518534,1.4257993346256836,0.3225549082716447
1233,12332,-0.186162223348601,-0.7945976280945259,0.19578463899720092,0.5437155608930048,0.07656953165658256,1.0466793275296475,0.4901461058365924,0.24148105536904696,2.5,2.062056380022147,1.9235615237142667,0.05858590253938644,0.13845974363004268,0.5412221470244454,0.6943062606432497,1.1260118487022632,0.4317055880590135,0.9875521050722206,0.7387195138056638
1234,12342,0.1272939351753664,0.7871086300490736,0.5931332222781001,0.11157615874297855,0.08880472794210609,1.1695404099831301,0.671384170014899,0.42489566198226486,2.500000000000001,2.249760811548301,2.4540061755180234,0.057918971988196295,0.17472755030108003,0.4098352893168107,0.6284645956606092,1.2869725647215011,0.6585079690608919,1.112245014420421,0.5309050318981051
1235,12352,-0.0328754909250463,-0.028436803536642675,0.6473206237283592,-0.7609773718035139,0.0721136780362706,1.027706452594682,0.4527637823503948,0.2078920908758365,2.5000000000000004,2.0330700433159503,1.8220753861792636,0.05292695002624253,0.11540510490519092,0.6332043899514049,0.6693950406585709,1.081995464484834,0.41260042382626305,0.966590359579643,0.7081870963497233
1236,12362,-0.7474371457997462,0.46650940402103636,0.054828599571149245,0.46978773260668794,0.07799462818059125,1.048451237314757,0.5033953469528171,0.262213159618753,2.4999999999999996,2.0647634644160635,1.953368742496901,0.06211159847721099,0.1505665293959251,0.5583246446028378,0.6442265767179252,1.1468822492833115,0.5026556725653863,0.9963157198873864,0.6337661309863137
1237,12372,0.6064957047840661,-0.7838599529606438,-0.10677464031126704,-0.07953433478326033,0.10544747376478354,1.475791309680076,1.0806528239225155,0.8646729603941298,2.5,2.717644130529746,3.6876905438142336,0.03204543121942023,0.12960742338726217,0.2873947634738141,0.5677846723048994,1.515213140834025,0.9474284685291257,1.3856057174467629,0.31538793520385133
1238,12382,-0.5918285383440414,-0.21108024171626263,-0.05917219274463456,0.7756821284291342,0.10741970290399537,1.522482725439733,1.1407785594282756,0.9246968987481541,2.500000000000001,2.7889782379403334,3.8710465575318262,0.02862474332370102,0.12486746621354979,0.25851768475062065,0.5753344693157447,1.5412803797200856,0.9659459104043409,1.4164129135065358,0.3074844879938705
1239,12392,-0.38319005608264234,-0.009404547646336449,0.3954557096796464,0.8346806078283576,0.10185847542199129,1.4118524580162908,0.9763201051283181,0.7145323010688368,2.500000000000001,2.6199597738211864,3.390777164915944,0.03734193309124415,0.17686156315932575,0.22781009849374292,0.6343955533904395,1.4609327849564935,0.826537231566054,1.2840712217971677,0.43712311606185894
1240,12402,-0.1854754663956349,-0.017349504714652228,0.28350381355058024,-0.9407036907303787,0.09193504561720255,1.2195714197229235,0.734893321813645,0.4728649847083836,2.500000000000001,2.3261970764285413,2.648566139300455,0.056804384631681255,0.2211842718231547,0.29338376620249945,0.6608797847692303,1.3245521772051174,0.6636723924358872,1.1033679053819627,0.5677376841395662
1241,12412,0.9902929608519434,0.01072757302558309,0.11750460237872723,0.07346726675118107,0.07202610644399571,1.0585451528334953,0.4639369364897909,0.20863900891845402,2.5000000000000004,2.080184724236359,1.883722701234398,0.03790523247343089,0.07844807599152995,0.6472937291092907,0.6858266126388867,1.0884315822602924,0.4026049696214057,1.0099835062687623,0.7365924346187428
1242,12422,0.4422420570291139,0.5944245409422041,0.4210761397024028,-0.5232363831898835,0.09303453620264329,1.2046062478049802,0.7565322205241837,0.5510044831518692,2.5,2.3033336193316822,2.6750273173874684,0.0647341527141665,0.22450083716175337,0.445893545583061,0.47869297033748065,1.3509126469177057,0.872219676580225,1.1264118097559523,0.4130600623647277
1243,12432,-0.3898638230301825,-0.7725633254382418,0.15150526786704455,-0.47770101683859834,0.09965323712688344,1.371326288126458,0.9172141852820076,0.6509522283457484,2.4999999999999996,2.5580447920450515,3.2172166459866256,0.0381885546399357,0.14925249438530594,0.278983470188787,0.6410190040714372,1.4307450313544692,0.789726027283032,1.2814925369691632,0.47303593714798303
1244,12442,0.22674807327906032,0.7956699092578409,0.49999787717953814,0.255923483841965,0.09675566308762236,1.3199736682819834,0.8447121941344023,0.5851388664145897,2.4999999999999996,2.4795894006159926,3.0022772358031764,0.03749178772477395,0.11918314494225614,0.3598118937932607,0.627299105820154,1.3937058554443296,0.7664067496241755,1.2745227105020733,0.46212119621548664
