probe_id,edge_field_norm,potential_norm,gauge_shift_norm,exact_norm,harmonic_norm,coexact_norm,curvature_norm,gauge_curvature_max_abs,exact_shift_max_abs,harmonic_invariance_max_abs,coexact_invariance_max_abs,gauge_fixed_representative_max_abs,gauge_fixed_divergence_max_abs,curvature_from_coexact_only_max_abs,gauge_orbit_reconstruction_max_abs,constant_potential_null_max_abs,all_checks_pass
12,10.390671212173128,6.962540708300204,13.091506534168753,7.61477501298293,6.080585697563739,3.606622702157439,12.931078499042671,2.1094237467877974e-15,8.992806499463768e-15,8.826273045769994e-15,7.216449660063518e-16,9.020562075079397e-15,6.328271240363392e-15,7.993605777301127e-15,4.440892098500626e-16,0.0,True
13,10.942014687430126,7.270741239997711,14.75960773761082,7.1485096320839245,6.776525330005441,4.764997367442567,16.879818078889166,8.881784197001252e-16,5.329070518200751e-15,5.551115123125783e-15,7.771561172376096e-16,5.10702591327572e-15,4.218847493575595e-15,1.0103029524088925e-14,4.579669976578771e-16,0.0,True
14,10.165600458719574,7.575474738137514,15.43980363362223,6.473355076344872,6.6867983490375,4.089233984646642,14.275994400879025,1.3322676295501878e-15,5.773159728050814e-15,6.439293542825908e-15,7.771561172376096e-16,5.662137425588298e-15,5.440092820663267e-15,8.881784197001252e-15,4.440892098500626e-16,0.0,True
15,10.863708529569159,8.584392499549578,17.48227827877073,6.505021079106515,7.556817562077626,4.312698935618945,16.107537654030157,2.6645352591003757e-15,7.438494264988549e-15,6.217248937900877e-15,8.881784197001252e-16,7.271960811294775e-15,6.8833827526759706e-15,8.881784197001252e-15,4.440892098500626e-16,0.0,True
16,12.577966609556684,7.8554647341281205,14.951659527675291,8.877190758089297,7.25619524516916,5.1718815569965795,18.05988976100831,1.7763568394002505e-15,6.078471059822732e-15,5.578870698741412e-15,5.898059818321144e-16,6.106226635438361e-15,7.549516567451064e-15,7.993605777301127e-15,6.661338147750939e-16,0.0,True
17,10.114492139212938,7.749013930328596,15.384845119443883,7.106213999476338,5.907850964071249,4.111200653600994,14.838986844277589,1.7763568394002505e-15,5.384581669432009e-15,5.551115123125783e-15,9.159339953157541e-16,5.662137425588298e-15,7.105427357601002e-15,7.105427357601002e-15,4.440892098500626e-16,0.0,True
18,11.862076151992,7.547814190339085,14.25895891808433,8.377104279668348,7.021252063669318,4.608144309984099,15.461371435228124,8.881784197001252e-16,5.551115123125783e-15,5.551115123125783e-15,8.326672684688674e-16,5.995204332975845e-15,9.159339953157541e-15,9.769962616701378e-15,6.661338147750939e-16,0.0,True
19,11.86902396559319,8.938403983100738,17.995027718265863,8.852356734258981,6.094388867899678,5.036659058549197,18.216686472523897,1.7763568394002505e-15,6.439293542825908e-15,6.38378239159465e-15,7.771561172376096e-16,6.439293542825908e-15,8.1601392309949e-15,8.881784197001252e-15,5.551115123125783e-16,0.0,True
20,10.227044389859655,9.184223577240031,18.913373310140972,6.672189521239312,5.88414423024606,5.0449153236190485,17.238587354679662,1.7763568394002505e-15,5.662137425588298e-15,6.078471059822732e-15,1.2212453270876722e-15,5.523359547510154e-15,5.773159728050814e-15,1.0658141036401503e-14,7.771561172376096e-16,0.0,True
21,10.21483144195868,7.462518236498935,13.998806832411548,6.929465658489124,5.598762368619647,4.997914266489184,16.26904056118289,1.7763568394002505e-15,5.10702591327572e-15,5.551115123125783e-15,7.216449660063518e-16,5.329070518200751e-15,9.103828801926284e-15,7.882583474838611e-15,4.440892098500626e-16,0.0,True
22,12.052237422346638,6.287797895848955,12.94614595951701,8.135483477984174,7.112792846402503,5.336526341003539,18.578885696945726,1.3322676295501878e-15,4.551914400963142e-15,4.884981308350689e-15,6.661338147750939e-16,4.6629367034256575e-15,6.494804694057166e-15,7.993605777301127e-15,4.440892098500626e-16,0.0,True
23,10.266466965899193,7.743976021225194,15.296831124264756,7.765867189350291,5.022099326984135,4.4575967862938795,16.052927231671966,2.6645352591003757e-15,5.440092820663267e-15,5.440092820663267e-15,8.118505867571457e-16,5.329070518200751e-15,5.218048215738236e-15,1.0658141036401503e-14,4.440892098500626e-16,0.0,True
24,11.470904309698318,8.522454009867651,16.903543947602103,8.030541827080455,6.971235323812048,4.3004559881252025,15.803220025201725,2.6645352591003757e-15,5.329070518200751e-15,5.551115123125783e-15,8.881784197001252e-16,5.440092820663267e-15,6.328271240363392e-15,8.881784197001252e-15,6.661338147750939e-16,0.0,True
25,11.095226997817138,7.946249760875518,15.824349910231001,7.390669153739645,6.827190040673561,4.676702656956009,16.989359639691603,2.6645352591003757e-15,5.551115123125783e-15,5.329070518200751e-15,1.2212453270876722e-15,5.218048215738236e-15,6.772360450213455e-15,8.992806499463768e-15,4.440892098500626e-16,0.0,True
26,9.696509167705807,7.552200441612553,15.056333106025155,6.708820622820389,6.246204205773193,3.1621114638804086,11.329285232911591,1.7763568394002505e-15,5.773159728050814e-15,5.537237335317968e-15,7.771561172376096e-16,5.467848396278896e-15,7.105427357601002e-15,7.105427357601002e-15,8.881784197001252e-16,0.0,True
27,11.023614864603989,7.20937494726192,14.588113369886447,6.90840440705066,6.692153324234261,5.386011243647875,18.908692846304916,1.7763568394002505e-15,4.884981308350689e-15,5.495603971894525e-15,1.096345236817342e-15,5.218048215738236e-15,6.217248937900877e-15,6.661338147750939e-15,8.881784197001252e-16,0.0,True
28,11.702690648541331,8.883147159550154,18.496953841287457,7.856402738040578,7.682123372979634,4.026771028440184,14.30387113389948,1.7763568394002505e-15,4.551914400963142e-15,4.6629367034256575e-15,1.2212453270876722e-15,4.440892098500626e-15,9.43689570931383e-15,6.8833827526759706e-15,5.065392549852277e-16,0.0,True
29,11.015402234910612,6.992511388008334,13.833704512995995,7.92098117745169,6.52296877683248,4.005998242610489,14.8885004774637,1.7763568394002505e-15,6.217248937900877e-15,6.106226635438361e-15,8.881784197001252e-16,6.439293542825908e-15,6.217248937900877e-15,4.440892098500626e-15,6.661338147750939e-16,0.0,True
30,11.808807564188468,6.628622777394283,14.0628840326486,8.240891801732436,7.364679051215032,4.158983153700958,14.399749012288176,1.2212453270876722e-15,4.884981308350689e-15,5.051514762044462e-15,6.661338147750939e-16,4.9960036108132044e-15,5.218048215738236e-15,1.0658141036401503e-14,8.881784197001252e-16,0.0,True
31,11.824465201996812,7.04011788952918,14.09760991592428,7.743058750399716,7.6725509200986926,4.582028031296245,16.22668261598868,2.6645352591003757e-15,5.2735593669694936e-15,5.551115123125783e-15,7.771561172376096e-16,5.329070518200751e-15,8.881784197001252e-15,9.325873406851315e-15,8.881784197001252e-16,0.0,True
