actual_index,orientation_type,edge_positive_count,edge_negative_count,face_positive_count,face_negative_count,b1_chain_max_abs,b2_chain_max_abs,delta1_commutation_max_abs,p_exact_commutation_max_abs,p_harmonic_commutation_max_abs,p_coexact_commutation_max_abs,all_checks_pass
399,reversing,68,52,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,3.3306690738754696e-16,True
400,preserving,56,64,20,0,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,5.551115123125783e-16,True
401,reversing,62,58,0,20,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,4.163336342344337e-16,True
402,preserving,48,72,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,3.885780586188048e-16,True
403,preserving,60,60,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.887379141862766e-15,5.551115123125783e-16,True
404,reversing,60,60,0,20,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
405,reversing,60,60,0,20,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,3.0531133177191805e-16,True
406,preserving,56,64,20,0,0.0,0.0,0.0,1.1102230246251565e-15,1.3322676295501878e-15,3.885780586188048e-16,True
407,reversing,56,64,0,20,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,4.718447854656915e-16,True
408,preserving,64,56,20,0,0.0,0.0,0.0,1.8318679906315083e-15,1.9984014443252818e-15,3.885780586188048e-16,True
409,reversing,62,58,0,20,0.0,0.0,0.0,1.7208456881689926e-15,2.1094237467877974e-15,4.440892098500626e-16,True
410,reversing,56,64,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,3.885780586188048e-16,True
411,preserving,66,54,20,0,0.0,0.0,0.0,1.8318679906315083e-15,1.9984014443252818e-15,4.718447854656915e-16,True
412,reversing,62,58,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,3.608224830031759e-16,True
413,reversing,64,56,0,20,0.0,0.0,0.0,1.7763568394002505e-15,2.1094237467877974e-15,4.163336342344337e-16,True
414,preserving,40,80,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.4988010832439613e-15,3.3306690738754696e-16,True
415,preserving,62,58,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.4988010832439613e-15,3.885780586188048e-16,True
416,reversing,62,58,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.609823385706477e-15,3.608224830031759e-16,True
417,reversing,64,56,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,4.163336342344337e-16,True
418,preserving,58,62,20,0,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,3.608224830031759e-16,True
419,reversing,52,68,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.27675647831893e-15,3.3306690738754696e-16,True
420,preserving,62,58,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.3877787807814457e-15,4.440892098500626e-16,True
421,preserving,68,52,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,3.885780586188048e-16,True
422,reversing,64,56,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.4432899320127035e-15,3.885780586188048e-16,True
423,preserving,40,80,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,4.163336342344337e-16,True
424,reversing,64,56,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.7763568394002505e-15,4.440892098500626e-16,True
425,preserving,54,66,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,4.163336342344337e-16,True
426,reversing,60,60,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.7763568394002505e-15,3.608224830031759e-16,True
427,preserving,62,58,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,3.885780586188048e-16,True
428,preserving,64,56,20,0,0.0,0.0,0.0,1.887379141862766e-15,2.1094237467877974e-15,3.3306690738754696e-16,True
429,reversing,56,64,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.6653345369377348e-15,4.163336342344337e-16,True
430,preserving,56,64,20,0,0.0,0.0,0.0,1.887379141862766e-15,2.1094237467877974e-15,4.440892098500626e-16,True
431,reversing,54,66,0,20,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,3.885780586188048e-16,True
432,reversing,60,60,0,20,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,3.0531133177191805e-16,True
433,preserving,62,58,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,4.163336342344337e-16,True
434,reversing,52,68,0,20,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,4.163336342344337e-16,True
435,preserving,60,60,20,0,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,4.163336342344337e-16,True
436,preserving,66,54,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.3322676295501878e-15,3.3306690738754696e-16,True
437,reversing,66,54,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.7763568394002505e-15,4.440892098500626e-16,True
438,preserving,48,72,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.608224830031759e-16,True
439,reversing,48,72,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.27675647831893e-15,4.163336342344337e-16,True
440,reversing,60,60,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.9984014443252818e-15,4.163336342344337e-16,True
441,preserving,56,64,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7763568394002505e-15,4.440892098500626e-16,True
442,reversing,48,72,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.885780586188048e-16,True
443,reversing,68,52,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.9984014443252818e-15,4.163336342344337e-16,True
444,preserving,62,58,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7763568394002505e-15,4.163336342344337e-16,True
445,preserving,54,66,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,3.3306690738754696e-16,True
446,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,3.3306690738754696e-16,True
447,reversing,48,72,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3877787807814457e-15,4.163336342344337e-16,True
448,reversing,56,64,0,20,0.0,0.0,0.0,1.942890293094024e-15,2.275957200481571e-15,3.885780586188048e-16,True
449,preserving,68,52,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,3.608224830031759e-16,True
450,preserving,54,66,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.6653345369377348e-15,3.608224830031759e-16,True
451,reversing,58,62,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.7763568394002505e-15,5.551115123125783e-16,True
452,reversing,70,50,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.7763568394002505e-15,3.885780586188048e-16,True
453,preserving,70,50,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.609823385706477e-15,4.163336342344337e-16,True
454,reversing,40,80,0,20,0.0,0.0,0.0,1.942890293094024e-15,2.275957200481571e-15,3.608224830031759e-16,True
455,preserving,48,72,20,0,0.0,0.0,0.0,1.4432899320127035e-15,1.609823385706477e-15,3.3306690738754696e-16,True
456,preserving,58,62,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7763568394002505e-15,3.885780586188048e-16,True
457,preserving,64,56,20,0,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,4.163336342344337e-16,True
458,preserving,56,64,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.5543122344752192e-15,3.885780586188048e-16,True
459,reversing,56,64,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.0531133177191805e-16,True
460,reversing,64,56,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,4.163336342344337e-16,True
461,reversing,72,48,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.4432899320127035e-15,4.163336342344337e-16,True
462,reversing,40,80,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.609823385706477e-15,3.885780586188048e-16,True
463,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.609823385706477e-15,3.608224830031759e-16,True
464,preserving,54,66,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.4432899320127035e-15,4.163336342344337e-16,True
465,preserving,64,56,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.7763568394002505e-15,3.608224830031759e-16,True
466,preserving,56,64,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.7763568394002505e-15,4.163336342344337e-16,True
467,reversing,62,58,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,4.163336342344337e-16,True
468,reversing,66,54,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.6653345369377348e-15,4.163336342344337e-16,True
469,reversing,60,60,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.6653345369377348e-15,3.885780586188048e-16,True
470,reversing,40,80,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,3.608224830031759e-16,True
471,preserving,72,48,20,0,0.0,0.0,0.0,1.8318679906315083e-15,2.0539125955565396e-15,4.163336342344337e-16,True
472,preserving,72,48,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
473,reversing,64,56,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,3.3306690738754696e-16,True
474,reversing,64,56,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.4432899320127035e-15,4.163336342344337e-16,True
475,preserving,58,62,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.4988010832439613e-15,3.885780586188048e-16,True
476,reversing,62,58,0,20,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,4.163336342344337e-16,True
477,preserving,62,58,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.4988010832439613e-15,3.885780586188048e-16,True
478,preserving,48,72,20,0,0.0,0.0,0.0,1.1657341758564144e-15,1.3322676295501878e-15,3.3306690738754696e-16,True
479,reversing,32,88,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.4432899320127035e-15,3.885780586188048e-16,True
