start_id,s4,axis_s4_gap,projective_distance_to_axis_register,success,status,message,iteration_count,evaluation_count,f0,f1,f2,f3
78,1.5972222222222152,7.105427357601002e-15,8.940696716308594e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,65,0.6223394646498654,0.7619318633684651,-0.16666659132353875,0.06614887496979925
79,1.597222222222222,2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,15,267,0.6223394878219001,0.7619318286732275,-0.16666666635843377,0.06614886754293835
80,1.5972222222222217,6.661338147750939e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,14,140,-0.05559820402457211,0.9284162963710422,0.16666666272273417,0.3273747758743574
81,1.5972222222222203,1.9984014443252818e-15,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,9,75,0.6779376953857074,-0.16648447234032807,0.6666666454217132,-0.2612259281289629
82,1.597222222222222,2.220446049250313e-16,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,7,192,0.6934929814138375,0.3952414565140351,0.16666665521314253,-0.578855683070033
83,1.5972222222222217,6.661338147750939e-16,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,100,-0.0867087632872165,-0.1950355218836677,0.1666667042187579,0.9626343777767465
84,1.5972222222222228,-4.440892098500626e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,212,-0.6067842259956482,-0.20020588701986486,0.6666666571399661,-0.38377867859389275
85,1.5972222222222219,4.440892098500626e-16,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,85,-0.6067842268697278,-0.20020593265239198,0.6666666453063421,-0.38377867396310655
86,1.597222222222223,-6.661338147750939e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,220,-0.6623824105954922,0.7282103795852092,-0.1666666875345786,-0.05640390469038292
87,1.597222222222223,-6.661338147750939e-16,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,9,307,0.5912289164286425,-0.3615200525028835,-0.1666666406805627,0.7014084764965292
88,1.597222222222222,2.220446049250313e-16,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,110,-0.07115347082023032,0.3666903995387443,0.6666666455221067,0.6450045877547325
