first_line,second_line,signed_gram,absolute_gram,absolute_rational
16,28,-1.4379229387051838e-15,1.4379229387051838e-15,0
16,29,-3.9996266263822473e-17,3.9996266263822473e-17,0
17,18,5.506102918161421e-16,5.506102918161421e-16,0
17,19,0.7499999999999999,0.7499999999999999,3/4
17,20,-0.25000000000000056,0.25000000000000056,1/4
17,21,0.2499999999999979,0.2499999999999979,1/4
17,22,5.171378352550741e-16,5.171378352550741e-16,0
17,23,-0.5590169943749482,0.5590169943749482,51841/92736
17,24,0.2499999999999995,0.2499999999999995,1/4
17,25,0.7500000000000011,0.7500000000000011,3/4
17,26,0.5590169943749475,0.5590169943749475,51841/92736
17,27,0.2499999999999996,0.2499999999999996,1/4
17,28,0.5590169943749473,0.5590169943749473,28980/51841
17,29,-0.7499999999999988,0.7499999999999988,3/4
18,19,0.24999999999999922,0.24999999999999922,1/4
18,20,0.7499999999999997,0.7499999999999997,3/4
18,21,0.7500000000000006,0.7500000000000006,3/4
18,22,-4.522123899926697e-16,4.522123899926697e-16,0
18,23,0.5590169943749476,0.5590169943749476,51841/92736
18,24,-0.75,0.75,3/4
18,25,-0.24999999999999753,0.24999999999999753,1/4
18,26,0.5590169943749475,0.5590169943749475,51841/92736
18,27,0.24999999999999867,0.24999999999999867,1/4
18,28,0.5590169943749482,0.5590169943749482,51841/92736
18,29,0.25000000000000044,0.25000000000000044,1/4
19,20,-0.2500000000000006,0.2500000000000006,1/4
19,21,0.7499999999999984,0.7499999999999984,3/4
19,22,0.2500000000000009,0.2500000000000009,1/4
19,23,-0.5590169943749483,0.5590169943749483,51841/92736
19,24,-0.25000000000000006,0.25000000000000006,1/4
19,25,0.25000000000000133,0.25000000000000133,1/4
19,26,0.5590169943749466,0.5590169943749466,28980/51841
19,27,0.7500000000000002,0.7500000000000002,3/4
19,28,0.5590169943749473,0.5590169943749473,28980/51841
19,29,-0.7499999999999993,0.7499999999999993,3/4
20,21,0.25000000000000056,0.25000000000000056,1/4
20,22,0.2500000000000014,0.2500000000000014,1/4
20,23,0.5590169943749466,0.5590169943749466,28980/51841
20,24,-0.24999999999999975,0.24999999999999975,1/4
20,25,8.35875273282025e-16,8.35875273282025e-16,0
20,26,-1.621994740410078e-15,1.621994740410078e-15,0
20,27,5.255931573255045e-16,5.255931573255045e-16,0
20,28,0.5590169943749478,0.5590169943749478,51841/92736
20,29,0.7500000000000013,0.7500000000000013,3/4
21,22,0.24999999999999864,0.24999999999999864,1/4
21,23,2.5554863267388466e-15,2.5554863267388466e-15,0
21,24,-0.7500000000000022,0.7500000000000022,3/4
21,25,-0.2500000000000006,0.2500000000000006,1/4
21,26,0.5590169943749472,0.5590169943749472,28980/51841
21,27,0.7499999999999984,0.7499999999999984,3/4
21,28,0.5590169943749465,0.5590169943749465,28980/51841
21,29,-0.24999999999999828,0.24999999999999828,1/4
22,23,-0.5590169943749472,0.5590169943749472,28980/51841
22,24,0.2500000000000002,0.2500000000000002,1/4
22,25,0.25000000000000056,0.25000000000000056,1/4
22,26,-0.5590169943749477,0.5590169943749477,51841/92736
22,27,0.7500000000000004,0.7500000000000004,3/4
22,28,0.5590169943749476,0.5590169943749476,51841/92736
22,29,0.2500000000000011,0.2500000000000011,1/4
23,24,-0.5590169943749477,0.5590169943749477,51841/92736
23,25,-0.559016994374948,0.559016994374948,51841/92736
23,26,0.24999999999999944,0.24999999999999944,1/4
23,27,-0.5590169943749475,0.5590169943749475,51841/92736
23,28,-0.25,0.25,1/4
23,29,0.5590169943749468,0.5590169943749468,28980/51841
24,25,0.7499999999999983,0.7499999999999983,3/4
24,26,-0.5590169943749476,0.5590169943749476,51841/92736
24,27,-0.2499999999999997,0.2499999999999997,1/4
24,28,-1.2667242732892368e-15,1.2667242732892368e-15,0
24,29,9.515044057508512e-16,9.515044057508512e-16,0
25,26,1.7573070454649492e-15,1.7573070454649492e-15,0
25,27,8.43657814387743e-16,8.43657814387743e-16,0
25,28,0.5590169943749485,0.5590169943749485,51841/92736
25,29,-0.24999999999999895,0.24999999999999895,1/4
26,27,-1.3072293643998526e-15,1.3072293643998526e-15,0
26,28,0.2500000000000001,0.2500000000000001,1/4
26,29,-0.5590169943749476,0.5590169943749476,51841/92736
27,28,0.5590169943749471,0.5590169943749471,28980/51841
27,29,-0.24999999999999886,0.24999999999999886,1/4
28,29,1.921206464794083e-15,1.921206464794083e-15,0
