target,coefficient_id,monomial,target_coefficient,candidate_coefficient,residual
e4_residual_1_over_16,156,f2^8,3.6591823321385775e-19,-7.629745690088619e-16,-7.633404872420757e-16
e4_residual_1_over_16,157,f2^7*f3,-2.1360994495104484e-18,1.1143339399090564e-14,1.1145475498540075e-14
e4_residual_1_over_16,158,f2^6*f3^2,0.0002716746368400891,0.0002716746368295353,-1.0553786577299773e-14
e4_residual_1_over_16,159,f2^5*f3^3,-0.0001715132110714152,-0.00017151321107957204,-8.15683241436882e-15
e4_residual_1_over_16,160,f2^4*f3^4,0.0005851726612157821,0.0005851726612105047,-5.277462494790441e-15
e4_residual_1_over_16,161,f2^3*f3^5,-0.0003569482400238494,-0.0003569482400250753,-1.2259073964293599e-15
e4_residual_1_over_16,162,f2^2*f3^6,0.00034142887018882926,0.0003414288701935562,4.7269588417109265e-15
e4_residual_1_over_16,163,f2*f3^7,-0.0001578012159482635,-0.00015780121593843402,9.829485315970832e-15
e4_residual_1_over_16,164,f3^8,3.573996281034471e-05,3.573996280855581e-05,-1.788899703283192e-15
e4,0,f0^8,0.00028147234556017103,0.000281472345560171,-5.421010862427522e-20
e4,1,f0^7*f1,-1.7359830075807072e-05,-1.735983007580707e-05,3.3881317890172014e-21
e4,2,f0^7*f2,-8.936073812630053e-05,-8.936073812630054e-05,-1.3552527156068805e-20
e4,3,f0^7*f3,3.067056491051119e-05,3.0670564910511154e-05,-3.3881317890172014e-20
e4,4,f0^6*f1^2,0.0006313551515975441,0.0006313551515975444,3.2526065174565133e-19
e4,5,f0^6*f1*f2,0.0004522706264304277,0.0004522706264304277,0.0
e4,6,f0^6*f1*f3,0.00046218323821223186,0.00046218323821223197,1.0842021724855044e-19
e4,7,f0^6*f2^2,0.0009255923081271699,0.0009255923081271699,0.0
e4,8,f0^6*f2*f3,0.0007883694036081028,0.0007883694036081027,-1.0842021724855044e-19
e4,9,f0^6*f3^2,0.0009119206687674996,0.0009119206687675006,9.75781955236954e-19
e4,10,f0^5*f1^3,-3.0814525670528286e-05,-3.0814525670528374e-05,-8.809142651444724e-20
e4,11,f0^5*f1^2*f2,-0.00014190325063648322,-0.00014190325063648317,5.421010862427522e-20
e4,12,f0^5*f1^2*f3,-4.8481174740620816e-05,-4.848117474062093e-05,-1.1519648082658485e-19
e4,13,f0^5*f1*f2^2,-2.096082030480724e-05,-2.0960820304807285e-05,-4.404571325722362e-20
e4,14,f0^5*f1*f2*f3,0.0002262236912319104,0.00022622369123191045,5.421010862427522e-20
e4,15,f0^5*f1*f3^2,-9.304595652536736e-05,-9.304595652536746e-05,-9.486769009248164e-20
e4,16,f0^5*f2^3,-0.00019342121577529115,-0.00019342121577529107,8.131516293641283e-20
e4,17,f0^5*f2^2*f3,-1.7343781135715132e-05,-1.7343781135715084e-05,4.743384504624082e-20
e4,18,f0^5*f2*f3^2,3.56041431031021e-05,3.560414310310207e-05,-3.3881317890172014e-20
e4,19,f0^5*f3^3,9.413502566147385e-06,9.413502566147487e-06,1.0164395367051604e-19
e4,20,f0^4*f1^4,0.0006522668060078836,0.0006522668060078836,0.0
e4,21,f0^4*f1^3*f2,0.0009320063489488894,0.0009320063489488894,0.0
e4,22,f0^4*f1^3*f3,0.0006503831084705379,0.0006503831084705378,-1.0842021724855044e-19
e4,23,f0^4*f1^2*f2^2,0.0026552179666197075,0.002655217966619707,-4.336808689942018e-19
e4,24,f0^4*f1^2*f2*f3,0.0014244978950269775,0.0014244978950269766,-8.673617379884035e-19
e4,25,f0^4*f1^2*f3^2,0.002255250742113877,0.002255250742113877,0.0
e4,26,f0^4*f1*f2^3,0.000977637942683805,0.0009776379426838053,2.168404344971009e-19
e4,27,f0^4*f1*f2^2*f3,0.0002741049858904691,0.0002741049858904686,-4.87890977618477e-19
e4,28,f0^4*f1*f2*f3^2,0.00045576557095331003,0.00045576557095330835,-1.6805133673525319e-18
e4,29,f0^4*f1*f3^3,0.0013175161738665016,0.001317516173866502,4.336808689942018e-19
e4,30,f0^4*f2^4,0.0012260837676333512,0.0012260837676333518,6.505213034913027e-19
e4,31,f0^4*f2^3*f3,0.0017071605066322694,0.0017071605066322694,0.0
e4,32,f0^4*f2^2*f3^2,0.002816522922152976,0.0028165229221529765,4.336808689942018e-19
e4,33,f0^4*f2*f3^3,0.0014144773474476042,0.0014144773474476045,2.168404344971009e-19
e4,34,f0^4*f3^4,0.0012441317694935556,0.001244131769493556,4.336808689942018e-19
e4,35,f0^3*f1^5,-5.52246839524768e-06,-5.52246839524766e-06,2.0328790734103208e-20
e4,36,f0^3*f1^4*f2,-6.426837856291443e-06,-6.426837856291419e-06,2.371692252312041e-20
e4,37,f0^3*f1^4*f3,-0.00010584770905643006,-0.00010584770905643006,0.0
e4,38,f0^3*f1^3*f2^2,2.7685994728295468e-05,2.7685994728295512e-05,4.404571325722362e-20
e4,39,f0^3*f1^3*f2*f3,0.00048784848294153755,0.0004878484829415377,1.6263032587282567e-19
e4,40,f0^3*f1^3*f3^2,-7.442148271347488e-05,-7.442148271347483e-05,4.0657581468206416e-20
e4,41,f0^3*f1^2*f2^3,-0.00013051313722186935,-0.00013051313722186946,-1.0842021724855044e-19
e4,42,f0^3*f1^2*f2^2*f3,-6.6656614733334556e-06,-6.665661473333845e-06,-3.8963515573697816e-19
e4,43,f0^3*f1^2*f2*f3^2,0.0002947937761241308,0.00029479377612413106,2.710505431213761e-19
e4,44,f0^3*f1^2*f3^3,-0.00010750501980606988,-0.00010750501980606996,-8.131516293641283e-20
e4,45,f0^3*f1*f2^4,4.091725881202006e-05,4.091725881202007e-05,6.776263578034403e-21
e4,46,f0^3*f1*f2^3*f3,0.0005238682619304957,0.0005238682619304957,0.0
e4,47,f0^3*f1*f2^2*f3^2,0.00011075348016929079,0.00011075348016929067,-1.2197274440461925e-19
e4,48,f0^3*f1*f2*f3^3,0.00042954089330070284,0.00042954089330070246,-3.7947076036992655e-19
e4,49,f0^3*f1*f3^4,-3.8592172534599433e-05,-3.859217253459936e-05,7.453889935837843e-20
e4,50,f0^3*f2^5,-0.00010233712072349082,-0.00010233712072349073,9.486769009248164e-20
e4,51,f0^3*f2^4*f3,-2.313680104854926e-05,-2.313680104854926e-05,0.0
e4,52,f0^3*f2^3*f3^2,0.0002565342377776446,0.0002565342377776448,2.168404344971009e-19
e4,53,f0^3*f2^2*f3^3,6.301193054545197e-05,6.301193054545193e-05,-4.0657581468206416e-20
e4,54,f0^3*f2*f3^4,0.00035402308745026846,0.00035402308745026873,2.710505431213761e-19
e4,55,f0^3*f3^5,-3.989138536432399e-06,-3.9891385364324625e-06,-6.352747104407253e-20
e4,56,f0^2*f1^6,0.00044737563322073335,0.00044737563322073357,2.168404344971009e-19
e4,57,f0^2*f1^5*f2,0.0005130082121543695,0.0005130082121543692,-3.2526065174565133e-19
e4,58,f0^2*f1^5*f3,3.124464932180728e-05,3.12446493218073e-05,2.0328790734103208e-20
e4,59,f0^2*f1^4*f2^2,0.0028013472152328845,0.0028013472152328854,8.673617379884035e-19
e4,60,f0^2*f1^4*f2*f3,0.0003790939502210477,0.0003790939502210472,-4.87890977618477e-19
e4,61,f0^2*f1^4*f3^2,0.002180782533137961,0.0021807825331379613,4.336808689942018e-19
