line_id,orbit_id,orbit_size,rank,trace,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,operator_norm,polynomial_residual,spectral_residual,trace_residual
22,0,15,4,0.24999999999999953,2.3064908322413997e-19,4.867433418834593e-18,0.01591525046875433,0.015915250468754357,0.10908474953124539,0.10908474953124543,0.3302798049097847,1.1195406547208403e-18,2.3592239273284576e-16,4.718447854656915e-16
24,0,15,4,0.24999999999999978,8.879801356366593e-18,9.323793011335577e-18,0.015915250468754343,0.01591525046875436,0.10908474953124545,0.10908474953124551,0.3302798049097848,7.368664084983829e-19,1.8041124150158794e-16,2.220446049250313e-16
25,0,15,4,0.24999999999999975,-7.934175901308926e-19,5.252476243513073e-18,0.01591525046875435,0.01591525046875436,0.10908474953124545,0.10908474953124563,0.330279804909785,8.20919125254613e-19,1.8041124150158794e-16,2.498001805406602e-16
27,0,15,4,0.24999999999999933,-1.2881422371875351e-17,6.969051253690241e-18,0.015915250468754336,0.015915250468754343,0.10908474953124522,0.10908474953124538,0.3302798049097846,1.685174634088316e-18,4.0245584642661925e-16,6.661338147750939e-16
29,0,15,4,0.24999999999999944,-2.236403968510082e-18,7.215358017842e-18,0.015915250468754322,0.01591525046875437,0.10908474953124535,0.10908474953124539,0.33027980490978465,2.264371395159045e-18,2.7755575615628914e-16,5.551115123125783e-16
0,1,10,4,0.2499999999999999,-1.387819494788812e-17,1.387819494788812e-17,0.06249999999999984,0.06249999999999989,0.06250000000000003,0.06250000000000007,0.2500000000000001,4.2957858399320286e-18,1.5959455978986625e-16,1.1102230246251565e-16
1,1,10,4,0.24999999999999933,-1.750460205939417e-18,5.617423481655525e-18,0.062499999999999716,0.06249999999999976,0.062499999999999875,0.062499999999999965,0.24999999999999992,1.1998110151346176e-17,2.8449465006019636e-16,6.661338147750939e-16
2,1,10,4,0.2499999999999998,1.3364560988859231e-17,1.4391014626769682e-17,0.06249999999999969,0.062499999999999785,0.0625000000000001,0.06250000000000017,0.25000000000000033,1.3747968951883293e-17,3.122502256758253e-16,1.942890293094024e-16
3,1,10,4,0.24999999999999906,-3.2029801592895584e-18,-1.383520547413823e-18,0.06249999999999966,0.06249999999999972,0.062499999999999827,0.062499999999999854,0.2499999999999997,1.4334687418641225e-17,3.400058012914542e-16,9.43689570931383e-16
4,1,10,4,0.25000000000000006,-7.447254461831172e-18,5.08360557923944e-19,0.062499999999999785,0.06249999999999984,0.06250000000000021,0.06250000000000024,0.25000000000000044,8.963980517706047e-18,2.3592239273284576e-16,5.551115123125783e-17
5,1,10,4,0.24999999999999972,-1.0924214404592317e-17,1.1035535989796035e-17,0.06249999999999979,0.062499999999999827,0.06249999999999999,0.06250000000000008,0.25000000000000017,8.523854467365695e-18,2.0816681711721685e-16,2.7755575615628914e-16
6,1,10,4,0.24999999999999953,-9.750173187761257e-18,9.750173187761257e-18,0.062499999999999785,0.062499999999999854,0.062499999999999896,0.062499999999999986,0.24999999999999997,7.81442154688593e-18,2.1510571102112408e-16,4.718447854656915e-16
7,1,10,4,0.25000000000000017,-1.8296664891731396e-18,2.4332662151065293e-18,0.062499999999999924,0.062499999999999965,0.06250000000000012,0.06250000000000017,0.25000000000000033,7.31987003741756e-18,1.6653345369377348e-16,1.6653345369377348e-16
8,1,10,4,0.2500000000000007,6.887602646999801e-18,2.0867972968629112e-17,0.06249999999999995,0.06249999999999999,0.06250000000000035,0.0625000000000004,0.2500000000000008,1.426141883872312e-17,4.0245584642661925e-16,7.216449660063518e-16
9,1,10,4,0.2500000000000011,-3.950587036429008e-20,1.3917293678178745e-17,0.06250000000000001,0.06250000000000008,0.06250000000000049,0.06250000000000049,0.25000000000000094,1.8274725583545503e-17,4.85722573273506e-16,1.1102230246251565e-15
10,2,5,6,0.24999999999999925,0.04166666666666644,0.041666666666666456,0.04166666666666652,0.041666666666666574,0.0416666666666666,0.04166666666666662,0.2041241452319314,2.220446049250313e-16,2.220446049250313e-16,7.494005416219807e-16
14,2,5,6,0.25000000000000044,0.04166666666666654,0.04166666666666655,0.041666666666666775,0.041666666666666824,0.04166666666666685,0.04166666666666691,0.2041241452319321,2.0122792321330962e-16,2.42861286636753e-16,4.440892098500626e-16
23,2,5,6,0.2499999999999992,0.041666666666666394,0.041666666666666435,0.041666666666666526,0.041666666666666546,0.04166666666666661,0.04166666666666665,0.20412414523193148,2.220446049250313e-16,2.706168622523819e-16,8.049116928532385e-16
26,2,5,6,0.2500000000000003,0.04166666666666662,0.04166666666666663,0.04166666666666668,0.0416666666666667,0.0416666666666668,0.04166666666666684,0.20412414523193192,1.3183898417423734e-16,1.734723475976807e-16,2.7755575615628914e-16
28,2,5,6,0.25000000000000056,0.041666666666666546,0.04166666666666656,0.041666666666666685,0.04166666666666672,0.04166666666666696,0.04166666666666699,0.2041241452319323,1.5959455978986625e-16,3.2612801348363973e-16,5.551115123125783e-16
