probe_id,group_index,trilinear_value,energy,trilinear_equivariance_max_abs,gradient_u_finite_difference_max_abs,gradient_v_finite_difference_max_abs,gradient_f_finite_difference_max_abs,energy_derivative_max_abs,reciprocal_power_balance_max_abs,all_checks_pass
48,266,-0.05918256947848244,21.44108813042167,4.440892098500626e-16,6.422540277384314e-11,6.637190796965342e-13,2.326494552562508e-11,2.525757381022231e-15,0.0,True
49,161,-0.4783103295899043,16.153766367611645,8.326672684688674e-16,9.427203462308853e-11,6.512165806604742e-11,2.9192204209493866e-11,6.661338147750939e-16,0.0,True
50,406,-0.5406783384120349,23.71477558053734,5.551115123125783e-16,1.1466605442933542e-11,5.277245307411249e-11,3.9722225508853626e-11,1.5543122344752192e-15,0.0,True
51,79,-0.3848322286799102,17.31529131895636,1.6653345369377348e-16,3.218314503783404e-11,1.4374612611334214e-12,2.6172120026757284e-12,1.942890293094024e-16,0.0,True
52,4,0.6797179974216502,65.20215005093513,3.3306690738754696e-16,1.582245445774788e-11,2.7038093985964906e-11,2.0063284367211054e-11,1.4432899320127035e-15,0.0,True
53,479,-1.7008919364144068,54.03206148013972,2.6645352591003757e-15,7.774847432528986e-11,3.419264871240557e-11,9.450884519424108e-11,1.887379141862766e-15,0.0,True
54,57,-0.09110291298821821,22.91576366171371,5.689893001203927e-16,5.823341808763871e-12,7.30704385887293e-12,3.820835314805038e-11,5.551115123125783e-16,0.0,True
55,340,-0.44820189113593545,16.34675540931768,6.106226635438361e-16,5.72912828289418e-11,1.2333378068829504e-10,6.090317139495482e-11,1.1102230246251565e-15,0.0,True
56,434,-0.670054243711636,45.991201444543,3.9968028886505635e-15,9.378764431744457e-11,3.987628005575061e-10,7.20254966779521e-11,2.220446049250313e-15,0.0,True
57,437,-0.5338295738154379,21.87315549980086,1.9984014443252818e-15,6.268874308545946e-11,3.8357789167164924e-11,7.914224831040428e-12,2.220446049250313e-16,0.0,True
58,131,1.304633199721458,40.598231357016296,8.215650382226158e-15,1.4777246093444774e-10,6.958966736192451e-11,5.2791548910136044e-11,1.8318679906315083e-15,0.0,True
59,260,-0.1639400001689068,27.419477586067178,5.828670879282072e-16,5.409650505328045e-11,6.720735079568385e-12,2.917999175622299e-12,7.771561172376096e-16,0.0,True
60,298,1.8031177931938045,46.26311934978387,1.3322676295501878e-15,7.433342830154288e-11,8.652767391481575e-11,1.2344092414906527e-10,1.1102230246251565e-15,0.0,True
61,167,-0.6381328986415922,10.900343963132217,1.7763568394002505e-15,3.315314689444904e-11,1.595198972914602e-11,5.7564619737604517e-11,1.1102230246251565e-16,0.0,True
62,281,0.9460416863744279,33.30291905811313,6.994405055138486e-15,1.346400768653666e-10,4.697431332800761e-11,2.5782154189357698e-11,4.440892098500626e-16,0.0,True
63,209,-0.9818499804432552,18.189448206152463,2.6645352591003757e-15,9.036216219726612e-12,1.3541945342865347e-12,4.133493547442413e-11,1.942890293094024e-16,0.0,True
