start_id,value,flux_norm,iteration_count,converged
349,0.3333333333333249,0.3333333333333249,60,True
350,0.333333333333327,0.3333333333333272,41,True
351,0.3333333333333259,0.33333333333332593,44,True
352,0.3333333333333242,0.3333333333333239,41,True
353,0.3333333333333281,0.33333333333332793,46,True
354,0.33333333333332554,0.3333333333333257,40,True
355,0.333333333333325,0.33333333333332493,45,True
356,0.3333333333333265,0.3333333333333268,38,True
357,0.33333333333332693,0.33333333333332693,40,True
358,0.33333333333332316,0.3333333333333232,65,True
359,0.3333333333333236,0.3333333333333238,37,True
360,0.3333333333333275,0.3333333333333276,39,True
361,0.333333333333326,0.3333333333333261,45,True
362,0.33333333333332726,0.33333333333332704,46,True
363,0.33333333333332626,0.3333333333333264,38,True
364,0.33333333333332493,0.3333333333333252,44,True
365,0.33333333333332477,0.33333333333332493,41,True
366,0.3333333333333263,0.33333333333332643,44,True
367,0.3333333333333253,0.3333333333333254,48,True
368,0.33333333333332665,0.3333333333333267,41,True
369,0.3333333333333281,0.33333333333332804,51,True
370,0.33333333333332604,0.33333333333332577,52,True
371,0.3333333333333249,0.3333333333333248,43,True
372,0.3333333333333235,0.33333333333332354,66,True
373,0.3333333333333247,0.3333333333333246,50,True
374,0.3333333333333267,0.3333333333333268,43,True
375,0.3333333333333265,0.33333333333332643,59,True
376,0.3333333333333258,0.3333333333333257,51,True
377,0.33333333333332577,0.3333333333333257,43,True
378,0.33333333333332615,0.33333333333332626,45,True
379,0.3333333333333269,0.33333333333332693,43,True
380,0.3333333333333228,0.33333333333332305,43,True
381,0.3333333333333248,0.3333333333333249,40,True
382,0.3333333333333263,0.3333333333333262,58,True
383,0.3333333333333278,0.3333333333333277,50,True
384,0.33333333333332793,0.3333333333333279,44,True
385,0.33333333333332793,0.33333333333332793,41,True
386,0.33333333333332765,0.33333333333332754,54,True
387,0.3333333333333244,0.33333333333332416,44,True
388,0.33333333333332354,0.3333333333333234,51,True
389,0.33333333333332427,0.3333333333333241,41,True
390,0.33333333333332754,0.3333333333333274,47,True
391,0.33333333333332726,0.33333333333332726,44,True
392,0.3333333333333276,0.3333333333333275,44,True
393,0.33333333333332554,0.33333333333332554,51,True
394,0.333333333333324,0.333333333333324,44,True
395,0.33333333333332693,0.33333333333332693,49,True
396,0.33333333333332826,0.33333333333332815,44,True
397,0.3333333333333278,0.33333333333332793,40,True
398,0.3333333333333274,0.33333333333332726,48,True
399,0.3333333333333237,0.3333333333333237,50,True
400,0.33333333333332327,0.3333333333333232,39,True
401,0.3333333333333278,0.3333333333333279,49,True
402,0.33333333333332565,0.33333333333332543,39,True
403,0.3333333333333237,0.33333333333332377,44,True
404,0.33333333333332393,0.3333333333333237,47,True
405,0.33333333333332665,0.3333333333333267,42,True
406,0.3333333333333243,0.33333333333332427,51,True
407,0.3333333333333283,0.3333333333333282,44,True
408,0.333333333333328,0.33333333333332793,44,True
409,0.3333333333333267,0.33333333333332676,47,True
410,0.3333333333333264,0.33333333333332626,44,True
411,0.33333333333332543,0.3333333333333254,48,True
412,0.33333333333332665,0.3333333333333266,42,True
413,0.33333333333332654,0.33333333333332643,47,True
414,0.3333333333333262,0.3333333333333262,49,True
415,0.3333333333333266,0.33333333333332676,49,True
416,0.3333333333333237,0.3333333333333237,49,True
417,0.3333333333333272,0.3333333333333272,41,True
418,0.3333333333333255,0.33333333333332543,42,True
419,0.33333333333332704,0.33333333333332693,54,True
420,0.3333333333333232,0.3333333333333232,38,True
421,0.3333333333333281,0.3333333333333279,43,True
422,0.33333333333332316,0.3333333333333231,39,True
423,0.3333333333333247,0.33333333333332466,43,True
424,0.33333333333332393,0.33333333333332393,48,True
425,0.33333333333332726,0.33333333333332726,61,True
426,0.33333333333332676,0.3333333333333269,50,True
427,0.3333333333333261,0.3333333333333262,43,True
428,0.33333333333332765,0.33333333333332765,57,True
429,0.3333333333333279,0.3333333333333279,44,True
430,0.3333333333333245,0.3333333333333244,48,True
431,0.33333333333332693,0.3333333333333269,45,True
432,0.33333333333332665,0.3333333333333268,41,True
433,0.3333333333333256,0.3333333333333256,42,True
434,0.33333333333332293,0.33333333333332293,74,True
435,0.33333333333332527,0.33333333333332515,40,True
436,0.333333333333326,0.3333333333333261,44,True
437,0.33333333333332793,0.3333333333333279,47,True
438,0.3333333333333234,0.3333333333333233,55,True
439,0.33333333333332515,0.3333333333333253,50,True
440,0.3333333333333241,0.3333333333333242,45,True
441,0.3333333333333238,0.33333333333332404,39,True
442,0.33333333333332377,0.3333333333333239,39,True
443,0.33333333333332693,0.3333333333333266,46,True
444,0.33333333333332593,0.33333333333332593,53,True
445,0.3333333333333272,0.33333333333332693,42,True
446,0.3333333333333273,0.3333333333333272,45,True
447,0.3333333333333268,0.33333333333332704,45,True
448,0.33333333333332654,0.3333333333333264,41,True
449,0.333333333333325,0.33333333333332493,67,True
450,0.33333333333332416,0.3333333333333239,46,True
451,0.33333333333332665,0.3333333333333265,55,True
452,0.3333333333333285,0.3333333333333285,50,True
453,0.3333333333333241,0.3333333333333243,39,True
454,0.33333333333332776,0.33333333333332776,38,True
455,0.33333333333332615,0.3333333333333259,53,True
456,0.33333333333332554,0.3333333333333256,46,True
457,0.3333333333333269,0.3333333333333269,41,True
458,0.33333333333332715,0.33333333333332726,64,True
459,0.3333333333333266,0.3333333333333267,42,True
460,0.3333333333333263,0.33333333333332654,49,True
461,0.3333333333333228,0.33333333333332277,40,True
