elementary_invariant,pivot_index,pivot_numerator,pivot_denominator,pivot_exact,pivot_float,pivot_positive
e3,0,12063525,2009500187,12063525/2009500187,0.006003246517737199,True
e3,1,152149899945214424649903482732969,8450895073590449899089514899148800,152149899945214424649903482732969/8450895073590449899089514899148800,0.01800399822980786,True
e3,2,225896843588095320952341645737284691130451345153265477665300907607146174,10918896673115178453225356625471559394029555147875364535530842316484264823,225896843588095320952341645737284691130451345153265477665300907607146174/10918896673115178453225356625471559394029555147875364535530842316484264823,0.020688614459032754,True
e3,3,7222955061930200165105258440416623935494245937921364780775411610549501373625758561378723147840444175430125551449214739299001407683046199130230283914213921,837633623940495336719966364324162538393919795781111798130934046618075486285470254528236230450185623381322416080375676682986758962383247555248308674638000000,7222955061930200165105258440416623935494245937921364780775411610549501373625758561378723147840444175430125551449214739299001407683046199130230283914213921/837633623940495336719966364324162538393919795781111798130934046618075486285470254528236230450185623381322416080375676682986758962383247555248308674638000000,0.00862304813881649,True
e3,4,5123614656728137646483565006505145146552807985310227998215671305196355745143195584583049122625904598477234231160812244853429827691437119876762826732857665433602957178852127139498100329082498726000000594450229531129937567785646904554466638634984246756884352675222449710821322458329021,244364061811407763709422595446991723666829896444933832282681313327405238832530031861340746944665300294179870456601159935039864859040392973354454667083171520297071665183758951383178530060987115157824755017173461637387620067216188073479933278940724497055272922129556097741716991647269125,5123614656728137646483565006505145146552807985310227998215671305196355745143195584583049122625904598477234231160812244853429827691437119876762826732857665433602957178852127139498100329082498726000000594450229531129937567785646904554466638634984246756884352675222449710821322458329021/244364061811407763709422595446991723666829896444933832282681313327405238832530031861340746944665300294179870456601159935039864859040392973354454667083171520297071665183758951383178530060987115157824755017173461637387620067216188073479933278940724497055272922129556097741716991647269125,0.020967136569707116,True
e3,5,288125705264044548506753938181339784938737812948626167637861387228790574528507668846852051077009710260807808908407011548613210271799536183511339327887505432866516433981230047146878529505990754324625590740979375257861326788699194177934615416177354600529281784253090208760159933514863901210523275521881325336903759828353915511048792410067390396715568843158004195057119933402827412476869961622714717077,5646984771416504668193735300800971381071097465581631322356108931968048457462874935319417078417592689996954840861809476867876184824325339224606234506927502147638703199039694502689154104674474225383393105330025461740915334003255743915475733772474564457214477172565315811473495882056305285375525604030919362953721828333749050187430391148260772073473590317012635222314418732917124327269845213093470985136,288125705264044548506753938181339784938737812948626167637861387228790574528507668846852051077009710260807808908407011548613210271799536183511339327887505432866516433981230047146878529505990754324625590740979375257861326788699194177934615416177354600529281784253090208760159933514863901210523275521881325336903759828353915511048792410067390396715568843158004195057119933402827412476869961622714717077/5646984771416504668193735300800971381071097465581631322356108931968048457462874935319417078417592689996954840861809476867876184824325339224606234506927502147638703199039694502689154104674474225383393105330025461740915334003255743915475733772474564457214477172565315811473495882056305285375525604030919362953721828333749050187430391148260772073473590317012635222314418732917124327269845213093470985136,0.051022929391001406,True
e3,6,11467495628877403339441156511014304613510456221670512939695515917058440600420161386254945837682759740804308111472426973282956516532922683701348477795637685183086200782596778293421720483918121707612461709509739857480466153622572904811567619867062750996406673704639245656961815748996237753360622399765556081437326089400517667301938375919262339785533957494476261550097416207001733687681712928544762294385640057476092807674131974446861482561083358582560836027834656466831992870571816472502596260195107974419801104665540565155523786758695466397254964577766581993058040014772163200399801679,278194854467704357250432320673681351027757205875050346859038128031167921468418949194193733317482465782875998175715378769154288000150900554494146013474605059662633748369424966235758955758544814860546294906934421517447884772920073411448016169690586584819029574346518149973307876167332314090291698583335877940560416925339312708653710067050260225868752265336577181464082855476620991878543279820929883926383476009042086483771775913388830744423638481180485424095958842879985531940569314958994019167675620601668194976729513486448247591783749527057925948829995789222776775676981417218928250000,11467495628877403339441156511014304613510456221670512939695515917058440600420161386254945837682759740804308111472426973282956516532922683701348477795637685183086200782596778293421720483918121707612461709509739857480466153622572904811567619867062750996406673704639245656961815748996237753360622399765556081437326089400517667301938375919262339785533957494476261550097416207001733687681712928544762294385640057476092807674131974446861482561083358582560836027834656466831992870571816472502596260195107974419801104665540565155523786758695466397254964577766581993058040014772163200399801679/278194854467704357250432320673681351027757205875050346859038128031167921468418949194193733317482465782875998175715378769154288000150900554494146013474605059662633748369424966235758955758544814860546294906934421517447884772920073411448016169690586584819029574346518149973307876167332314090291698583335877940560416925339312708653710067050260225868752265336577181464082855476620991878543279820929883926383476009042086483771775913388830744423638481180485424095958842879985531940569314958994019167675620601668194976729513486448247591783749527057925948829995789222776775676981417218928250000,0.04122109178050475,True
e3,7,26091053651074345461792035652852641227346432132856886384041062742710913482618951610817972584680444811516087328407632207876888475375304501888161562028297361956832227570732721509932497868711961403403425184807404232784007171790702119952661093079068265747981212514229539997237286345163417749632725897647658470024199649935790124040175652956496610050786685024506040276278279391378556025889043853265325311951900623552063219642624943935638362560974132929120862100145807465476823722045818094410389877823011556920729933137932571664491146844760411000429994143291110498244722521552061150769759389886942577189956696369468972004373694543742484823198364267326370460260777397831474124341387577056841158223406977126459542348619453825508009692390388229852047697787097516026176826281380594617,2173595698079710594456835594021535542351356078836611881075422696215971118012143375961420620996721762847632089178621332398421037111477419020290697565597721543219397771501563690460275890425100139612223859310368573989991199487318589415932029644626255306093879528114716168369639110510921126812360260377019603043502000212412632099953851525257682579741916090580934376068371332206561878523372430052985177025529237964134645637836912443087572858436797041429338868463512049341663683873659026946287468047819131971778022914433078041787611801663778185801583681034474130301981419390133990316922420573968926201216481299501362299753599206359383415147643495694884137748849305922862506246445040800493757756968629984762806656663248041617665762664346029974112017728080780945875520461609722876160,26091053651074345461792035652852641227346432132856886384041062742710913482618951610817972584680444811516087328407632207876888475375304501888161562028297361956832227570732721509932497868711961403403425184807404232784007171790702119952661093079068265747981212514229539997237286345163417749632725897647658470024199649935790124040175652956496610050786685024506040276278279391378556025889043853265325311951900623552063219642624943935638362560974132929120862100145807465476823722045818094410389877823011556920729933137932571664491146844760411000429994143291110498244722521552061150769759389886942577189956696369468972004373694543742484823198364267326370460260777397831474124341387577056841158223406977126459542348619453825508009692390388229852047697787097516026176826281380594617/2173595698079710594456835594021535542351356078836611881075422696215971118012143375961420620996721762847632089178621332398421037111477419020290697565597721543219397771501563690460275890425100139612223859310368573989991199487318589415932029644626255306093879528114716168369639110510921126812360260377019603043502000212412632099953851525257682579741916090580934376068371332206561878523372430052985177025529237964134645637836912443087572858436797041429338868463512049341663683873659026946287468047819131971778022914433078041787611801663778185801583681034474130301981419390133990316922420573968926201216481299501362299753599206359383415147643495694884137748849305922862506246445040800493757756968629984762806656663248041617665762664346029974112017728080780945875520461609722876160,0.01200363695701312,True
e3,8,1035500138284054671005358546028600228653177376741249489396721690733719921536899072550661748956593204171570317734050028787879055198204333336852817172668123495906264733574873559901979686464645205558805843816856171471496905944555878913829520176194164018676416776088768790833037749492756228990411991094486045621424183685754235356663797345678642878599198121294902382821810687015624463953233972609406006926521502706446162971139563767627436315179210497459605744482740939215297542187517602119821448606311886576883234369757242789089267618269772628168973824057756188989451917580290491174751330847622571516039857071325095892587992688976019264210264834363288091748960167540260043083103404609524554854593229773614902187555228627222456678611346835103890896658322945170544121729857461460485928081356771055132520650237274750090741563112328156381817905527963472355225455192976118450869313737634698241502042883756333771921476043429544396538540341034442358586452276604446925861139485847896694489,18327240522373778498138035543659725897648169408731649049107386219119160013435889200654239386633225981672332980896756686220861396965999944015921204449817276761721459651074952867034187600680488400662850885372354163347851946622488421230353465488703521593947490011593004904496428193204927828875147993652956631492969615016069909138520383723828309915520886826843637318177772203254599332704495145281864236075051803411199555984936917914763608571998522528604729918454423568248183515444776241775848959760738223922299742505019704739182919194119633098184981902806462212092185182994811756542002054066126873480212102855949220815378760305112105304636630722882306953912180933707875767182774915815352832162223908624698624672004745975736029357233671348322702516758104533982168530242667849801762497723925235591477338900794165231197621723791401524183492507889591653059131636650299226592899433067373775165268806816904527284363948368146246106425460953913815862087410460839109978891280843678195783630,1035500138284054671005358546028600228653177376741249489396721690733719921536899072550661748956593204171570317734050028787879055198204333336852817172668123495906264733574873559901979686464645205558805843816856171471496905944555878913829520176194164018676416776088768790833037749492756228990411991094486045621424183685754235356663797345678642878599198121294902382821810687015624463953233972609406006926521502706446162971139563767627436315179210497459605744482740939215297542187517602119821448606311886576883234369757242789089267618269772628168973824057756188989451917580290491174751330847622571516039857071325095892587992688976019264210264834363288091748960167540260043083103404609524554854593229773614902187555228627222456678611346835103890896658322945170544121729857461460485928081356771055132520650237274750090741563112328156381817905527963472355225455192976118450869313737634698241502042883756333771921476043429544396538540341034442358586452276604446925861139485847896694489/18327240522373778498138035543659725897648169408731649049107386219119160013435889200654239386633225981672332980896756686220861396965999944015921204449817276761721459651074952867034187600680488400662850885372354163347851946622488421230353465488703521593947490011593004904496428193204927828875147993652956631492969615016069909138520383723828309915520886826843637318177772203254599332704495145281864236075051803411199555984936917914763608571998522528604729918454423568248183515444776241775848959760738223922299742505019704739182919194119633098184981902806462212092185182994811756542002054066126873480212102855949220815378760305112105304636630722882306953912180933707875767182774915815352832162223908624698624672004745975736029357233671348322702516758104533982168530242667849801762497723925235591477338900794165231197621723791401524183492507889591653059131636650299226592899433067373775165268806816904527284363948368146246106425460953913815862087410460839109978891280843678195783630,0.056500602860530075,True
e3,9,10743966717551507419983395014120090968420200589780528443659928253385857019790223716644456056512421779868539850072133270018322793250315375012607447227056067898640899429418771004251967359828302962647907712699922323422655541836391326291161687933707174450489770834531250471639199014582148431764837664876498338016786874629287033984690546176910421658931652684599825283709575161754080840964121067789214612328841933743054938507653412720959782530230118540230912791741891104859177941568498054816629001768789335784033785657978879615994984655581359269431432293074196742441616481663133123933183616508340590844302368728667387150727404765375606948786555701371293572502485670962084053609909384328625064263157506909313601424725330272659524710857526486910414524557596422969851071081341637645790755933603197961622557995626419717687797378564127009342296600145955827473905778054689358879344192731283861229845271116569039345502392547409980936718613979479473153897152582273007442958828765354492823181341781768705649770049278614037688790959818148262546964773572962246812114912945599086489112156215665620445541199498645935220574048444298835708251224885447359502183822490367449329126913730172482575240352112260544044800113959780182319051816570604227019121394715683444499750635036545691185154935567,1183960083731198965793559386113425080133219387071793625815907903681504411654578617546448448368297385423456985054193823486445183491975693737251381237227957535524776121539348370309956278086243754609862630345682274817717136162096857597702974002398187008442880997824305955014244650082148128002384713874834298399172499388701473664621770894737620330125794896720194625992264743072759221705520605706282162479919832729364181418628449219568330132240431577113975449229926981294878596362963766176281212008378378097788248633626087403000119419824610114895981997509068723319680414599373869286459564740414224557957014574234489102184443467084512451948228732858765638057746087940712494085324138521361940827764409650715811522497341165200141994029340564886854086884603214799069069371457736900351727264145263799403665093110076518189025267734533452326557435195405142389979014866478561697464517833419789031699448543026457351333461267795712059463664623634621056223968595149593227341935144155464240082458752377257074135542091636644287762191753872743627977299080007782971172186266421689548648739086148149474695882045943756310690309620342309147864736544898807180896542596147241105183323725426086500717384250043007008332891858275244800111843265266025398200254223978122703633366179556795210621259523200,10743966717551507419983395014120090968420200589780528443659928253385857019790223716644456056512421779868539850072133270018322793250315375012607447227056067898640899429418771004251967359828302962647907712699922323422655541836391326291161687933707174450489770834531250471639199014582148431764837664876498338016786874629287033984690546176910421658931652684599825283709575161754080840964121067789214612328841933743054938507653412720959782530230118540230912791741891104859177941568498054816629001768789335784033785657978879615994984655581359269431432293074196742441616481663133123933183616508340590844302368728667387150727404765375606948786555701371293572502485670962084053609909384328625064263157506909313601424725330272659524710857526486910414524557596422969851071081341637645790755933603197961622557995626419717687797378564127009342296600145955827473905778054689358879344192731283861229845271116569039345502392547409980936718613979479473153897152582273007442958828765354492823181341781768705649770049278614037688790959818148262546964773572962246812114912945599086489112156215665620445541199498645935220574048444298835708251224885447359502183822490367449329126913730172482575240352112260544044800113959780182319051816570604227019121394715683444499750635036545691185154935567/1183960083731198965793559386113425080133219387071793625815907903681504411654578617546448448368297385423456985054193823486445183491975693737251381237227957535524776121539348370309956278086243754609862630345682274817717136162096857597702974002398187008442880997824305955014244650082148128002384713874834298399172499388701473664621770894737620330125794896720194625992264743072759221705520605706282162479919832729364181418628449219568330132240431577113975449229926981294878596362963766176281212008378378097788248633626087403000119419824610114895981997509068723319680414599373869286459564740414224557957014574234489102184443467084512451948228732858765638057746087940712494085324138521361940827764409650715811522497341165200141994029340564886854086884603214799069069371457736900351727264145263799403665093110076518189025267734533452326557435195405142389979014866478561697464517833419789031699448543026457351333461267795712059463664623634621056223968595149593227341935144155464240082458752377257074135542091636644287762191753872743627977299080007782971172186266421689548648739086148149474695882045943756310690309620342309147864736544898807180896542596147241105183323725426086500717384250043007008332891858275244800111843265266025398200254223978122703633366179556795210621259523200,0.00907460214679904,True
